BB_1	BB_2	BB_3	BB_4	BD_1	BD_2	BD_3	BD_4	BN_1	BN_2	BN_3	BN_4	CS_1	CS_2	CS_3	CS_4	CT_1	CT_2	CT_3	CT_4	FD_1	FD_2	FD_3	FD_4	FJ_1	FJ_2	FJ_3	FJ_4	FL_1	FL_2	FL_3	FL_4	JTW_1	JTW_2	JTW_3	JTW_4	LH_1	LH_2	LH_3	LH_4	WS_1	WS_2	WS_3	WS_4	WZ_1	WZ_2	WZ_3	WZ_4	XZY_1	XZY_2	XZY_3	XZY_4	YJC_1	YJC_2	YJC_3	YJC_4	YW_1	YW_2	YW_3	YW_4	YY_1	YY_2	YY_3	YY_4	ZG_1	ZG_2	ZG_3	ZG_4	ZX_1	ZX_2	ZX_3	ZX_4
MEdarkgrey	-0.0223410974362636	-0.012691057923223	0.0141516691082503	-0.0223410974362663	-0.0223410974362667	-0.00642248768127767	0.0306723983768468	-0.00583897247710091	-0.0223410974362667	-0.0223410974362667	0.0446535347520781	0.00251507250111039	-0.0223410974362667	0.00272171300099503	-8.76765493863375e-05	-0.0119780387105851	-0.0223410974362667	-0.0223410974362666	0.985585130080441	-0.00708062106874847	-0.0223410974362667	-0.0223410974362667	0.0277925831143306	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	0.00210143343681564	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.00677904016301681	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	0.0146846252413192	0.00821727156868795	-0.0223410974362667	-0.0223410974362667	0.0176197303486258	-0.0127859955327674	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.00423703652095734	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0102716320723982	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.00870763566184371	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.0154849052683977	-0.0223410974362667	-0.0223410974362667	-0.0223410974362667	-0.00950294187484323	-0.0121594110117136	-0.0223410974362667	-0.0223410974362667	-0.00367617989731292	-0.0176621444839255
MEroyalblue	-0.017621251061833	-0.0176212510618313	0.991275750458501	-0.0176212510618318	-0.0176212510618317	-0.0176212510618317	-0.0109650715342341	-0.0176212510618317	-0.0176212510618318	-0.0176212510618318	0.0217126682853351	-0.00804269635762429	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.0055344607436391	-0.0176212510618318	-0.0176212510618318	-0.0143221425159499	-0.0103504081555429	-0.0176212510618317	-0.0176212510618318	-0.0176212510618318	-0.00843418244024125	-0.0176212510618317	-0.0176212510618318	-0.0176212510618317	-0.0110762513189015	-0.0143221425159499	-0.0176212510618317	-0.00228555228766972	-0.0176212510618317	-0.0176212510618318	-0.0176212510618317	0.0114428700352649	-0.0103504081555429	-0.0123922877308003	-0.0176212510618317	-0.00016030162998932	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.00609723770672956	-0.0176212510618317	-0.0143221425159499	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.0143221425159499	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.00228555228766978	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.00377234756663966	-0.0176212510618317	-0.0176212510618317	-0.0091619616104796	-0.0123922877308003	-0.0176212510618317	-0.010965071534234	-0.00228555228766979	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.0176212510618317	-0.0123922877308003	-0.0176212510618317
MEgreen	-0.0260008013265567	-0.0318475179466556	0.538440567183953	-0.0193894250442121	-0.0237499997429534	-0.0310644011463443	-0.011003522631992	-0.0352950383189077	-0.0225796578882544	-0.0336610932181352	0.074800511594283	-0.0207178897912453	-0.0338937615397297	-0.0272525527620196	0.0367535122991545	-0.0210203898841317	-0.0311076969654066	-0.0352284271691614	-0.0122923663228158	-0.0278153149860437	-0.0293518732089657	-0.0247001356834869	0.00377817380381847	-0.0304858921510294	-0.0329455687018714	-0.0341755337192397	-0.0225377633721519	-0.0300694718067911	-0.0328741009358934	-0.0300549423928458	-0.000589822950738347	-0.0362803172709295	-0.0276847741297205	-0.0289062904775534	0.53039375882426	-0.0182362614836308	-0.0223252875765442	-0.0311959496585816	0.608142243507321	-0.0245645976295067	-0.0322976162150725	-0.0315887823447328	-0.0240934881900702	-0.0377416007947102	-0.0263188361334642	-0.0292249297119295	-0.0176973803793766	-0.0314007976524063	-0.0169165943952051	-0.0314094404391507	-0.0300839316531708	-0.0310711941788296	-0.0215246962256635	-0.0268817692745592	-0.0224644137508798	-0.033516235867237	-0.0238954287220685	-0.0273697321692547	-0.0290067288600871	-0.0299307711224161	-0.0267688539823675	-0.0274228824657547	-0.0120884203328869	-0.032311552401373	-0.0301237979329149	-0.0297720942097513	-0.0369737918311899	-0.0318183296562296	-0.0346820666885457	-0.0305216179681075	-0.0116036180071911	-0.0328889338221493
MElightyellow	-0.0107816167205834	-0.0175783990551752	0.0337973938849843	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	0.00689178481386446	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	0.0155622478925353	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.00717489352043824	-0.0175783990551752	-0.00595670475722813	-0.0175783990551752	0.0276220463779714	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.00885041425530842	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0137792939159282	-0.012192076492229	-0.0175783990551752	-0.0175783990551752	0.989709133809695	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	0.00506137297969683	-0.00964535853697408	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0141720808622241	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.016552995104321	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0121971534490937	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.003195803237803	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0175783990551752	-0.0149120399271554	-0.0175783990551752
MEdarkred	-0.0286856474520783	-0.0166521069261927	-0.0209484753938096	-0.0159246525871122	-0.0229997479606072	0.030634204539048	-0.0279952963896864	-0.0156532507708083	-0.0257008310772638	-0.0209150387092277	-0.0275914669058545	-0.0100339573596043	-0.0104663671040089	-0.025339028424572	-0.018654060636993	-0.0161701718545191	-0.0286856474520777	-0.0219924093970664	-0.0279952963896864	-0.02215982509721	-0.0241137091272069	0.0039832815917993	-0.0205026696344434	-0.0105161611924931	-0.0224355962679222	0.00413889452607254	-0.0223128641028044	-0.0204874792618177	-0.0286856474520777	-0.0131258022149262	-0.0279952963896864	-0.00890278422000996	-0.0286856474520777	-0.0125190516775631	-0.00909501878560817	-0.00704823288964537	-0.0258843198812619	-0.0226044975433805	-0.0230195285809835	-0.0214428832640856	-0.02691820653815	0.0138499038117311	-0.0205726955919439	-0.0257019998001933	-0.0286856474520777	-0.0124239600083661	-0.0275914669058545	-0.00198861904320312	-0.0135422050157588	0.0945790567268177	-0.0286856474520777	-0.0107364876372155	-0.0181430775650167	0.0797588951810552	-0.0275914669058545	0.00671923253385297	-0.0286856474520777	0.975858468968565	-0.0184327999121377	-0.0259242432025124	-0.0195349112156026	0.0243019428899631	-0.023138244537858	-0.0248943408325294	-0.0156507010192847	0.0346019511364726	-0.0286856474520777	-0.00360103095110944	-0.0286856474520777	-0.0254406938989526	-0.0279952963896864	-0.00123467984738755
MEmidnightblue	-0.0209447373786845	-0.0267182439430115	-0.0167417940543143	-0.0142170327233448	-0.021413677837579	0.0163916724122117	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	-0.0217724579828914	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	-0.00349470969244802	-0.0267182439430116	-0.0184539083623615	-0.00084334823125676	-0.0267182439430116	-0.0267182439430116	-0.0148054234980295	-0.0267182439430116	-0.00436960033416624	-0.0267182439430116	-0.0224216208431557	-0.0267182439430116	0.0598799507334266	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	-0.0127932738451227	0.0588153701919643	-0.0267182439430116	-0.0222019852612705	-0.0267182439430116	-0.0111218983639895	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	0.0041878871617098	-0.0267182439430116	-0.0199082574500078	-0.0210252186673147	0.0394176666931592	-0.0267182439430116	-0.0267182439430116	-0.0148110875213123	0.0629822049072791	-0.0267182439430116	-0.00562608252940053	-0.0162591447679403	0.971536139399764	0.00131212031942763	-0.0125082396182379	-0.0267182439430116	0.0459923542670494	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	0.0694709320921946	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116	0.0483439036450471	-0.0267182439430116	-0.0267182439430116	-0.0138669451399429	-0.0267182439430116	-0.0267182439430116	-0.0267182439430116
MElightcyan	-0.0221430714395797	0.0240104308536073	-0.021808056222214	0.0151626556464211	0.0228325618579663	-0.016160657296371	-0.0223679544952631	-0.0190519611245591	-0.0198079771050053	0.0227490930893174	-0.0208721138315068	-0.0228708907523877	-0.0186197293046454	-0.0124848727822681	-0.0255849993313791	-0.0255849993313791	-0.0103514656316849	0.0223377821422883	-0.0255849993313791	-0.006185718517587	-0.0181866342115099	-0.00317823909570582	-0.0149065943615684	-0.0236965277767965	-0.0235455050677415	-0.0255849993313791	-0.0140731879836481	-0.0176375549031496	-0.017258590709789	-0.0255849993313791	-0.0255849993313791	-0.0175398802488576	-0.0225918427336872	0.985886789892536	-0.0167272739785289	-0.0132533865689942	-0.0255849993313791	0.0307442343641858	-0.0225918427336872	-0.0255849993313791	-0.00169907882158719	-0.0037742884714538	-0.0148279163691148	-0.0225918427336872	-0.0255849993313791	-0.0160048619143049	-0.0215255407200211	-0.00609228686654691	-0.0230114441050446	-0.00310011967265323	-0.0255849993313791	-0.0215255407200211	-0.0255849993313791	0.0113479952107619	-0.0255849993313791	-0.00984473068947435	-0.0200285578009339	-0.00425117312277586	-0.0191509096591471	-0.0159808837943943	-0.0255849993313791	0.0125324642762491	-0.0143088314678418	-0.0255849993313791	-0.0212380507373096	-0.0195406055916437	-0.0143310325063393	-0.0112720616552985	-0.023488244125433	0.00725551239049385	-0.0255849993313791	-0.0255849993313791
MEred	-0.080129984724527	0.110282282010284	-0.108899757158041	0.00884055209635454	-0.00029819964839803	0.195583689893783	-0.152095681200357	-0.0352717907350284	-0.0835418577849217	0.205955541290246	-0.100816245622042	0.0342525818234902	-0.0501173123275872	0.170501709527062	-0.107692713759666	0.0261344000886647	0.0106892178251471	0.225289740187524	-0.13079291549082	0.040616241338937	-0.0200437057830423	0.208516115862547	-0.116106176662369	-0.00451622097675864	-0.138606766642617	0.158559513415847	-0.101255317580017	-0.044021519053113	-0.00415939898965192	0.231350792895752	-0.0818574279449351	-0.0207639154895905	-0.0150795817067689	0.220319898267972	-0.101140520572164	0.0419743955350478	-0.0165900053491943	0.195985736388029	-0.0850060215957829	0.0362681268210058	-0.0865611192775916	0.168916428614715	-0.124161779929135	-0.0480933807033855	-0.105119080133198	0.225511829025821	-0.0978158527331177	-0.000778631868033028	-0.0635082402827982	0.136138949359876	-0.135640240575401	-0.0383320709807012	-0.0676621472414334	0.120500660539065	-0.115127976100047	-0.057189381011742	-0.0726027773678827	0.134559077853223	-0.134908745940918	-0.0387332389092624	-0.113664402898269	0.222362512888532	-0.0882598106784761	-0.0423573584437692	-0.0454058146278473	0.146001543539618	-0.143326080899686	-0.041353711330355	-0.14121247009078	0.238483044726768	-0.0945693752812321	-0.0184078577128547
MEsaddlebrown	-0.0222585215822807	-0.0238121807732068	-0.0180665727573253	-0.0169335192824641	-0.0238121807732065	-0.0111161256272537	-0.0238121807732065	-0.0138516449400297	-0.0238121807732065	-0.0170893299601356	-0.0238121807732065	-0.0184374030435345	-0.0238121807732065	0.0271039499653816	-0.0238121807732065	-0.0222585215822816	-0.0238121807732065	-0.0238121807732065	-0.0238121807732065	0.00486483811330283	0.00256522519267049	-0.00597678864539437	-0.00743571516468234	-0.0125446677062147	-0.0238121807732065	0.0259850237840044	-0.0238121807732065	-0.0238121807732065	-0.014456873731822	0.0317279090686055	-0.0238121807732065	-0.0238121807732065	0.000319466564227754	-0.0222585215822816	-0.0153950171695153	0.0110361767011822	-0.0213443041820134	-0.011389153383513	-0.0238121807732065	-0.00665113472339348	-0.0142333479112208	0.008635968163728	-0.0125446677062147	-0.0238121807732065	-0.00990472116455752	0.00735863520288708	-0.0238121807732065	-0.0238121807732065	-0.0135297962141359	-0.00113724905486416	-0.0149649357373717	-0.0222585215822816	-0.0238121807732065	-0.0194505079963635	-0.0213443041820134	-0.0238121807732065	-0.0238121807732065	0.00116514205422954	-0.0238121807732065	-0.0238121807732065	-0.000110798564321458	0.986273478458628	-0.0213443041820134	-0.0238121807732065	-0.0120396003384398	0.015531422406765	-0.0238121807732065	-0.0238121807732065	-0.0238121807732065	0.0121247572185166	-0.0238121807732065	-0.0238121807732065
MEorange	-0.0188041294775573	-0.0249717794691209	-0.0249717794691189	0.0186339920710578	-0.0249717794691189	-0.0249717794691191	-0.0249717794691199	-0.0249717794691194	-0.0249717794691194	-0.0154977702799398	-0.0124785865306761	-0.0161813085588409	0.0218005901260892	-0.0102195066275473	-0.0249717794691194	-0.00684688735013413	0.015997641304091	-0.0185680330318848	-0.0249717794691194	-0.0219044095660405	0.0390843091201643	-0.0249717794691194	-0.0249717794691194	-0.0107273547583781	-0.0205772537386522	-0.0249717794691194	-0.0249717794691194	-0.0131277643204546	0.980947497634021	-0.00370163649104073	-0.0249717794691194	-0.00802810659597833	0.0472824615217102	-0.0249717794691194	-0.0249717794691194	0.0173969873367582	0.0237037745965416	-0.0237842109461346	-0.0249717794691194	0.057570242870093	0.00244429316746205	-0.0249717794691194	-0.0249717794691194	-0.0249717794691194	-0.011928685782727	-0.0249717794691194	-0.0249717794691194	-0.0249717794691194	0.0144249784217474	-0.0249717794691194	-0.0249717794691194	-0.0249717794691194	-0.0237842109461346	-0.0249717794691194	-0.0249717794691194	-0.0249717794691194	-0.0113991435775427	-0.0249717794691194	-0.0249717794691194	-0.0164599122509252	-0.0214727667777429	0.00366641146759158	-0.0249717794691194	-0.0215480912872642	-0.0012089221839632	-0.0249717794691194	-0.0249717794691194	0.00018590060309459	-0.0213082271397079	-0.0249717794691194	-0.0249717794691194	-0.0145981011328558
