id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Abyssocladia	g__Abyssocladia	8.80117448688364	g__Abyssocladia	0.7287	black	-0.164	0.208	-0.0603	-0.0387	-0.133	0.345	0.246	-0.0669	-0.081	0.0245
g__Aglaja	g__Aglaja	14.6407286781927	g__Aglaja	0.8036	black	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Aliterella	g__Aliterella	0.41454124212555893	g__Aliterella	0.4163	black	-0.0767	-0.263	-0.0462	-0.189	-0.152	0.149	0.129	-0.205	0.203	-0.149
g__Ancylus	g__Ancylus	6.8670044143982505	g__Ancylus	0.6914	black	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Blumeria	g__Blumeria	0.898349121217025	g__Blumeria	0.4048	black	-0.312	-0.0737	-0.0613	-0.211	-0.147	0.113	0.0861	-0.237	0.233	0.35
g__Caloglossa	g__Caloglossa	5.389307993385309	g__Caloglossa	0.6825	black	-0.106	-0.253	-0.0486	-0.188	-0.122	0.189	0.0583	-0.182	0.219	-0.0097
g__Candidatus_Nucleicultrix	g__Candidatus_Nucleicultrix	2.09610850900435	g__Candidatus_Nucleicultrix	0.5623	black	0.239	0.0849	-0.0422	0.0448	0.0321	-0.172	-0.144	0.166	-0.249	-0.0991
g__Cassiopea	g__Cassiopea	4.4778600326268	g__Cassiopea	0.6514	black	-0.0904	0.0138	-0.0472	-0.0654	-0.129	0.182	0.172	-0.124	-0.0218	-0.206
g__Cladotanytarsus	g__Cladotanytarsus	4.08944034122423	g__Cladotanytarsus	0.6432	black	0.308	-0.19	0.0857	0.22	-0.061	0.157	-0.0781	0.133	-0.322	-0.0811
g__Colletotrichum	g__Colletotrichum	0.665725894047906	g__Colletotrichum	0.4623	black	-0.277	-0.413	-0.0982	-0.316	-0.259	0.339	0.145	-0.322	0.366	-0.106
g__Conasprella	g__Conasprella	8.01220599544372	g__Conasprella	0.7032	black	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Crocinitomix	g__Crocinitomix	0.7040742493629101	g__Crocinitomix	0.47	black	0.262	0.173	0.415	0.0311	0.013	-0.0557	-0.119	-0.0522	-0.0533	-0.0094
g__Cryptopleura	g__Cryptopleura	4.811596870395481	g__Cryptopleura	0.6395	black	-0.143	-0.0021	-0.0414	-0.0407	-0.0643	0.0434	0.0122	-0.152	0.0578	0.157
g__Cyclocanna	g__Cyclocanna	0.9998958414100699	g__Cyclocanna	0.4852	black	-0.101	0.067	-0.0206	-0.148	-0.0631	-0.0608	-0.0574	-0.106	0.043	-0.107
g__Danarma	g__Danarma	4.803467180445639	g__Danarma	0.672	black	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Darwinula	g__Darwinula	2.68352603702697	g__Darwinula	0.5899	black	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Doto	g__Doto	8.66125103206711	g__Doto	0.7255	black	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Dunaliella	g__Dunaliella	0.333354345259366	g__Dunaliella	0.3909	black	0.0354	-0.17	-0.0161	0.273	0.25	0.0388	0.224	-0.0069	0.0928	-0.0777
g__Eudendrium	g__Eudendrium	0.456326179694456	g__Eudendrium	0.4276	black	-0.0295	-0.132	-0.0359	-0.109	-0.243	0.162	0.0575	-0.213	0.0445	-0.109
g__Girardia	g__Girardia	0.373217807185454	g__Girardia	0.4124	black	-0.14	0.106	-0.0293	-0.0531	-0.119	-0.0929	-0.0455	-0.112	0.0766	0.0717
