source	target	weight	direction	fromAltName	toAltName
g__Acrasis	g__Adalaria	0.211616866431381	undirected	-	-
g__Acrasis	g__Agelas	0.190167893570236	undirected	-	-
g__Acrasis	g__Alloprevotella	0.215630449872251	undirected	-	-
g__Acrasis	g__Amansia	0.20600726476578798	undirected	-	-
g__Acrasis	g__Amoebidium	0.18316440268201198	undirected	-	-
g__Acrasis	g__Amphiplicatus	0.19271341329647002	undirected	-	-
g__Acrasis	g__Anabaena_XPORK15F	0.19585089329017102	undirected	-	-
g__Acrasis	g__Annularia	0.209511830395655	undirected	-	-
g__Acrasis	g__Aphanizomenon_MDT14a	0.17014262405902802	undirected	-	-
g__Acrasis	g__Aridibacter	0.20855884176185702	undirected	-	-
g__Acrasis	g__Asparagopsis	0.2032962155071	undirected	-	-
g__Acrasis	g__Asteronema	0.22007694347274803	undirected	-	-
g__Acrasis	g__Attheya	0.2040419108226	undirected	-	-
g__Acrasis	g__Bauldia	0.175547968198855	undirected	-	-
g__Acrasis	g__Botrydium	0.220165269147601	undirected	-	-
g__Acrasis	g__Bythotiara	0.18938147599985	undirected	-	-
g__Acrasis	g__Candidatus_Alysiosphaera	0.19876409498911998	undirected	-	-
g__Acrasis	g__Candidatus_Udaeobacter	0.203692465378003	undirected	-	-
g__Acrasis	g__Candidatus_Xiphinematobacter	0.20323372112352803	undirected	-	-
g__Acrasis	g__Cheilosporum	0.19750234776494197	undirected	-	-
g__Acrasis	g__Christensenellaceae_R-7_group	0.194188116134257	undirected	-	-
g__Acrasis	g__Chryseolinea	0.170185029338508	undirected	-	-
g__Acrasis	g__Citrifermentans	0.19165561173606102	undirected	-	-
g__Acrasis	g__Cliona	0.183523030665565	undirected	-	-
g__Acrasis	g__Clostridium_sensu_stricto_12	0.20087952536418102	undirected	-	-
g__Acrasis	g__Cohnella	0.200199463315412	undirected	-	-
g__Acrasis	g__Cormocephalus	0.202013387908125	undirected	-	-
g__Acrasis	g__Corynoneura	0.187284086733717	undirected	-	-
g__Acrasis	g__Cyclocybe	0.213214264325034	undirected	-	-
g__Acrasis	g__Dechlorobacter	0.19643120102335998	undirected	-	-
g__Acrasis	g__Deefgea	0.21320767254073703	undirected	-	-
g__Acrasis	g__Delftia	0.19058257988537802	undirected	-	-
g__Acrasis	g__Denitratisoma	0.20352388125956603	undirected	-	-
g__Acrasis	g__Desulfatiglans	0.19880412574174602	undirected	-	-
g__Acrasis	g__Desulfomicrobium	0.19216831063835302	undirected	-	-
g__Acrasis	g__DEV008	0.193349815738951	undirected	-	-
g__Acrasis	g__Ditylum	0.16446362032174697	undirected	-	-
g__Acrasis	g__Earleria	0.18378567183323302	undirected	-	-
g__Acrasis	g__Euthora	0.22848211818951397	undirected	-	-
g__Acrasis	g__Flavisolibacter	0.192872064532185	undirected	-	-
g__Acrasis	g__Frustulia	0.15534891153430302	undirected	-	-
g__Acrasis	g__Geothrix	0.209122696263386	undirected	-	-
g__Acrasis	g__Haliangium	0.187950154758587	undirected	-	-
g__Acrasis	g__Halichaetonotus	0.231589590096969	undirected	-	-
g__Acrasis	g__Hydractinia	0.17593013110895803	undirected	-	-
g__Acrasis	g__Hyocrinus	0.19530499900176	undirected	-	-
g__Acrasis	g__Ignavibacterium	0.18271733872435	undirected	-	-
g__Acrasis	g__Ilyonectria	0.182911972501812	undirected	-	-
g__Acrasis	g__Laurenciella	0.20486688692974303	undirected	-	-
g__Acrasis	g__Lentimicrobium	0.19774827705039003	undirected	-	-
g__Acrasis	g__Leuckartiara	0.19956138803362802	undirected	-	-
g__Acrasis	g__Levilinea	0.179751590941028	undirected	-	-
g__Acrasis	g__Malacobdella	0.22457448857656895	undirected	-	-
g__Acrasis	g__Mesophyllum	0.195428061075297	undirected	-	-
g__Acrasis	g__Microvirga	0.190221894068603	undirected	-	-
g__Acrasis	g__Mitsuaria	0.18861356700195397	undirected	-	-
g__Acrasis	g__mle1-7	0.216361576371708	undirected	-	-
g__Acrasis	g__Myriogramme	0.19285408997471898	undirected	-	-
g__Acrasis	g__Neritilia	0.21997925219697698	undirected	-	-
g__Acrasis	g__Neurospora	0.206490835247974	undirected	-	-
g__Acrasis	g__Niastella	0.207056952477239	undirected	-	-
g__Acrasis	g__norank_c__AD3	0.212143936978295	undirected	-	-
g__Acrasis	g__norank_c__AT-s3-28	0.202525934399677	undirected	-	-
g__Acrasis	g__norank_c__Lineage_IIb	0.21816995361547797	undirected	-	-
g__Acrasis	g__norank_c__MB-A2-108	0.18839086135950503	undirected	-	-
g__Acrasis	g__norank_c__MVP-15	0.19858747332693302	undirected	-	-
g__Acrasis	g__norank_c__P9X2b3D02	0.20283568270221802	undirected	-	-
g__Acrasis	g__norank_c__RBG-16-55-12	0.20511899773574	undirected	-	-
g__Acrasis	g__norank_c__S0134_terrestrial_group	0.200821174243901	undirected	-	-
g__Acrasis	g__norank_c__SJA-28	0.195901266778807	undirected	-	-
g__Acrasis	g__norank_c__Subgroup_11	0.226642871338975	undirected	-	-
g__Acrasis	g__norank_c__Subgroup_25	0.192195030436249	undirected	-	-
g__Acrasis	g__norank_c__Subgroup_5	0.238119064962787	undirected	-	-
g__Acrasis	g__norank_c__TK10	0.18420447391388503	undirected	-	-
g__Acrasis	g__norank_f__Barnesiellaceae	0.19195207543892998	undirected	-	-
g__Acrasis	g__norank_f__BSV26	0.18747184589800303	undirected	-	-
g__Acrasis	g__norank_f__Cyclobacteriaceae	0.18785921989832996	undirected	-	-
g__Acrasis	g__norank_f__DEV007	0.190658025548474	undirected	-	-
g__Acrasis	g__norank_f__Diplorickettsiaceae	0.19138351481144897	undirected	-	-
g__Acrasis	g__norank_f__Prolixibacteraceae	0.19103067840843801	undirected	-	-
g__Acrasis	g__norank_f__SM2D12	0.19494193390255202	undirected	-	-
g__Acrasis	g__norank_f__Synergistaceae	0.22990260367096105	undirected	-	-
g__Acrasis	g__norank_f__Syntrophobacteraceae	0.20266409903191399	undirected	-	-
g__Acrasis	g__norank_f__WD2101_soil_group	0.204133593622754	undirected	-	-
g__Acrasis	g__norank_f__Zavarziniaceae	0.198137090378024	undirected	-	-
g__Acrasis	g__norank_o__Acidobacteriales	0.21237935936032198	undirected	-	-
g__Acrasis	g__norank_o__Aminicenantales	0.203201192739457	undirected	-	-
g__Acrasis	g__norank_o__Candidatus_Nomurabacteria	0.15855079908867198	undirected	-	-
g__Acrasis	g__norank_o__DS-100	0.183476606247367	undirected	-	-
g__Acrasis	g__norank_o__Lineage_IV	0.199314414386736	undirected	-	-
g__Acrasis	g__norank_o__MVP-88	0.158981525059781	undirected	-	-
g__Acrasis	g__norank_o__OPB41	0.19850108790788104	undirected	-	-
g__Acrasis	g__norank_o__Rokubacteriales	0.21174451886519197	undirected	-	-
g__Acrasis	g__norank_o__SM1A07	0.185050995045295	undirected	-	-
g__Acrasis	g__norank_o__Subgroup_2	0.205337521175288	undirected	-	-
g__Acrasis	g__norank_p__FCPU426	0.19529593798806302	undirected	-	-
g__Acrasis	g__norank_p__TA06	0.18614305191605	undirected	-	-
g__Acrasis	g__norank_p__WS2	0.19614018446255	undirected	-	-
g__Acrasis	g__norank_p__Zixibacteria	0.180361367828431	undirected	-	-
g__Acrasis	g__Ochlerotatus	0.19150001488197402	undirected	-	-
g__Acrasis	g__Orthemis	0.19527699834079001	undirected	-	-
g__Acrasis	g__Otostigmus	0.217140043809434	undirected	-	-
g__Acrasis	g__Pagurus	0.195366219750791	undirected	-	-
g__Acrasis	g__Pelolinea	0.21142226609044396	undirected	-	-
g__Acrasis	g__Phaeodactylibacter	0.18309865938703698	undirected	-	-
g__Acrasis	g__Phycodrys	0.21334164653236395	undirected	-	-
g__Acrasis	g__Phyllariopsis	0.208393093250471	undirected	-	-
g__Acrasis	g__Plakina	0.19357116155813198	undirected	-	-
g__Acrasis	g__Plasmopara	0.213945885627328	undirected	-	-
g__Acrasis	g__Podosira	0.16601464625485002	undirected	-	-
g__Acrasis	g__Polypylis	0.203609542872388	undirected	-	-
g__Acrasis	g__Propionivibrio	0.179768599676118	undirected	-	-
g__Acrasis	g__Proteiniclasticum	0.186772925100212	undirected	-	-
g__Acrasis	g__Pterocladiella	0.20112826521802699	undirected	-	-
g__Acrasis	g__Pyrgulopsis	0.223700918336565	undirected	-	-
g__Acrasis	g__Ralfsia	0.22300047309486198	undirected	-	-
g__Acrasis	g__RB41	0.20718360465228602	undirected	-	-
g__Acrasis	g__RBG-16-58-14	0.18637251087119397	undirected	-	-
g__Acrasis	g__Rhodoluna	0.206637248747809	undirected	-	-
g__Acrasis	g__Rhodoplanes	0.201799001899235	undirected	-	-
g__Acrasis	g__Riquetophycus	0.202022444032758	undirected	-	-
g__Acrasis	g__Roseimicrobium	0.20747173909814604	undirected	-	-
g__Acrasis	g__Rubramoena	0.18605109281955498	undirected	-	-
g__Acrasis	g__Schimmelmannia	0.16847414228688198	undirected	-	-
g__Acrasis	g__Schizochytrium	0.21124052353934	undirected	-	-
g__Acrasis	g__Schlesneria	0.21978396314698898	undirected	-	-
g__Acrasis	g__Schuchertinia	0.19623659819136102	undirected	-	-
g__Acrasis	g__Sepia	0.20946481737405398	undirected	-	-
g__Acrasis	g__Setacea	0.16899475140990197	undirected	-	-
g__Acrasis	g__Sheathia	0.19931240288120497	undirected	-	-
g__Acrasis	g__Stelligera	0.19616957650450603	undirected	-	-
g__Acrasis	g__Stenostomum	0.18952854249908102	undirected	-	-
g__Acrasis	g__Sumerlaea	0.188337920416114	undirected	-	-
g__Acrasis	g__Sva0081_sediment_group	0.18084136395476103	undirected	-	-
g__Acrasis	g__Syntrophus	0.18789658980438	undirected	-	-
g__Acrasis	g__Taphrina	0.19904255379031602	undirected	-	-
g__Acrasis	g__Terrisporobacter	0.193622438756102	undirected	-	-
g__Acrasis	g__Tethya	0.180333462961137	undirected	-	-
g__Acrasis	g__Turritopsis	0.20223423897060397	undirected	-	-
g__Acrasis	g__UKL13-1	0.20877735471918402	undirected	-	-
g__Acrasis	g__WCHB1-32	0.193554618469633	undirected	-	-
g__Acrasis	g__Zasmidium	0.179699568770191	undirected	-	-
g__Acrasis	g__Zavrelimyia	0.19311731811043803	undirected	-	-
g__Acrasis	g__Zygonemertes	0.205588922834582	undirected	-	-
g__Acrasis	g__Merismopedia_0BB39S01	0.231469983175718	undirected	-	-
g__Acrasis	g__Visia	0.237242553302495	undirected	-	-
g__Acrasis	g__Wrangelia	0.237242553302495	undirected	-	-
g__Acrasis	g__Gelidiophycus	0.237242553302495	undirected	-	-
g__Acrasis	g__Aphanta	0.237242553302495	undirected	-	-
g__Acrasis	g__Dicranema	0.237242553302495	undirected	-	-
g__Acrasis	g__Reptataxis	0.237242553302495	undirected	-	-
g__Acrasis	g__Dilsea	0.21796974930817198	undirected	-	-
g__Acrasis	g__Thamnophyllis	0.24346365711501897	undirected	-	-
g__Acrasis	g__Titanophycus	0.237242553302495	undirected	-	-
g__Acrasis	g__Rhodowynnea	0.237242553302495	undirected	-	-
g__Acrasis	g__Lomentaria	0.234381468113653	undirected	-	-
g__Acrasis	g__Drouetia	0.20527394257009	undirected	-	-
g__Acrasis	g__Trachynema	0.23245667434004602	undirected	-	-
g__Acrasis	g__Stephanocystis	0.237242553302495	undirected	-	-
