id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acrasis	g__Acrasis	9.185181808698461	g__Acrasis	0.6839	blue	-0.214	-0.0168	-0.0473	-0.0861	-0.0629	0.0084	0.119	-0.217	0.0957	0.113
g__Adalaria	g__Adalaria	28.578995505198804	g__Adalaria	0.7898	blue	-0.0248	0.0815	-0.0438	0.521	0.547	-0.0361	0.172	0.128	-0.0345	0.311
g__Agelas	g__Agelas	6.692709351256401	g__Agelas	0.616	blue	-0.0663	-0.245	-0.0404	-0.0936	-0.137	0.155	0.0069	-0.192	0.102	-0.0729
g__Alloprevotella	g__Alloprevotella	30.261271136506902	g__Alloprevotella	0.8028	blue	-0.0781	-0.181	-0.0174	-0.156	-0.105	0.14	0.36	-0.139	0.271	0.0911
g__Amansia	g__Amansia	9.629698050035529	g__Amansia	0.6644	blue	-0.116	0.289	-0.0475	-0.0087	-0.11	0.45	0.379	0.0917	-0.209	-0.173
g__Amoebidium	g__Amoebidium	2.31088738414735	g__Amoebidium	0.5089	blue	-0.231	0.12	-0.0405	-0.0971	-0.0358	-0.142	0.0837	-0.004	-0.0352	0.128
g__Amphiplicatus	g__Amphiplicatus	2.9631813001103198	g__Amphiplicatus	0.5352	blue	-0.15	-0.099	-0.0586	-0.13	-0.0778	-0.0723	-0.196	0.0296	0.134	-0.16
g__Anabaena_XPORK15F	g__Anabaena_XPORK15F	1.45705960461398	g__Anabaena_XPORK15F	0.4766	blue	0.22	0.189	-0.0373	0.169	0.066	-0.384	-0.244	0.356	-0.189	0.112
g__Annularia	g__Annularia	10.892140946545998	g__Annularia	0.6857	blue	-0.103	0.161	-0.0343	-0.0315	-0.06	0.158	0.186	0.043	-0.119	0.0911
g__Aphanizomenon_MDT14a	g__Aphanizomenon_MDT14a	1.9303848114371598	g__Aphanizomenon_MDT14a	0.4843	blue	0.176	0.143	0.566	-0.0158	0.139	-0.209	-0.213	0.0137	-0.0509	0.0048
g__Aridibacter	g__Aridibacter	12.0428545588429	g__Aridibacter	0.7109	blue	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Asparagopsis	g__Asparagopsis	5.50802250748801	g__Asparagopsis	0.6149	blue	-0.141	0.189	-0.0478	-0.0473	-0.0835	-0.0034	0.135	-0.0539	-0.111	0.127
g__Asteronema	g__Asteronema	7.86598339790607	g__Asteronema	0.6657	blue	-0.226	-0.0312	-0.075	-0.156	-0.112	0.0263	0.0836	-0.234	0.19	0.0869
g__Attheya	g__Attheya	2.7877315832808702	g__Attheya	0.5455	blue	0.192	-0.0504	-0.0652	-0.0233	0.0714	-0.0507	0.0072	-0.04	0.0043	-0.147
g__Bauldia	g__Bauldia	3.16876966762779	g__Bauldia	0.5512	blue	0.368	0.105	-0.0385	0.148	0.134	-0.0646	-0.197	0.0192	-0.0749	-0.0287
g__Botrydium	g__Botrydium	39.310722220216604	g__Botrydium	0.836	blue	-0.123	-0.183	-0.0568	-0.143	-0.145	-0.0197	-0.128	-0.006	0.123	-0.147
g__Bythotiara	g__Bythotiara	0.975905966877945	g__Bythotiara	0.4393	blue	-0.151	-0.0545	-0.0464	-0.111	-0.079	0.062	0.0719	-0.159	0.122	0.13
g__Candidatus_Alysiosphaera	g__Candidatus_Alysiosphaera	8.87990369965796	g__Candidatus_Alysiosphaera	0.6553	blue	0.109	0.119	0.415	-0.0001	0.143	-0.136	-0.226	0.075	-0.217	-0.0232
g__Candidatus_Udaeobacter	g__Candidatus_Udaeobacter	8.74602281925239	g__Candidatus_Udaeobacter	0.6625	blue	0.39	0.125	-0.0583	0.241	0.253	-0.0732	-0.165	0.0517	-0.0611	-0.0368
g__Candidatus_Xiphinematobacter	g__Candidatus_Xiphinematobacter	6.81053240374299	g__Candidatus_Xiphinematobacter	0.5883	blue	0.268	0.116	-0.0508	0.0714	0.178	-0.098	-0.0575	0.0324	-0.0605	-0.0075
g__Cheilosporum	g__Cheilosporum	12.273891479869098	g__Cheilosporum	0.6959	blue	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Christensenellaceae_R-7_group	g__Christensenellaceae_R-7_group	4.61121969054765	g__Christensenellaceae_R-7_group	0.4964	blue	0.203	0.0964	-0.0486	-0.0134	0.142	-0.11	-0.127	0.0308	-0.0266	0.0339
g__Chryseolinea	g__Chryseolinea	2.56031058782541	g__Chryseolinea	0.5167	blue	0.169	0.0931	-0.0381	0.138	0.27	-0.147	-0.0686	0.101	-0.0601	0.0948
g__Citrifermentans	g__Citrifermentans	5.0868223625147095	g__Citrifermentans	0.571	blue	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Cliona	g__Cliona	2.0010114289881797	g__Cliona	0.5163	blue	0.0401	0.218	-0.0436	0.0147	-0.0577	0.129	0.149	-0.0223	-0.111	-0.103
g__Clostridium_sensu_stricto_12	g__Clostridium_sensu_stricto_12	10.206648682889	g__Clostridium_sensu_stricto_12	0.6883	blue	0.344	0.136	-0.0537	-0.0125	0.0298	-0.0881	-0.0952	-0.0056	-0.0779	-0.0199
g__Cohnella	g__Cohnella	12.492399013892902	g__Cohnella	0.6882	blue	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Cormocephalus	g__Cormocephalus	7.675709819627559	g__Cormocephalus	0.633	blue	-0.142	0.106	-0.0421	-0.0057	-0.0319	0.0155	-0.0119	-0.103	-0.0121	0.362
g__Corynoneura	g__Corynoneura	9.029561649908759	g__Corynoneura	0.6487	blue	-0.0854	-0.179	-0.0337	-0.135	-0.0937	0.168	0.0439	-0.123	0.146	0.124
g__Cyclocybe	g__Cyclocybe	6.53474061383756	g__Cyclocybe	0.6435	blue	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Dechlorobacter	g__Dechlorobacter	1.36156201428027	g__Dechlorobacter	0.4551	blue	-0.0217	0.309	-0.0486	-0.0725	-0.0084	-0.354	-0.0929	-0.0647	0.0164	-0.0149
g__Deefgea	g__Deefgea	5.6342628366449	g__Deefgea	0.6131	blue	0.166	0.0726	-0.0184	0.394	0.199	-0.325	-0.172	0.407	-0.0663	0.0702
g__Delftia	g__Delftia	0.9501130907890519	g__Delftia	0.4207	blue	-0.0062	0.228	0.0247	-0.0563	-0.0902	-0.11	-0.176	0.0091	-0.142	0.0366
g__Denitratisoma	g__Denitratisoma	5.17910725732028	g__Denitratisoma	0.5378	blue	0.154	0.121	0.421	0.0392	0.196	-0.162	-0.15	0.0223	-0.057	-0.0198
g__Desulfatiglans	g__Desulfatiglans	2.49755940361708	g__Desulfatiglans	0.5054	blue	0.161	0.104	-0.0505	0.107	0.375	-0.0666	-0.0673	0.104	-0.161	0.125
g__Desulfomicrobium	g__Desulfomicrobium	5.07870802492332	g__Desulfomicrobium	0.5498	blue	0.114	0.0176	-0.0433	-0.0681	0.0951	-0.0561	-0.0951	-0.0159	0.0409	0.0637
g__DEV008	g__DEV008	1.5854095968559798	g__DEV008	0.4881	blue	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Ditylum	g__Ditylum	0.55270227416149	g__Ditylum	0.3906	blue	-0.0862	-0.386	-0.0623	-0.18	-0.26	0.0694	-0.192	-0.0699	0.22	-0.253
g__Earleria	g__Earleria	5.6362940682055696	g__Earleria	0.5951	blue	-0.128	-0.0006	-0.0695	-0.14	-0.135	0.158	0.151	-0.176	0.045	-0.264
g__Euthora	g__Euthora	12.0139003631707	g__Euthora	0.6934	blue	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
