source	target	weight	direction	fromAltName	toAltName
g__Achromobacter	g__Actinomycetospora	0.17653142637658997	undirected	-	-
g__Achromobacter	g__Aeromicrobium	0.13018349644989802	undirected	-	-
g__Achromobacter	g__Amoeboaphelidium	0.161147998209399	undirected	-	-
g__Achromobacter	g__Ascochyta	0.136786468789968	undirected	-	-
g__Achromobacter	g__Beauveria	0.17633771896513198	undirected	-	-
g__Achromobacter	g__Biomphalaria	0.12255840243622301	undirected	-	-
g__Achromobacter	g__Boletus	0.161170467490858	undirected	-	-
g__Achromobacter	g__Candidatus_Captivus	0.135565786315665	undirected	-	-
g__Achromobacter	g__Carpomitra	0.16650656361389002	undirected	-	-
g__Achromobacter	g__Cellulomonas	0.15979943900944	undirected	-	-
g__Achromobacter	g__Centropyxis	0.12969485970489	undirected	-	-
g__Achromobacter	g__Cephaloflexa	0.218341142901607	undirected	-	-
g__Achromobacter	g__Chaetosphaeridium	0.16694279954183802	undirected	-	-
g__Achromobacter	g__Chloroparvula	0.136085418081039	undirected	-	-
g__Achromobacter	g__Choreocolax	0.153919465633164	undirected	-	-
g__Achromobacter	g__Chroogomphus	0.187948251927279	undirected	-	-
g__Achromobacter	g__Cladothele	0.11132231078802801	undirected	-	-
g__Achromobacter	g__Clibanarius	0.24248774323137398	undirected	-	-
g__Achromobacter	g__Cnuella	0.1720021566231	undirected	-	-
g__Achromobacter	g__Coelocladia	0.137890882984302	undirected	-	-
g__Achromobacter	g__Coniferiporia	0.11756105955878801	undirected	-	-
g__Achromobacter	g__Cordyceps	0.12671147206325697	undirected	-	-
g__Achromobacter	g__Coscinodiscus	0.149158110614249	undirected	-	-
g__Achromobacter	g__Cosmospora	0.12132517051606402	undirected	-	-
g__Achromobacter	g__Ctenochauliodes	0.166822330845721	undirected	-	-
g__Achromobacter	g__Cymathaere	0.15333540055537398	undirected	-	-
g__Achromobacter	g__Dactylosiphon	0.12747098854064098	undirected	-	-
g__Achromobacter	g__Dendrobium	0.127393965621312	undirected	-	-
g__Achromobacter	g__Digenea	0.12932084013467599	undirected	-	-
g__Achromobacter	g__Diogenes	0.14139476104152898	undirected	-	-
g__Achromobacter	g__Dyadobacter	0.17661109206979	undirected	-	-
g__Achromobacter	g__Echinogammarus	0.163832631944795	undirected	-	-
g__Achromobacter	g__Edaphobaculum	0.157524719825627	undirected	-	-
g__Achromobacter	g__Edenia	0.13577477318015702	undirected	-	-
g__Achromobacter	g__Elattoneura	0.133565508091658	undirected	-	-
g__Achromobacter	g__Emericellopsis	0.162410559912803	undirected	-	-
g__Achromobacter	g__Empedobacter	0.200938043443722	undirected	-	-
g__Achromobacter	g__Erythrobacter	0.208373440512371	undirected	-	-
g__Achromobacter	g__Eugorgia	0.16496609246554597	undirected	-	-
g__Achromobacter	g__FFCH7168	0.19200458824182	undirected	-	-
g__Achromobacter	g__Filimonas	0.15730381528261903	undirected	-	-
g__Achromobacter	g__Flavitalea	0.153995981127982	undirected	-	-
g__Achromobacter	g__Galaxaura	0.15677288024051503	undirected	-	-
g__Achromobacter	g__Gloeochaete	0.132763728538916	undirected	-	-
g__Achromobacter	g__Gongronella	0.163986446499776	undirected	-	-
g__Achromobacter	g__Goniomonas	0.131356819103448	undirected	-	-
g__Achromobacter	g__Herpetosiphon	0.208058231721728	undirected	-	-
