id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Achromobacter	g__Achromobacter	27.9487800855027	g__Achromobacter	0.8187	brown	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Actinomycetospora	g__Actinomycetospora	8.67572056709967	g__Actinomycetospora	0.6655	brown	0.175	0.0999	-0.0459	0.0872	0.36	-0.0791	-0.0342	0.0537	-0.0423	0.139
g__Aeromicrobium	g__Aeromicrobium	0.6263221872702671	g__Aeromicrobium	0.3706	brown	-0.163	-0.0053	-0.0287	-0.176	-0.106	0.166	0.0631	-0.18	-0.0206	-0.169
g__Amoeboaphelidium	g__Amoeboaphelidium	3.9592069096860296	g__Amoeboaphelidium	0.5994	brown	-0.203	0.0338	-0.0169	-0.0689	-0.0034	0.0385	0.16	-0.078	0.0663	0.287
g__Ascochyta	g__Ascochyta	1.3024972791571898	g__Ascochyta	0.4803	brown	-0.114	-0.292	-0.0712	-0.176	-0.176	0.178	0.0872	-0.281	0.14	-0.261
g__Beauveria	g__Beauveria	5.19835890729256	g__Beauveria	0.6328	brown	-0.186	-0.256	-0.0709	-0.232	-0.222	0.178	0.232	-0.358	0.267	0.0441
g__Biomphalaria	g__Biomphalaria	0.7134993450098579	g__Biomphalaria	0.3764	brown	-0.481	0.27	-0.139	-0.252	-0.26	-0.0781	0.0975	-0.0518	-0.0186	0.24
g__Boletus	g__Boletus	3.4548424077394504	g__Boletus	0.5646	brown	-0.0633	-0.175	-0.0343	-0.128	-0.0772	0.0965	0.0376	-0.132	0.16	-0.137
g__Candidatus_Captivus	g__Candidatus_Captivus	0.976597598812484	g__Candidatus_Captivus	0.4443	brown	0.145	0.183	-0.0374	-0.0354	0.0479	-0.253	-0.112	0.0092	-0.0163	0.0927
g__Carpomitra	g__Carpomitra	2.94069962970125	g__Carpomitra	0.5531	brown	0.0443	0.127	-0.0434	0.345	0.409	-0.07	0.0541	0.134	0.0539	0.253
g__Cellulomonas	g__Cellulomonas	3.94532289364707	g__Cellulomonas	0.5856	brown	0.0641	-0.0773	-0.0491	-0.107	0.0335	-0.001	-0.0367	-0.079	0.0918	-0.0833
g__Centropyxis	g__Centropyxis	1.02991597870502	g__Centropyxis	0.4462	brown	-0.18	0.225	-0.0516	-0.0256	-0.0623	0.0956	0.124	-0.11	-0.008	0.254
g__Cephaloflexa	g__Cephaloflexa	27.904615078291897	g__Cephaloflexa	0.8324	brown	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Chaetosphaeridium	g__Chaetosphaeridium	3.2989086323089905	g__Chaetosphaeridium	0.5731	brown	-0.0596	-0.319	-0.0375	-0.111	-0.269	0.065	-0.0627	-0.19	0.139	-0.225
g__Chloroparvula	g__Chloroparvula	0.463398175456128	g__Chloroparvula	0.3989	brown	0.0465	-0.101	-0.0669	-0.117	-0.0334	0.0597	0.0407	0.0144	-0.0442	-0.285
