source	target	weight	direction	fromAltName	toAltName
g__Acanthacorydalis	g__Albinaria	0.163121173233863	undirected	-	-
g__Acanthacorydalis	g__Arianta	0.132195646701955	undirected	-	-
g__Acanthacorydalis	g__Armatoplana	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Articulospora	0.15877420674395498	undirected	-	-
g__Acanthacorydalis	g__Bosminopsis	0.105628409185435	undirected	-	-
g__Acanthacorydalis	g__Centropages	0.149236845956749	undirected	-	-
g__Acanthacorydalis	g__Constantinea	0.13651154345110197	undirected	-	-
g__Acanthacorydalis	g__Dudgeodes	0.11641085601844901	undirected	-	-
g__Acanthacorydalis	g__Duganella	0.103949620436479	undirected	-	-
g__Acanthacorydalis	g__Eulimnadia	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Eurythenes	0.124784811252355	undirected	-	-
g__Acanthacorydalis	g__Helminthora	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Hygrocybe	0.14937718020230803	undirected	-	-
g__Acanthacorydalis	g__Kirchenpaueria	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Laemodonta	0.134912209810396	undirected	-	-
g__Acanthacorydalis	g__Laonice	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Micromonas	0.129475895893664	undirected	-	-
g__Acanthacorydalis	g__Morula	0.12810548248315098	undirected	-	-
g__Acanthacorydalis	g__Myrianida	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Nicolea	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__norank_c__SHA-26	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__norank_f__Chromatiaceae	0.113008808046296	undirected	-	-
g__Acanthacorydalis	g__norank_f__LD-RB-34	0.135002292065479	undirected	-	-
g__Acanthacorydalis	g__norank_f__WWH38	0.120767589222437	undirected	-	-
g__Acanthacorydalis	g__norank_o__Candidatus_Vogelbacteria	0.137423162889888	undirected	-	-
g__Acanthacorydalis	g__norank_o__GWA2-38-13b	0.119374025026091	undirected	-	-
g__Acanthacorydalis	g__Onychogomphus	0.131423755419289	undirected	-	-
g__Acanthacorydalis	g__Ophiocordyceps	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Optediceros	0.129366821597705	undirected	-	-
g__Acanthacorydalis	g__Oscillochloris	0.11917004353264998	undirected	-	-
g__Acanthacorydalis	g__Parvocalanus	0.12902079977893302	undirected	-	-
g__Acanthacorydalis	g__Platynereis	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Psectrotanypus	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Pseudoanthomastus	0.124417983360123	undirected	-	-
g__Acanthacorydalis	g__Tahibacter	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Thiothrix	0.11415853797841301	undirected	-	-
g__Acanthacorydalis	g__Thraustotheca	0.138162588251195	undirected	-	-
g__Acanthacorydalis	g__Thuridilla	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Triactis	0.167462291511448	undirected	-	-
g__Acanthacorydalis	g__Vicingus	0.107486521484648	undirected	-	-
g__Acanthacorydalis	g__Wuelkerella	0.167462291511448	undirected	-	-
g__Acanthacorydalis	s__Lagocephalus_inermis	0.15616500734104	undirected	-	-
g__Acanthacorydalis	s__Schizothorax_waltoni	0.167462291511448	undirected	-	-
g__Albinaria	g__Arianta	0.129847036764613	undirected	-	-
g__Albinaria	g__Armatoplana	0.163121173233863	undirected	-	-
g__Albinaria	g__Articulospora	0.154860628482987	undirected	-	-
g__Albinaria	g__Bosminopsis	0.10399836916163901	undirected	-	-
g__Albinaria	g__Centropages	0.144690326288002	undirected	-	-
g__Albinaria	g__Constantinea	0.133750025428864	undirected	-	-
g__Albinaria	g__Dudgeodes	0.11524803103730198	undirected	-	-
g__Albinaria	g__Duganella	0.10429433636981401	undirected	-	-
g__Albinaria	g__Eulimnadia	0.163121173233863	undirected	-	-
g__Albinaria	g__Eurythenes	0.12112339982857302	undirected	-	-
g__Albinaria	g__Helminthora	0.163121173233863	undirected	-	-
g__Albinaria	g__Hygrocybe	0.14793767498945198	undirected	-	-
g__Albinaria	g__Kirchenpaueria	0.163121173233863	undirected	-	-
g__Albinaria	g__Laemodonta	0.13219295306648599	undirected	-	-
g__Albinaria	g__Laonice	0.163121173233863	undirected	-	-
g__Albinaria	g__Micromonas	0.125411013381492	undirected	-	-
g__Albinaria	g__Morula	0.126301245899569	undirected	-	-
g__Albinaria	g__Myrianida	0.163121173233863	undirected	-	-
g__Albinaria	g__Nicolea	0.163121173233863	undirected	-	-
g__Albinaria	g__norank_c__SHA-26	0.163121173233863	undirected	-	-
g__Albinaria	g__norank_f__Chromatiaceae	0.11154476246808401	undirected	-	-
g__Albinaria	g__norank_f__LD-RB-34	0.131901238939446	undirected	-	-
g__Albinaria	g__norank_f__WWH38	0.11865429385189999	undirected	-	-
g__Albinaria	g__norank_o__Candidatus_Vogelbacteria	0.136713077285184	undirected	-	-
g__Albinaria	g__norank_o__GWA2-38-13b	0.119326713833779	undirected	-	-
g__Albinaria	g__Onychogomphus	0.128632058345006	undirected	-	-
g__Albinaria	g__Ophiocordyceps	0.163121173233863	undirected	-	-
g__Albinaria	g__Optediceros	0.12964282165096902	undirected	-	-
g__Albinaria	g__Oscillochloris	0.117348510524328	undirected	-	-
g__Albinaria	g__Parvocalanus	0.12515943588356598	undirected	-	-
g__Albinaria	g__Platynereis	0.163121173233863	undirected	-	-
g__Albinaria	g__Psectrotanypus	0.163121173233863	undirected	-	-
g__Albinaria	g__Pseudoanthomastus	0.12066447063292998	undirected	-	-
g__Albinaria	g__Tahibacter	0.163121173233863	undirected	-	-
g__Albinaria	g__Thiothrix	0.11223819440600699	undirected	-	-
g__Albinaria	g__Thraustotheca	0.134716927292373	undirected	-	-
g__Albinaria	g__Thuridilla	0.163121173233863	undirected	-	-
g__Albinaria	g__Triactis	0.163121173233863	undirected	-	-
g__Albinaria	g__Vicingus	0.105901610910499	undirected	-	-
g__Albinaria	g__Wuelkerella	0.163121173233863	undirected	-	-
g__Albinaria	s__Lagocephalus_inermis	0.152358138749035	undirected	-	-
g__Albinaria	s__Schizothorax_waltoni	0.163121173233863	undirected	-	-
g__Arianta	g__Armatoplana	0.132195646701955	undirected	-	-
g__Arianta	g__Articulospora	0.124657604689124	undirected	-	-
g__Arianta	g__Centropages	0.12181535078840303	undirected	-	-
g__Arianta	g__Constantinea	0.110738198085118	undirected	-	-
g__Arianta	g__Dudgeodes	0.10798879479123101	undirected	-	-
g__Arianta	g__Eulimnadia	0.132195646701955	undirected	-	-
g__Arianta	g__Eurythenes	0.10640793410980999	undirected	-	-
g__Arianta	g__Helminthora	0.132195646701955	undirected	-	-
g__Arianta	g__Hygrocybe	0.116890934859747	undirected	-	-
g__Arianta	g__Kirchenpaueria	0.132195646701955	undirected	-	-
g__Arianta	g__Laemodonta	0.124323948355686	undirected	-	-
g__Arianta	g__Laonice	0.132195646701955	undirected	-	-
