id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acanthacorydalis	g__Acanthacorydalis	20.9822843689654	g__Acanthacorydalis	0.9894	cyan	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Albinaria	g__Albinaria	16.9098108850099	g__Albinaria	0.9601	cyan	0.182	0.063	-0.0435	0.19	0.227	-0.1	-0.0046	0.121	-0.149	-0.1
g__Arianta	g__Arianta	3.908101372535	g__Arianta	0.761	cyan	0.0919	0.0538	-0.0286	0.37	0.394	-0.0893	0.0887	0.147	-0.0522	0.0366
g__Armatoplana	g__Armatoplana	20.9822843689654	g__Armatoplana	0.9894	cyan	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Articulospora	g__Articulospora	14.6160039997353	g__Articulospora	0.9302	cyan	0.139	0.068	-0.0422	0.191	0.26	-0.0773	0.0455	0.0509	-0.0517	-0.0759
g__Bosminopsis	g__Bosminopsis	0.546099515088479	g__Bosminopsis	0.4806	cyan	0.364	0.113	-0.0591	0.304	0.442	-0.107	0.009	0.0768	-0.107	-0.0348
g__Centropages	g__Centropages	8.881883363808631	g__Centropages	0.8635	cyan	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Constantinea	g__Constantinea	4.50530540557617	g__Constantinea	0.7638	cyan	0.189	0.0576	-0.0414	0.189	0.283	-0.107	0.0696	0.0683	-0.0716	-0.0917
g__Dudgeodes	g__Dudgeodes	1.5685313500794598	g__Dudgeodes	0.6341	cyan	-0.0849	-0.0453	0.149	0.359	0.378	-0.0488	-0.0781	0.211	-0.0938	0.139
g__Duganella	g__Duganella	1.46684055147524	g__Duganella	0.4386	cyan	0.132	0.169	0.61	0.312	0.253	-0.0872	-0.0966	0.105	-0.194	0.0289
