id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acetobacter	g__Acetobacter	10.7702398730091	g__Acetobacter	0.9016	darkgrey	0.0824	0.0752	-0.0395	0.137	0.345	-0.0105	-0.0457	0.129	-0.228	0.111
g__Alistipes	g__Alistipes	2.9737532192686404	g__Alistipes	0.7363	darkgrey	0.101	0.0845	-0.0417	0.142	0.366	-0.0016	-0.0008	0.0477	0.0129	0.181
g__Brevibacterium	g__Brevibacterium	2.0813513114364497	g__Brevibacterium	0.6899	darkgrey	0.308	0.141	0.292	0.3	0.262	-0.183	-0.265	0.18	-0.0865	0.0681
g__Calanopia	g__Calanopia	18.8377836735264	g__Calanopia	0.9925	darkgrey	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__Candidatus_Thiobios	g__Candidatus_Thiobios	18.8377836735264	g__Candidatus_Thiobios	0.9925	darkgrey	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__Epulopiscium	g__Epulopiscium	1.6547430849754798	g__Epulopiscium	0.6667	darkgrey	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__Escherichia-Shigella	g__Escherichia-Shigella	1.4713629816925902	g__Escherichia-Shigella	0.6542	darkgrey	0.0581	-0.0831	-0.051	0.0659	0.172	0.0219	-0.204	0.183	0.0544	0.0895
g__Gilliamella	g__Gilliamella	18.8377836735264	g__Gilliamella	0.9925	darkgrey	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__Hydrogenispora	g__Hydrogenispora	8.26016884594214	g__Hydrogenispora	0.8704	darkgrey	0.0486	0.0789	-0.0262	0.355	0.544	-0.052	0.0814	0.147	-0.032	0.267
g__JTB255_marine_benthic_group	g__JTB255_marine_benthic_group	18.8377836735264	g__JTB255_marine_benthic_group	0.9925	darkgrey	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__Lachnoclostridium	g__Lachnoclostridium	2.60230509974489	g__Lachnoclostridium	0.7136	darkgrey	0.0302	-0.0634	-0.046	0.0145	0.222	0.0507	0.0494	-0.0503	0.0868	0.031
g__Methyloceanibacter	g__Methyloceanibacter	18.8377836735264	g__Methyloceanibacter	0.9925	darkgrey	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__Neobenedenia	g__Neobenedenia	18.8377836735264	g__Neobenedenia	0.9925	darkgrey	0.0928	0.0663	-0.0306	0.127	0.353	-0.016	0.0322	0.0468	-0.0231	0.156
g__norank_c__Acetothermiia	g__norank_c__Acetothermiia	1.69154242621005	g__norank_c__Acetothermiia	0.6693	darkgrey	0.098	-0.0242	-0.0324	0.27	0.508	0.0372	0.0857	0.082	-0.0567	0.123
g__norank_c__Anaerolineae	g__norank_c__Anaerolineae	14.9042766214289	g__norank_c__Anaerolineae	0.9527	darkgrey	0.0878	0.0739	-0.0374	0.137	0.355	-0.0126	-0.0204	0.104	-0.164	0.129
g__norank_f__Symbiobacteraceae	g__norank_f__Symbiobacteraceae	3.2855834831181903	g__norank_f__Symbiobacteraceae	0.7484	darkgrey	0.353	0.122	-0.0488	0.211	0.324	-0.0789	-0.105	0.0604	-0.063	0.0963
g__norank_o__Armatimonadales	g__norank_o__Armatimonadales	2.0204080989074997	g__norank_o__Armatimonadales	0.6451	darkgrey	0.0204	0.117	0.757	0.0749	0.247	-0.101	-0.127	-0.0058	-0.0318	0.0669
