source	target	weight	direction	fromAltName	toAltName
g__Asiomorpha	g__Bacteriovorax	0.10455866695976	undirected	-	-
g__Asiomorpha	g__Battersia	0.118783497552357	undirected	-	-
g__Asiomorpha	g__Bolbophorus	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Brachydesmus	0.159551286607485	undirected	-	-
g__Asiomorpha	g__C1-B045	0.153447313538794	undirected	-	-
g__Asiomorpha	g__Capillaster	0.131035515273983	undirected	-	-
g__Asiomorpha	g__Carinodrillia	0.121314254348787	undirected	-	-
g__Asiomorpha	g__Chromodoris	0.12852105239047198	undirected	-	-
g__Asiomorpha	g__Dictyomenia	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Ecnomus	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Forcipomyia	0.11073208067241698	undirected	-	-
g__Asiomorpha	g__Galacantha	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Halopeltis	0.12342880672492698	undirected	-	-
g__Asiomorpha	g__Laeviphitus	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Lampea	0.138766823859988	undirected	-	-
g__Asiomorpha	g__Lechevalieria	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Marionia	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Milnesium	0.11923187359398	undirected	-	-
g__Asiomorpha	g__Mysis	0.11517277262636699	undirected	-	-
g__Asiomorpha	g__Myxococcus	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Nozeba	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Paraborniella	0.127064600051161	undirected	-	-
g__Asiomorpha	g__Parasesarma	0.11346280494116301	undirected	-	-
g__Asiomorpha	g__Parathalestris	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Parviterribacter	0.158579447440104	undirected	-	-
g__Asiomorpha	g__Permianibacter	0.138250585448965	undirected	-	-
g__Asiomorpha	g__Phlyctis	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Polyneura	0.118783497552357	undirected	-	-
g__Asiomorpha	g__Pteromicra	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Sacculina	0.110412658554159	undirected	-	-
g__Asiomorpha	g__Themisto	0.159551286607485	undirected	-	-
g__Asiomorpha	g__Trichobilharzia	0.141949175236714	undirected	-	-
g__Asiomorpha	g__Ulosa	0.118119992716881	undirected	-	-
g__Bacteriovorax	g__Bolbophorus	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Brachydesmus	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__C1-B045	0.101697393148864	undirected	-	-
g__Bacteriovorax	g__Dictyomenia	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Ecnomus	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Galacantha	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Laeviphitus	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Lampea	0.10393398052697	undirected	-	-
g__Bacteriovorax	g__Lechevalieria	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Marionia	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Myxococcus	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Nozeba	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Paraborniella	0.100077561691233	undirected	-	-
g__Bacteriovorax	g__Parathalestris	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Parviterribacter	0.10265462858129303	undirected	-	-
g__Bacteriovorax	g__Permianibacter	0.100603836699246	undirected	-	-
g__Bacteriovorax	g__Phlyctis	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Pteromicra	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Themisto	0.10455866695976	undirected	-	-
g__Bacteriovorax	g__Trichobilharzia	0.10229898450829598	undirected	-	-
g__Battersia	g__Bolbophorus	0.118783497552357	undirected	-	-
g__Battersia	g__Brachydesmus	0.118783497552357	undirected	-	-
g__Battersia	g__C1-B045	0.11610464449016199	undirected	-	-
g__Battersia	g__Capillaster	0.10216726908669999	undirected	-	-
g__Battersia	g__Chromodoris	0.103121287187202	undirected	-	-
g__Battersia	g__Dictyomenia	0.118783497552357	undirected	-	-
g__Battersia	g__Ecnomus	0.118783497552357	undirected	-	-
g__Battersia	g__Galacantha	0.118783497552357	undirected	-	-
g__Battersia	g__Laeviphitus	0.118783497552357	undirected	-	-
g__Battersia	g__Lampea	0.106072817190121	undirected	-	-
g__Battersia	g__Lechevalieria	0.118783497552357	undirected	-	-
g__Battersia	g__Marionia	0.118783497552357	undirected	-	-
g__Battersia	g__Myxococcus	0.118783497552357	undirected	-	-
g__Battersia	g__Nozeba	0.118783497552357	undirected	-	-
g__Battersia	g__Parathalestris	0.118783497552357	undirected	-	-
g__Battersia	g__Parviterribacter	0.120362728934958	undirected	-	-
g__Battersia	g__Permianibacter	0.11141716108263999	undirected	-	-
g__Battersia	g__Phlyctis	0.118783497552357	undirected	-	-
g__Battersia	g__Polyneura	0.116298054681895	undirected	-	-
g__Battersia	g__Pteromicra	0.118783497552357	undirected	-	-
