id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Asiomorpha	g__Asiomorpha	17.5773913171138	g__Asiomorpha	0.989	darkorange	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Bacteriovorax	g__Bacteriovorax	0.279079822656784	g__Bacteriovorax	0.5037	darkorange	-0.0971	0.25	0.236	-0.0827	-0.0558	0.251	0.225	-0.0269	-0.125	-0.221
g__Battersia	g__Battersia	3.1657541481056297	g__Battersia	0.7166	darkorange	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Bolbophorus	g__Bolbophorus	17.5773913171138	g__Bolbophorus	0.989	darkorange	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Brachydesmus	g__Brachydesmus	17.5773913171138	g__Brachydesmus	0.989	darkorange	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__C1-B045	g__C1-B045	13.753558218359599	g__C1-B045	0.9487	darkorange	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
g__Capillaster	g__Capillaster	4.3733921249564505	g__Capillaster	0.7967	darkorange	-0.0589	0.254	-0.0522	-0.0157	-0.0943	0.097	0.154	-0.108	-0.0725	-0.0112
g__Carinodrillia	g__Carinodrillia	2.1788847689863897	g__Carinodrillia	0.7016	darkorange	0.279	-0.0726	0.0768	0.192	-0.148	0.287	0.155	0.0024	-0.131	-0.196
g__Chromodoris	g__Chromodoris	2.0065201748653303	g__Chromodoris	0.7157	darkorange	-0.0834	0.215	-0.0629	-0.0221	-0.109	0.115	0.15	-0.154	-0.0892	-0.139
g__Dictyomenia	g__Dictyomenia	17.5773913171138	g__Dictyomenia	0.989	darkorange	-0.0559	0.203	-0.0321	0.0152	-0.0942	0.211	0.199	-0.048	-0.109	-0.124
