source	target	weight	direction	fromAltName	toAltName
g__Acrochaetium	g__Actinostella	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Amphiduropsis	0.10266799217933001	undirected	-	-
g__Acrochaetium	g__Berkeleya	0.110924942048341	undirected	-	-
g__Acrochaetium	g__Brasilophycus	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Chtonobdella	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Deleatidium	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Encyonema	0.10402788516294699	undirected	-	-
g__Acrochaetium	g__Erythroclonium	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Eunephthya	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Excirolana	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Exophiala	0.113632237647396	undirected	-	-
g__Acrochaetium	g__Fragilariopsis	0.105932859573491	undirected	-	-
g__Acrochaetium	g__Macrostomum	0.106424443475581	undirected	-	-
g__Acrochaetium	g__Mastophora	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Microphyllum	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Montastraea	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__norank_f__Elsteraceae	0.10160878434968303	undirected	-	-
g__Acrochaetium	g__norank_o__Subgroup_15	0.12480983022030599	undirected	-	-
g__Acrochaetium	g__Oroperipatus	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Peltodytes	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Pseudofabraea	0.10390751643919198	undirected	-	-
g__Acrochaetium	g__Rhodomonas	0.10006521669781698	undirected	-	-
g__Acrochaetium	g__Silene	0.119882258674835	undirected	-	-
g__Acrochaetium	g__Sinularia	0.11215506372506	undirected	-	-
g__Acrochaetium	g__Stichastrella	0.11483765949605498	undirected	-	-
g__Acrochaetium	g__Virescentia	0.125485584457079	undirected	-	-
g__Acrochaetium	s__Rhinogobius_brunneus	0.11782772303111	undirected	-	-
g__Acrochaetium	s__Scomber_japonicus	0.102992503545225	undirected	-	-
g__Acrochaetium	s__Zacco_platypus	0.10935827498487599	undirected	-	-
g__Actinostella	g__Amphiduropsis	0.11996528224235302	undirected	-	-
g__Actinostella	g__Anaerocella	0.10912268386364	undirected	-	-
g__Actinostella	g__Berkeleya	0.13154203499932698	undirected	-	-
g__Actinostella	g__Brasilophycus	0.14422284989748002	undirected	-	-
g__Actinostella	g__Chorda	0.10968356948367199	undirected	-	-
g__Actinostella	g__Chtonobdella	0.14422284989748002	undirected	-	-
g__Actinostella	g__Deleatidium	0.14422284989748002	undirected	-	-
g__Actinostella	g__Encyonema	0.11179056231289301	undirected	-	-
g__Actinostella	g__Erythroclonium	0.14422284989748002	undirected	-	-
g__Actinostella	g__Eunephthya	0.14422284989748002	undirected	-	-
g__Actinostella	g__Excirolana	0.14422284989748002	undirected	-	-
g__Actinostella	g__Exophiala	0.127256460722569	undirected	-	-
