id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acrochaetium	g__Acrochaetium	3.05914433079291	g__Acrochaetium	0.7356	darkred	-0.0711	-0.233	-0.0419	-0.152	-0.123	0.14	0.103	-0.166	0.13	-0.148
g__Actinostella	g__Actinostella	15.3291496351014	g__Actinostella	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Amphiduropsis	g__Amphiduropsis	3.76279164991184	g__Amphiduropsis	0.7886	darkred	0.067	-0.349	0.0032	-0.0689	-0.164	0.155	0.0879	-0.159	0.112	-0.223
g__Anaerocella	g__Anaerocella	1.5148278891253302	g__Anaerocella	0.6713	darkred	0.249	-0.342	0.0669	0.0729	-0.151	0.19	0.0687	-0.0713	0.0425	-0.179
g__Berkeleya	g__Berkeleya	5.552204276163371	g__Berkeleya	0.8453	darkred	-0.0998	-0.199	-0.0509	-0.172	-0.147	0.09	0.116	-0.203	0.151	-0.107
g__Brasilophycus	g__Brasilophycus	15.3291496351014	g__Brasilophycus	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Chorda	g__Chorda	1.8460260751561899	g__Chorda	0.7056	darkred	-0.0746	-0.244	-0.0432	-0.17	-0.137	0.126	0.11	-0.187	0.176	-0.139
g__Chtonobdella	g__Chtonobdella	15.3291496351014	g__Chtonobdella	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Deleatidium	g__Deleatidium	15.3291496351014	g__Deleatidium	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Encyonema	g__Encyonema	1.7062267368670703	g__Encyonema	0.7055	darkred	-0.0919	-0.289	-0.0513	-0.206	-0.163	0.169	0.129	-0.221	0.218	-0.124
g__Erythroclonium	g__Erythroclonium	15.3291496351014	g__Erythroclonium	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Eunephthya	g__Eunephthya	15.3291496351014	g__Eunephthya	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Excirolana	g__Excirolana	15.3291496351014	g__Excirolana	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Exophiala	g__Exophiala	5.32606863242869	g__Exophiala	0.8448	darkred	-0.0771	-0.249	-0.0444	-0.155	-0.131	0.116	0.0775	-0.189	0.16	-0.161
g__Fragilariopsis	g__Fragilariopsis	1.36217489608908	g__Fragilariopsis	0.6776	darkred	-0.143	-0.22	-0.0816	-0.14	-0.0656	0.0935	0.129	-0.219	0.317	-0.0912
g__Macrostomum	g__Macrostomum	7.40731284815027	g__Macrostomum	0.8681	darkred	-0.0862	-0.258	-0.0429	-0.174	-0.132	0.151	0.0732	-0.185	0.227	-0.17
g__Mastophora	g__Mastophora	15.3291496351014	g__Mastophora	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
g__Microphyllum	g__Microphyllum	15.3291496351014	g__Microphyllum	0.9827	darkred	-0.0596	-0.184	-0.0329	-0.123	-0.0992	0.0833	0.0738	-0.137	0.12	-0.105
