source	target	weight	direction	fromAltName	toAltName
g__Agapetus	g__Alderia	0.157259363363458	undirected	-	-
g__Agapetus	g__Callochiton	0.15620966603972103	undirected	-	-
g__Agapetus	g__Ceramium	0.118987763399444	undirected	-	-
g__Agapetus	g__Ceratopsyche	0.157259363363458	undirected	-	-
g__Agapetus	g__Crella	0.112222407740121	undirected	-	-
g__Agapetus	g__Fusiturris	0.157259363363458	undirected	-	-
g__Agapetus	g__Haemadipsa	0.14264189176632597	undirected	-	-
g__Agapetus	g__Hartlaubella	0.135945809745022	undirected	-	-
g__Agapetus	g__Hyperiella	0.157259363363458	undirected	-	-
g__Agapetus	g__Iotrochota	0.126174088066081	undirected	-	-
g__Agapetus	g__Leptacme	0.11668177229243301	undirected	-	-
g__Agapetus	g__Mariauxiella	0.157259363363458	undirected	-	-
g__Agapetus	g__Mischococcus	0.148222533549811	undirected	-	-
g__Agapetus	g__Nassaria	0.157259363363458	undirected	-	-
g__Agapetus	g__Paduniella	0.157259363363458	undirected	-	-
g__Agapetus	g__Paulinella	0.128084038162018	undirected	-	-
g__Agapetus	g__Perissogorgia	0.157259363363458	undirected	-	-
g__Agapetus	g__Peronosclerospora	0.11145752555989699	undirected	-	-
g__Agapetus	g__Phyllocaulis	0.145067742937693	undirected	-	-
g__Agapetus	g__Ptilocaulis	0.11811299568581801	undirected	-	-
g__Agapetus	g__Selenochlamys	0.132044310773746	undirected	-	-
g__Agapetus	g__Sinonovacula	0.157259363363458	undirected	-	-
g__Agapetus	g__Soranthera	0.104868839671869	undirected	-	-
g__Agapetus	g__Stellicola	0.157259363363458	undirected	-	-
g__Agapetus	g__Trematocarpus	0.157259363363458	undirected	-	-
g__Agapetus	g__Tyrannodoris	0.157259363363458	undirected	-	-
g__Agapetus	g__Ulmerophlebia	0.157259363363458	undirected	-	-
g__Agapetus	s__Coilia_grayii	0.112792746782471	undirected	-	-
g__Agapetus	s__Glyptothorax_sinensis	0.157259363363458	undirected	-	-
g__Agapetus	s__Lateolabrax_maculatus	0.139007042209569	undirected	-	-
g__Agapetus	s__Megalobrama_amblycephala	0.138627816416444	undirected	-	-
g__Agapetus	s__Odontobutis_sinensis	0.14834210538409698	undirected	-	-
g__Alderia	g__Ammothella	0.10068872289148599	undirected	-	-
g__Alderia	g__Callochiton	0.156900126897994	undirected	-	-
g__Alderia	g__Ceramium	0.12184050088642698	undirected	-	-
g__Alderia	g__Ceratopsyche	0.157892438854588	undirected	-	-
g__Alderia	g__Crella	0.114161777259763	undirected	-	-
g__Alderia	g__Fusiturris	0.157892438854588	undirected	-	-
g__Alderia	g__Haemadipsa	0.143210790340129	undirected	-	-
g__Alderia	g__Hartlaubella	0.136436054395654	undirected	-	-
g__Alderia	g__Hyperiella	0.157892438854588	undirected	-	-
g__Alderia	g__Iotrochota	0.128352091059707	undirected	-	-
g__Alderia	g__Leptacme	0.11971135816431301	undirected	-	-
g__Alderia	g__Mariauxiella	0.157892438854588	undirected	-	-
g__Alderia	g__Mischococcus	0.14881557639554502	undirected	-	-
g__Alderia	g__Nassaria	0.157892438854588	undirected	-	-
g__Alderia	g__Paduniella	0.157892438854588	undirected	-	-
g__Alderia	g__Paulinella	0.131428745437736	undirected	-	-
g__Alderia	g__Perissogorgia	0.157892438854588	undirected	-	-
g__Alderia	g__Peronosclerospora	0.111934092660254	undirected	-	-
g__Alderia	g__Phyllocaulis	0.145592589127507	undirected	-	-
g__Alderia	g__Ptilocaulis	0.11909125604038	undirected	-	-
g__Alderia	g__Selenochlamys	0.135447607953694	undirected	-	-
g__Alderia	g__Sinonovacula	0.157892438854588	undirected	-	-
g__Alderia	g__Soranthera	0.107338004698412	undirected	-	-
g__Alderia	g__Stellicola	0.157892438854588	undirected	-	-
g__Alderia	g__Trematocarpus	0.157892438854588	undirected	-	-
g__Alderia	g__Tyrannodoris	0.157892438854588	undirected	-	-
g__Alderia	g__Ulmerophlebia	0.157892438854588	undirected	-	-
g__Alderia	s__Coilia_grayii	0.115708857405378	undirected	-	-
g__Alderia	s__Glyptothorax_sinensis	0.157892438854588	undirected	-	-
g__Alderia	s__Lateolabrax_maculatus	0.139403111430176	undirected	-	-
g__Alderia	s__Megalobrama_amblycephala	0.139019545480077	undirected	-	-
g__Alderia	s__Odontobutis_sinensis	0.148877793522203	undirected	-	-
g__Ammothella	g__Callochiton	0.10681480033500901	undirected	-	-
g__Ammothella	g__Ceratopsyche	0.10068872289148599	undirected	-	-
g__Ammothella	g__Fusiturris	0.10068872289148599	undirected	-	-
g__Ammothella	g__Haemadipsa	0.101751149369808	undirected	-	-
g__Ammothella	g__Hyperiella	0.10068872289148599	undirected	-	-
g__Ammothella	g__Mariauxiella	0.10068872289148599	undirected	-	-
g__Ammothella	g__Mischococcus	0.104415361717018	undirected	-	-
g__Ammothella	g__Nassaria	0.10068872289148599	undirected	-	-
