id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Agapetus	g__Agapetus	16.601254952269798	g__Agapetus	0.9853	darkturquoise	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Alderia	g__Alderia	18.244604376032502	g__Alderia	0.9956	darkturquoise	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Ammothella	g__Ammothella	0.355758242961789	g__Ammothella	0.5205	darkturquoise	-0.0932	-0.0228	-0.0596	0.106	0.182	0.0534	0.0859	-0.0576	0.16	0.288
g__Callochiton	g__Callochiton	10.831738550304802	g__Callochiton	0.9133	darkturquoise	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Ceramium	g__Ceramium	2.3970765718405698	g__Ceramium	0.7169	darkturquoise	-0.0706	0.258	0.0175	-0.0599	-0.0848	-0.0954	-0.141	0.017	-0.114	0.317
g__Ceratopsyche	g__Ceratopsyche	18.244604376032502	g__Ceratopsyche	0.9956	darkturquoise	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Crella	g__Crella	1.2063339995758302	g__Crella	0.6392	darkturquoise	-0.204	-0.0347	-0.0379	-0.0655	-0.0628	0.07	0.0666	-0.196	0.152	0.267
g__Fusiturris	g__Fusiturris	18.244604376032502	g__Fusiturris	0.9956	darkturquoise	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Haemadipsa	g__Haemadipsa	5.22315596215854	g__Haemadipsa	0.8125	darkturquoise	-0.103	0.0583	-0.0437	-0.0719	-0.0644	0.0013	0.0492	-0.109	0.0692	0.231
g__Hartlaubella	g__Hartlaubella	6.838224387385679	g__Hartlaubella	0.8459	darkturquoise	-0.0181	0.154	-0.0455	-0.0283	0.0301	-0.0849	-0.0271	-0.0424	-0.0053	0.275
g__Hyperiella	g__Hyperiella	18.244604376032502	g__Hyperiella	0.9956	darkturquoise	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Iotrochota	g__Iotrochota	4.8982647891607005	g__Iotrochota	0.7948	darkturquoise	-0.115	0.0154	-0.0474	-0.0765	-0.0678	-0.0155	0.033	-0.117	0.0516	0.157
g__Leptacme	g__Leptacme	2.2469830170109906	g__Leptacme	0.7069	darkturquoise	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
