source	target	weight	direction	fromAltName	toAltName
g__Adoncholaimus	g__Amphicteis	0.22526411779554398	undirected	-	-
g__Adoncholaimus	g__Angiostrongylus	0.261657858713312	undirected	-	-
g__Adoncholaimus	g__Anopheles	0.14782332101541198	undirected	-	-
g__Adoncholaimus	g__Argonemertes	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Asplanchna	0.155394196535396	undirected	-	-
g__Adoncholaimus	g__Atopobathynella	0.20549209138354801	undirected	-	-
g__Adoncholaimus	g__Bennelongia	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Bifidochaetus	0.21579061860370602	undirected	-	-
g__Adoncholaimus	g__Bougainvillia	0.186581048383874	undirected	-	-
g__Adoncholaimus	g__Brachionus	0.12082629272479	undirected	-	-
g__Adoncholaimus	g__Bursa	0.22274977533274498	undirected	-	-
g__Adoncholaimus	g__Calathura	0.225243787694037	undirected	-	-
g__Adoncholaimus	g__Caldithrix	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Candidatus_Latescibacter	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Caridina	0.182225592844254	undirected	-	-
g__Adoncholaimus	g__Catanema	0.25280490626771	undirected	-	-
g__Adoncholaimus	g__Cephalothrix	0.13358494110143698	undirected	-	-
g__Adoncholaimus	g__Cerithidea	0.26421563618702	undirected	-	-
g__Adoncholaimus	g__Chaetonotus	0.175216390086319	undirected	-	-
g__Adoncholaimus	g__Chironomus	0.127716761601473	undirected	-	-
g__Adoncholaimus	g__Chondrocyclus	0.224957698053538	undirected	-	-
g__Adoncholaimus	g__Chthamalus	0.254642634690921	undirected	-	-
g__Adoncholaimus	g__CI75cm.2.12	0.147893810675189	undirected	-	-
g__Adoncholaimus	g__Cladopelma	0.21420065420733703	undirected	-	-
g__Adoncholaimus	g__Clunio	0.22247543178974102	undirected	-	-
g__Adoncholaimus	g__Culex	0.18518112257094196	undirected	-	-
g__Adoncholaimus	g__Culicoides	0.20322817029876	undirected	-	-
g__Adoncholaimus	g__Cycloseris	0.268651694356637	undirected	-	-
g__Adoncholaimus	g__Cylindropsyllus	0.258759890642343	undirected	-	-
g__Adoncholaimus	g__Cylindrotheca	0.132705603493541	undirected	-	-
g__Adoncholaimus	g__Dasyhelea	0.22526411779554398	undirected	-	-
g__Adoncholaimus	g__Deroceras	0.20050110874823102	undirected	-	-
g__Adoncholaimus	g__Desmodora	0.227466476422037	undirected	-	-
g__Adoncholaimus	g__Deuteraphorura	0.22247543178974102	undirected	-	-
g__Adoncholaimus	g__Diopatra	0.26368307221690807	undirected	-	-
g__Adoncholaimus	g__Domanibdella	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Echinocythereis	0.227189537748093	undirected	-	-
g__Adoncholaimus	g__Echinoderes	0.175568515203222	undirected	-	-
g__Adoncholaimus	g__Endodonta	0.223126074492804	undirected	-	-
g__Adoncholaimus	g__Eulimnogammarus	0.19794173551362002	undirected	-	-
g__Adoncholaimus	g__Eumunida	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Euphausia	0.175761928467516	undirected	-	-
g__Adoncholaimus	g__Filobasidium	0.16380091675186903	undirected	-	-
g__Adoncholaimus	g__Gallobathynella	0.22526411779554398	undirected	-	-
g__Adoncholaimus	g__Gemmula	0.260860344783179	undirected	-	-
g__Adoncholaimus	g__Glyptotendipes	0.257493115054146	undirected	-	-
g__Adoncholaimus	g__Grimpoteuthis	0.25093095499816104	undirected	-	-
g__Adoncholaimus	g__Healyella	0.268663682658985	undirected	-	-
g__Adoncholaimus	g__Heterocyathus	0.19483766256100402	undirected	-	-
g__Adoncholaimus	g__Hormosira	0.178834474036754	undirected	-	-
g__Adoncholaimus	g__Hymenena	0.213522034202078	undirected	-	-
g__Adoncholaimus	g__Jaminaea	0.12917075470311	undirected	-	-
g__Adoncholaimus	g__Jehlius	0.225301671729754	undirected	-	-
g__Adoncholaimus	g__Kalicephalus	0.213653124160855	undirected	-	-
g__Adoncholaimus	g__Kiefferulus	0.25296686061199	undirected	-	-
g__Adoncholaimus	g__Lamproderma	0.22247543178974102	undirected	-	-
g__Adoncholaimus	g__Lepidochaetus	0.269012138729753	undirected	-	-
g__Adoncholaimus	g__Limnodrilus	0.119960642352133	undirected	-	-
g__Adoncholaimus	g__Limnophyes	0.255026751487989	undirected	-	-
g__Adoncholaimus	g__Listrocheiritium	0.22522313854198397	undirected	-	-
g__Adoncholaimus	g__Littoraria	0.20783442037638397	undirected	-	-
g__Adoncholaimus	g__Lucernaria	0.260978614966346	undirected	-	-
g__Adoncholaimus	g__Lumbricillus	0.23797417938969395	undirected	-	-
g__Adoncholaimus	g__Macronychus	0.22526411779554398	undirected	-	-
g__Adoncholaimus	g__Macrotrachela	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Megasphaera	0.163119639682927	undirected	-	-
g__Adoncholaimus	g__Meghimatium	0.250792385821058	undirected	-	-
g__Adoncholaimus	g__Metachromadora	0.23587852545460394	undirected	-	-
g__Adoncholaimus	g__Metalimnobia	0.242324866677357	undirected	-	-
g__Adoncholaimus	g__Micropsectra	0.268186248261556	undirected	-	-
g__Adoncholaimus	g__Minutocellus	0.22109410462215398	undirected	-	-
g__Adoncholaimus	g__Mitra	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Mitsuokella	0.140881724010285	undirected	-	-
g__Adoncholaimus	g__Mopalia	0.22247543178974102	undirected	-	-
g__Adoncholaimus	g__Muusoctopus	0.21236200330236	undirected	-	-
g__Adoncholaimus	g__Nematomenia	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Nerita	0.26230032507584805	undirected	-	-
g__Adoncholaimus	g__norank_f__Propionibacteriaceae	0.137755658076924	undirected	-	-
g__Adoncholaimus	g__norank_o__Run-SP154	0.165461410183385	undirected	-	-
g__Adoncholaimus	g__norank_o__VHS-B3-70	0.156237168626621	undirected	-	-
g__Adoncholaimus	g__norank_p__DTB120	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Onychelmis	0.264200192008322	undirected	-	-
g__Adoncholaimus	g__Ooperipatellus	0.22247543178974102	undirected	-	-
g__Adoncholaimus	g__Ophlitaspongia	0.176187893755207	undirected	-	-
g__Adoncholaimus	g__Opisthopatus	0.25665822174473996	undirected	-	-
g__Adoncholaimus	g__Oxyethira	0.22275227643782103	undirected	-	-
g__Adoncholaimus	g__Panulirus	0.22730267835589896	undirected	-	-
g__Adoncholaimus	g__Paracladopelma	0.208657441307958	undirected	-	-
g__Adoncholaimus	g__Parasagitta	0.181491491767317	undirected	-	-
g__Adoncholaimus	g__Parhyale	0.16152626576173001	undirected	-	-
g__Adoncholaimus	g__Pascula	0.256711264265936	undirected	-	-
g__Adoncholaimus	g__Perinereis	0.262264912465138	undirected	-	-
g__Adoncholaimus	g__Peripatopsis	0.151483304238857	undirected	-	-
g__Adoncholaimus	g__Perthia	0.227189537748093	undirected	-	-
g__Adoncholaimus	g__Phylladiorhynchus	0.26910510590404896	undirected	-	-
g__Adoncholaimus	g__Plaxiphora	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Poliometra	0.26204843793716104	undirected	-	-
g__Adoncholaimus	g__Pollicipes	0.17033237611096502	undirected	-	-
g__Adoncholaimus	g__Polypedilum	0.170281553316444	undirected	-	-
g__Adoncholaimus	g__Proceraea	0.254830850753984	undirected	-	-
g__Adoncholaimus	g__Psammodictyon	0.18106398578277103	undirected	-	-
g__Adoncholaimus	g__Pseudoperonospora	0.17348893646735097	undirected	-	-
g__Adoncholaimus	g__Pycnopsyche	0.22247543178974102	undirected	-	-
g__Adoncholaimus	g__Ramiella	0.222420040113232	undirected	-	-
g__Adoncholaimus	g__Robbea	0.239334941912731	undirected	-	-
g__Adoncholaimus	g__Roseolithon	0.222015350080863	undirected	-	-
g__Adoncholaimus	g__Rotaria	0.211486024443265	undirected	-	-
g__Adoncholaimus	g__Runcina	0.268320749034494	undirected	-	-
g__Adoncholaimus	g__Sargassum	0.14468054786655	undirected	-	-
g__Adoncholaimus	g__SD04E11	0.11393225204383198	undirected	-	-
g__Adoncholaimus	g__Semotrachia	0.22631303023831098	undirected	-	-
g__Adoncholaimus	g__Spirinia	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Stylicletodes	0.188847830123323	undirected	-	-
g__Adoncholaimus	g__Synalpheus	0.268524796286785	undirected	-	-
g__Adoncholaimus	g__Synisoma	0.2522830401318	undirected	-	-
g__Adoncholaimus	g__Tegula	0.263848283696826	undirected	-	-
g__Adoncholaimus	g__Teleuscolex	0.22220319688217602	undirected	-	-
g__Adoncholaimus	g__Tenguella	0.22247543178974102	undirected	-	-
g__Adoncholaimus	g__Tetrastemma	0.164804629799289	undirected	-	-
g__Adoncholaimus	g__Thalassodrilides	0.247589744253005	undirected	-	-
g__Adoncholaimus	g__Thor	0.26554369653294696	undirected	-	-
g__Adoncholaimus	g__Thraulus	0.267224894654529	undirected	-	-
g__Adoncholaimus	g__Thylacodes	0.22247543178974102	undirected	-	-
g__Adoncholaimus	g__Trapezia	0.254398168729629	undirected	-	-
g__Adoncholaimus	g__Tremella	0.222420040113232	undirected	-	-
g__Adoncholaimus	g__Triops	0.25285927588491897	undirected	-	-
g__Adoncholaimus	g__Tritonia	0.270766957753601	undirected	-	-
g__Adoncholaimus	g__Tubifex	0.259834897976228	undirected	-	-
g__Adoncholaimus	g__Tubulanus	0.18154522975886103	undirected	-	-
g__Adoncholaimus	g__Undibacterium	0.154508242825568	undirected	-	-
g__Adoncholaimus	g__Valvata	0.153509062700617	undirected	-	-
g__Adoncholaimus	g__Valvognathia	0.249272967974755	undirected	-	-
g__Adoncholaimus	s__Barbodes_semifasciolatus	0.155832201181386	undirected	-	-
g__Adoncholaimus	s__Cirrhinus_mrigala	0.188847830123323	undirected	-	-
g__Adoncholaimus	s__Decapterus_maruadsi	0.159373947014961	undirected	-	-
g__Adoncholaimus	s__Labeo_bata	0.155275066414749	undirected	-	-
g__Adoncholaimus	s__Lagocephalus_spadiceus	0.16214240250247	undirected	-	-
g__Adoncholaimus	s__Lefua_costata	0.157830401809009	undirected	-	-
g__Adoncholaimus	s__Mesogobio_lachneri	0.22526411779554398	undirected	-	-
g__Adoncholaimus	s__Misgurnus_bipartitus	0.169775714554147	undirected	-	-
g__Adoncholaimus	s__Opsariichthys_uncirostris	0.14083810345731	undirected	-	-
g__Adoncholaimus	s__Perccottus_glenii	0.167109079740406	undirected	-	-
g__Adoncholaimus	s__Phoxinus_semotilus	0.22247543178974102	undirected	-	-
g__Adoncholaimus	s__Rhinogobius_cliffordpopei	0.118379360678681	undirected	-	-
g__Adoncholaimus	s__Rhynchocypris_percnurus	0.20188959961863603	undirected	-	-
g__Adoncholaimus	s__Sardinella_fijiensis	0.188847830123323	undirected	-	-
g__Adoncholaimus	s__Siganus_fuscescens	0.21362001166690497	undirected	-	-
g__Adoncholaimus	s__Sinibotia_superciliaris	0.214094592581193	undirected	-	-
g__Adoncholaimus	s__Triplophysa_dalaica	0.21873724416718102	undirected	-	-
g__Adoncholaimus	s__Upeneus_japonicus	0.21787354124949398	undirected	-	-
g__Adoncholaimus	s__Xenocypris_fangi	0.214420411128375	undirected	-	-
g__Amphicteis	g__Angiostrongylus	0.23198767383088	undirected	-	-
g__Amphicteis	g__Anopheles	0.134077214643181	undirected	-	-
g__Amphicteis	g__Argonemertes	0.17021140753384698	undirected	-	-
g__Amphicteis	g__Asplanchna	0.13417517225781	undirected	-	-
g__Amphicteis	g__Atopobathynella	0.15463514350544502	undirected	-	-
g__Amphicteis	g__Bennelongia	0.17021140753384698	undirected	-	-
g__Amphicteis	g__Bifidochaetus	0.18033885201837802	undirected	-	-
g__Amphicteis	g__Bougainvillia	0.15394966042598998	undirected	-	-
g__Amphicteis	g__Brachionus	0.10702183813089801	undirected	-	-
g__Amphicteis	g__Bursa	0.18349081913915602	undirected	-	-
g__Amphicteis	g__Calathura	0.21017046190012303	undirected	-	-
g__Amphicteis	g__Caldithrix	0.17021140753384698	undirected	-	-
