id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Adoncholaimus	g__Adoncholaimus	40.1260456730055	g__Adoncholaimus	0.9821	green	0.0262	0.14	-0.0407	0.406	0.462	-0.0945	0.067	0.169	0.0497	0.306
g__Amphicteis	g__Amphicteis	22.995229721585	g__Amphicteis	0.8223	green	-0.0111	0.147	-0.0199	0.294	0.331	-0.152	0.0705	0.162	0.0189	0.317
g__Angiostrongylus	g__Angiostrongylus	40.3240529163816	g__Angiostrongylus	0.9786	green	0.0124	0.15	-0.0363	0.415	0.466	-0.118	0.0737	0.185	0.0431	0.336
g__Anopheles	g__Anopheles	1.7057444563883102	g__Anopheles	0.5703	green	-0.346	-0.223	-0.0003	0.0682	0.0985	0.108	0.143	-0.0143	0.342	0.143
g__Argonemertes	g__Argonemertes	21.7337161020699	g__Argonemertes	0.6124	green	0.075	0.0407	-0.0343	0.419	0.481	-0.0293	0.173	0.117	-0.0222	0.0911
g__Asplanchna	g__Asplanchna	1.3900165669244702	g__Asplanchna	0.5568	green	-0.0278	0.218	-0.106	0.258	0.259	-0.19	-0.0324	0.203	-0.123	0.281
g__Atopobathynella	g__Atopobathynella	13.5729832891718	g__Atopobathynella	0.6807	green	0.0556	0.152	-0.0236	0.139	0.0366	-0.23	-0.24	0.25	0.0614	0.249
g__Bennelongia	g__Bennelongia	21.7337161020699	g__Bennelongia	0.6124	green	0.075	0.0407	-0.0343	0.419	0.481	-0.0293	0.173	0.117	-0.0222	0.0911
g__Bifidochaetus	g__Bifidochaetus	24.006981719425802	g__Bifidochaetus	0.7487	green	-0.0452	0.162	-0.0206	0.123	0.136	-0.111	-0.0911	0.117	0.095	0.348
g__Bougainvillia	g__Bougainvillia	6.17081330108149	g__Bougainvillia	0.703	green	-0.0867	0.326	-0.0881	0.218	0.244	-0.12	0.124	0.115	-0.0116	0.302
g__Brachionus	g__Brachionus	0.113830687005815	g__Brachionus	0.3496	green	-0.132	0.231	-0.15	0.198	0.0925	-0.214	0.0174	0.158	-0.0264	0.295
g__Bursa	g__Bursa	28.4239087990402	g__Bursa	0.7652	green	-0.0331	0.156	-0.0214	0.0414	0.0607	-0.0987	-0.11	0.0821	0.0994	0.307
g__Calathura	g__Calathura	26.232025841731	g__Calathura	0.8126	green	0.0152	0.124	-0.0258	0.353	0.401	-0.124	0.107	0.159	0.0073	0.268
g__Caldithrix	g__Caldithrix	21.7337161020699	g__Caldithrix	0.6124	green	0.075	0.0407	-0.0343	0.419	0.481	-0.0293	0.173	0.117	-0.0222	0.0911
g__Candidatus_Latescibacter	g__Candidatus_Latescibacter	21.7337161020699	g__Candidatus_Latescibacter	0.6124	green	0.075	0.0407	-0.0343	0.419	0.481	-0.0293	0.173	0.117	-0.0222	0.0911
g__Caridina	g__Caridina	5.01464193687626	g__Caridina	0.6822	green	0.0467	0.232	-0.0582	0.147	0.237	-0.24	-0.0266	0.0753	0.0568	0.133
g__Catanema	g__Catanema	31.067212404775802	g__Catanema	0.9333	green	0.0526	0.114	-0.0459	0.321	0.385	-0.0443	0.0374	0.115	0.0624	0.221
g__Cephalothrix	g__Cephalothrix	0.221043873661901	g__Cephalothrix	0.3974	green	-0.183	-0.127	-0.0964	-0.0637	0.0724	0.0637	0.07	-0.122	0.176	-0.0694
g__Cerithidea	g__Cerithidea	41.601076489097295	g__Cerithidea	0.9534	green	-0.0076	0.162	-0.0345	0.296	0.335	-0.107	-0.012	0.156	0.0796	0.352
g__Chaetonotus	g__Chaetonotus	4.10291668632036	g__Chaetonotus	0.6637	green	0.0098	0.171	-0.0347	0.444	0.45	-0.171	0.004	0.251	0.051	0.385
g__Chironomus	g__Chironomus	0.239835318636948	g__Chironomus	0.3346	green	-0.0812	-0.0053	0.0633	0.0278	-0.0577	-0.179	-0.136	0.132	0.194	0.219
g__Chondrocyclus	g__Chondrocyclus	26.3398065191358	g__Chondrocyclus	0.8106	green	0.0168	0.122	-0.0261	0.357	0.405	-0.122	0.11	0.158	0.0066	0.264
g__Chthamalus	g__Chthamalus	33.7637861490291	g__Chthamalus	0.9586	green	0.0502	0.168	-0.042	0.464	0.512	-0.174	0.0484	0.238	0.0299	0.347
g__CI75cm.2.12	g__CI75cm.2.12	2.87014926448332	g__CI75cm.2.12	0.4515	green	-0.0156	0.0596	-0.0192	0.699	0.709	-0.0857	0.204	0.262	-0.0341	0.282
g__Cladopelma	g__Cladopelma	12.5959684183692	g__Cladopelma	0.7913	green	-0.0466	-0.0141	-0.0479	0.251	0.273	-0.0839	-0.147	0.273	0.102	0.235
g__Clunio	g__Clunio	28.5063079188633	g__Clunio	0.7665	green	-0.0378	0.16	-0.0199	0.0389	0.0566	-0.107	-0.11	0.0858	0.0981	0.317
g__Culex	g__Culex	5.457126369554781	g__Culex	0.6877	green	0.224	0.256	0.449	0.36	0.417	-0.335	-0.165	0.229	-0.036	0.226
g__Culicoides	g__Culicoides	6.220463882298501	g__Culicoides	0.7142	green	-0.0313	0.346	-0.0515	0.307	0.314	-0.152	0.0664	0.194	-0.0563	0.191
g__Cycloseris	g__Cycloseris	42.4207337663901	g__Cycloseris	0.9882	green	0.0128	0.163	-0.0371	0.403	0.427	-0.14	0.0098	0.213	0.0592	0.36
g__Cylindropsyllus	g__Cylindropsyllus	39.5796893322194	g__Cylindropsyllus	0.9674	green	0.021	0.146	-0.0357	0.339	0.394	-0.112	0.0601	0.154	0.0441	0.301
g__Cylindrotheca	g__Cylindrotheca	0.6490673262439001	g__Cylindrotheca	0.4795	green	-0.161	0.221	-0.0579	0.086	0.14	-0.0918	-0.0005	-0.0322	0.0393	0.298
g__Dasyhelea	g__Dasyhelea	22.995229721585	g__Dasyhelea	0.8223	green	-0.0111	0.147	-0.0199	0.294	0.331	-0.152	0.0705	0.162	0.0189	0.317
g__Deroceras	g__Deroceras	10.366009587227198	g__Deroceras	0.7776	green	0.0084	0.138	-0.053	0.337	0.391	-0.051	0.0513	0.0978	0.0448	0.323
g__Desmodora	g__Desmodora	14.185077548168199	g__Desmodora	0.8189	green	0.165	0.196	-0.0479	0.479	0.472	-0.337	-0.066	0.36	-0.0139	0.306
g__Deuteraphorura	g__Deuteraphorura	28.5063079188633	g__Deuteraphorura	0.7665	green	-0.0378	0.16	-0.0199	0.0389	0.0566	-0.107	-0.11	0.0858	0.0981	0.317
g__Diopatra	g__Diopatra	41.181570001702795	g__Diopatra	0.9639	green	-0.0028	0.18	-0.0313	0.366	0.366	-0.176	-0.0334	0.233	0.0632	0.394
g__Domanibdella	g__Domanibdella	21.7337161020699	g__Domanibdella	0.6124	green	0.075	0.0407	-0.0343	0.419	0.481	-0.0293	0.173	0.117	-0.0222	0.0911
g__Echinocythereis	g__Echinocythereis	17.3547326442329	g__Echinocythereis	0.8165	green	0.0804	0.0712	-0.0491	0.343	0.413	0.0034	0.0667	0.0914	0.0475	0.13
g__Echinoderes	g__Echinoderes	5.26722137326189	g__Echinoderes	0.5673	green	-0.0806	0.134	-0.0127	0.448	0.433	-0.125	0.0173	0.234	0.0485	0.415
g__Endodonta	g__Endodonta	26.4629751750164	g__Endodonta	0.7628	green	-0.0432	0.157	-0.0221	0.157	0.17	-0.104	-0.083	0.125	0.094	0.347
g__Eulimnogammarus	g__Eulimnogammarus	8.272251482638769	g__Eulimnogammarus	0.7341	green	0.173	0.228	0.357	0.173	0.269	-0.265	-0.153	0.126	0.0017	0.205
g__Eumunida	g__Eumunida	21.7337161020699	g__Eumunida	0.6124	green	0.075	0.0407	-0.0343	0.419	0.481	-0.0293	0.173	0.117	-0.0222	0.0911
g__Euphausia	g__Euphausia	2.9805017765178103	g__Euphausia	0.5874	green	-0.0993	0.218	-0.0606	0.077	0.0927	-0.0042	0.0678	0.0199	-0.0357	0.259
g__Filobasidium	g__Filobasidium	1.37438337077166	g__Filobasidium	0.535	green	0.325	-0.252	-0.113	0.428	0.332	-0.0494	-0.201	0.244	0.0628	0.0651
g__Gallobathynella	g__Gallobathynella	22.995229721585	g__Gallobathynella	0.8223	green	-0.0111	0.147	-0.0199	0.294	0.331	-0.152	0.0705	0.162	0.0189	0.317
g__Gemmula	g__Gemmula	40.0122406324991	g__Gemmula	0.9715	green	0.0081	0.157	-0.0328	0.309	0.359	-0.125	0.0412	0.155	0.0501	0.325
g__Glyptotendipes	g__Glyptotendipes	35.615623426508996	g__Glyptotendipes	0.9558	green	0.0096	0.159	-0.0352	0.285	0.335	-0.114	0.0176	0.145	0.0637	0.323
g__Grimpoteuthis	g__Grimpoteuthis	32.5328900544821	g__Grimpoteuthis	0.9151	green	0.057	0.152	-0.0384	0.267	0.25	-0.157	-0.102	0.206	0.0668	0.272
g__Healyella	g__Healyella	42.4870566567919	g__Healyella	0.9908	green	0.038	0.156	-0.0387	0.324	0.35	-0.136	-0.0083	0.184	0.0565	0.303
g__Heterocyathus	g__Heterocyathus	8.45532981706212	g__Heterocyathus	0.7569	green	0.138	0.181	-0.024	0.381	0.344	-0.202	-0.0389	0.186	0.0081	0.262
g__Hormosira	g__Hormosira	2.48194818703133	g__Hormosira	0.6041	green	-0.0894	-0.27	-0.0689	0.171	0.145	0.0974	0.0814	-0.0325	0.358	0.277
g__Hymenena	g__Hymenena	14.684133110557802	g__Hymenena	0.8343	green	0.253	0.222	-0.056	0.536	0.496	-0.209	-0.098	0.241	-0.0093	0.286
g__Jaminaea	g__Jaminaea	0.42049743770764203	g__Jaminaea	0.3712	green	-0.19	-0.391	-0.102	0.1	0.0997	0.139	0.0156	0.0428	0.238	0.0249
g__Jehlius	g__Jehlius	20.265242724959396	g__Jehlius	0.8081	green	0.0843	0.0665	-0.0478	0.391	0.463	-0.0066	0.105	0.106	0.0288	0.127
g__Kalicephalus	g__Kalicephalus	26.303999402786	g__Kalicephalus	0.7456	green	0.046	0.0872	-0.0312	0.401	0.458	-0.0815	0.145	0.144	-0.0073	0.19
g__Kiefferulus	g__Kiefferulus	34.8458835673584	g__Kiefferulus	0.9356	green	0.0139	0.177	-0.0355	0.261	0.309	-0.14	-0.0032	0.152	0.0621	0.332
g__Lamproderma	g__Lamproderma	28.5063079188633	g__Lamproderma	0.7665	green	-0.0378	0.16	-0.0199	0.0389	0.0566	-0.107	-0.11	0.0858	0.0981	0.317
g__Lepidochaetus	g__Lepidochaetus	43.4703284263558	g__Lepidochaetus	0.9841	green	0.0032	0.164	-0.0337	0.266	0.313	-0.119	0.0063	0.144	0.0672	0.332
g__Limnodrilus	g__Limnodrilus	0.0726717175023219	g__Limnodrilus	0.2998	green	-0.135	-0.146	-0.0199	-0.191	-0.0747	0.11	-0.118	-0.0921	0.08	0.148
g__Limnophyes	g__Limnophyes	35.4231137690351	g__Limnophyes	0.9459	green	-0.0148	0.103	-0.0452	0.21	0.262	-0.0886	0.0082	0.0949	0.113	0.286
g__Listrocheiritium	g__Listrocheiritium	26.240656371924402	g__Listrocheiritium	0.8124	green	0.0153	0.124	-0.0258	0.354	0.401	-0.124	0.108	0.159	0.0073	0.268
g__Littoraria	g__Littoraria	18.9706375567969	g__Littoraria	0.7125	green	-0.0367	0.16	-0.0203	0.0395	0.0576	-0.105	-0.11	0.0849	0.0985	0.315
g__Lucernaria	g__Lucernaria	41.3426980566311	g__Lucernaria	0.9355	green	-0.006	0.163	-0.032	0.185	0.225	-0.105	-0.0438	0.119	0.0863	0.324
g__Lumbricillus	g__Lumbricillus	25.641038720131196	g__Lumbricillus	0.9067	green	0.0093	0.155	-0.0355	0.379	0.429	-0.121	0.0583	0.176	0.0485	0.338
g__Macronychus	g__Macronychus	22.995229721585	g__Macronychus	0.8223	green	-0.0111	0.147	-0.0199	0.294	0.331	-0.152	0.0705	0.162	0.0189	0.317
g__Macrotrachela	g__Macrotrachela	21.7337161020699	g__Macrotrachela	0.6124	green	0.075	0.0407	-0.0343	0.419	0.481	-0.0293	0.173	0.117	-0.0222	0.0911
g__Megasphaera	g__Megasphaera	5.7468587544042595	g__Megasphaera	0.5104	green	0.151	0.0693	-0.0277	0.459	0.346	-0.245	-0.0507	0.342	-0.0569	0.0888
