source	target	weight	direction	fromAltName	toAltName
g__Apophysomyces	g__Chondracanthus	0.14077908129873098	undirected	-	-
g__Apophysomyces	g__Cyanea	0.126709208505233	undirected	-	-
g__Apophysomyces	g__Cyerce	0.11149018714727901	undirected	-	-
g__Apophysomyces	g__Daphnia	0.153229554562336	undirected	-	-
g__Apophysomyces	g__Ectopleura	0.106536673418745	undirected	-	-
g__Apophysomyces	g__Halammohydra	0.103339508375792	undirected	-	-
g__Apophysomyces	g__Histiona	0.126908966035675	undirected	-	-
g__Apophysomyces	g__Karlodinium	0.11121554182847601	undirected	-	-
g__Apophysomyces	g__Leathesia	0.115234948744261	undirected	-	-
g__Apophysomyces	g__Monodopsis	0.119067075846618	undirected	-	-
g__Apophysomyces	g__norank_f__Balneolaceae	0.14385232698599	undirected	-	-
g__Apophysomyces	g__norank_o__Candidatus_Staskawiczbacteria	0.111334756186611	undirected	-	-
g__Apophysomyces	g__norank_o__SZB7	0.142130783933616	undirected	-	-
g__Apophysomyces	g__Oscarella	0.11951961814909501	undirected	-	-
g__Apophysomyces	g__Peltigera	0.11500745867849	undirected	-	-
g__Apophysomyces	g__Phorbas	0.121977334752151	undirected	-	-
g__Apophysomyces	g__Plakinastrella	0.10208897511356099	undirected	-	-
g__Apophysomyces	g__Ptilota	0.10162196074451599	undirected	-	-
g__Apophysomyces	g__Setoutiphycus	0.11889478979223199	undirected	-	-
g__Apophysomyces	g__Splachnidium	0.10510323061037101	undirected	-	-
g__Apophysomyces	g__Sulfurimonas	0.13359124927110003	undirected	-	-
g__Apophysomyces	g__Thuretia	0.10577844510380499	undirected	-	-
g__Apophysomyces	g__Velkovrhia	0.115808255394021	undirected	-	-
g__Apophysomyces	g__Vimineoleathesia	0.13860509088445	undirected	-	-
g__Apophysomyces	s__Liobagrus_nigricauda	0.10894820384317999	undirected	-	-
g__Apophysomyces	s__Tachysurus_vachellii	0.12226688399247698	undirected	-	-
g__Apophysomyces	g__Ballia	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Pantoneura	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Gymnogongrus	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Acrodiscus	0.131588059260732	undirected	-	-
g__Apophysomyces	g__Lesleigha	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Pylaiella	0.155827898545669	undirected	-	-
g__Apophysomyces	g__Gymnodinium	0.15204332355644298	undirected	-	-
g__Apophysomyces	g__MWH-Ta3	0.129467875318825	undirected	-	-
g__Apophysomyces	g__norank_f__Z4MB62	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Aneurinibacillus	0.129467875318825	undirected	-	-
g__Apophysomyces	g__norank_o__RF39	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Thermicanus	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Clostridium_sensu_stricto_6	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Syntrophomonas	0.129467875318825	undirected	-	-
g__Apophysomyces	g__norank_o__Candidatus_Falkowbacteria	0.129467875318825	undirected	-	-
g__Apophysomyces	g__norank_o__Candidatus_Abawacabacteria	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Methylobacillus	0.162944441513631	undirected	-	-
g__Apophysomyces	g__Chujaibacter	0.129467875318825	undirected	-	-
g__Apophysomyces	s__Hemibarbus_barbus	0.129467875318825	undirected	-	-
g__Apophysomyces	s__Hemibarbus_labeo	0.149824025104368	undirected	-	-
g__Apophysomyces	s__Hemibarbus_longirostris	0.129467875318825	undirected	-	-
g__Apophysomyces	s__Hemibarbus_maculatus	0.157461957658152	undirected	-	-
g__Apophysomyces	s__Periophthalmus_argentilineatus	0.10183396310258301	undirected	-	-
g__Apophysomyces	g__Phlebia	0.128116009440009	undirected	-	-
g__Apophysomyces	g__Synarmostes	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Ficalbia	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Procloeon	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Leptonema	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Hamacantha	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Pseudocorticium	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Caspiobdella	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Eurysyllis	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Osedax	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Choeradoplana	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Heterolepidoderma	0.11444370755094001	undirected	-	-
g__Apophysomyces	g__Opecarcinus	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Taliepus	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Scyllarus	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Awacaris	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Heteroxynema	0.15464813616749498	undirected	-	-
g__Apophysomyces	g__Meloidogyne	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Phallocephale	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Thyonidium	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Astracme	0.15401400504372198	undirected	-	-
g__Apophysomyces	g__Elatonitor	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Pravonitor	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Asyncoryne	0.13233934623534999	undirected	-	-
g__Apophysomyces	g__Mitrocomella	0.100245756178634	undirected	-	-
g__Apophysomyces	g__Amastra	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Anguispira	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Leiostyla	0.14645854040382	undirected	-	-
g__Apophysomyces	g__Chelidonura	0.147005165914288	undirected	-	-
g__Apophysomyces	g__Iberozospeum	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Licina	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Stramonita	0.113732422912161	undirected	-	-
g__Apophysomyces	g__Dermatobranchus	0.15770768579427302	undirected	-	-
g__Apophysomyces	g__Doriopsilla	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Jorunna	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Ziminella	0.135114256751928	undirected	-	-
g__Apophysomyces	g__Gerstfeldtiancylus	0.129526945611483	undirected	-	-
g__Apophysomyces	g__Cerithium	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Resomia	0.129467875318825	undirected	-	-
g__Apophysomyces	g__Colobonema	0.131141093389761	undirected	-	-
g__Apophysomyces	g__Sepioteuthis	0.15204332355644298	undirected	-	-
g__Apophysomyces	g__Lobonemoides	0.129467875318825	undirected	-	-
g__Ascomorpha	g__Chondracanthus	0.154082362941241	undirected	-	-
g__Ascomorpha	g__Cyanea	0.13053736595702697	undirected	-	-
g__Ascomorpha	g__Cyerce	0.12208357960215499	undirected	-	-
g__Ascomorpha	g__Daphnia	0.168812219227689	undirected	-	-
g__Ascomorpha	g__Ectopleura	0.114908131350042	undirected	-	-
g__Ascomorpha	g__Halammohydra	0.123389477153657	undirected	-	-
g__Ascomorpha	g__Histiona	0.114087751395882	undirected	-	-
g__Ascomorpha	g__Karlodinium	0.13894000773891	undirected	-	-
g__Ascomorpha	g__Leathesia	0.12567243259720198	undirected	-	-
g__Ascomorpha	g__Melampus	0.114668174832606	undirected	-	-
g__Ascomorpha	g__Monodopsis	0.131205676256639	undirected	-	-
g__Ascomorpha	g__Moorebdellina	0.10306842679320699	undirected	-	-
g__Ascomorpha	g__Nemopsis	0.111607880753212	undirected	-	-
g__Ascomorpha	g__norank_f__Balneolaceae	0.13663919804573402	undirected	-	-
g__Ascomorpha	g__norank_o__Candidatus_Liptonbacteria	0.11797874870434599	undirected	-	-
g__Ascomorpha	g__norank_o__Candidatus_Staskawiczbacteria	0.113432981287554	undirected	-	-
g__Ascomorpha	g__norank_o__SZB7	0.14912405883762803	undirected	-	-
g__Ascomorpha	g__norank_p__PAUC34f	0.104553253145377	undirected	-	-
g__Ascomorpha	g__Oscarella	0.134644573875159	undirected	-	-
g__Ascomorpha	g__Peltigera	0.106385103304663	undirected	-	-
g__Ascomorpha	g__Phorbas	0.13329208959573902	undirected	-	-
g__Ascomorpha	g__Plakinastrella	0.11715196782345699	undirected	-	-
g__Ascomorpha	g__Polystrata	0.11434202815953501	undirected	-	-
