id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Apophysomyces	g__Apophysomyces	0.26443270643494504	g__Apophysomyces	0.3916	greenyellow	-0.399	-0.316	-0.104	-0.353	-0.32	0.102	-0.0152	-0.219	0.369	-0.0717
g__Ascomorpha	g__Ascomorpha	1.41782793971698	g__Ascomorpha	0.5513	greenyellow	-0.015	0.188	-0.0794	0.0145	0.0394	-0.0931	0.0299	0.16	-0.289	-0.222
g__Chondracanthus	g__Chondracanthus	22.909791664429196	g__Chondracanthus	0.8855	greenyellow	-0.161	0.0889	-0.0206	-0.065	-0.0964	-0.314	-0.366	0.369	-0.0789	-0.0394
g__Cyanea	g__Cyanea	2.29465532153804	g__Cyanea	0.5938	greenyellow	-0.0997	0.12	-0.0803	-0.137	-0.165	-0.002	0.061	0.0123	0.0304	-0.137
g__Cyerce	g__Cyerce	1.24378266915555	g__Cyerce	0.534	greenyellow	-0.219	0.324	-0.0891	-0.0597	-0.0719	0.0032	0.161	-0.148	-0.105	0.24
g__Daphnia	g__Daphnia	7.21470698338603	g__Daphnia	0.7267	greenyellow	-0.0829	-0.094	-0.0459	-0.126	-0.111	-0.0289	0.0192	-0.118	0.0844	-0.14
g__Ectopleura	g__Ectopleura	3.6457550644358303	g__Ectopleura	0.6419	greenyellow	0.202	-0.316	0.0019	0.182	0.0065	0.148	0.123	-0.099	0.101	-0.309
g__Halammohydra	g__Halammohydra	2.87074369095524	g__Halammohydra	0.6079	greenyellow	-0.142	-0.0236	-0.0648	-0.106	-0.16	0.181	0.0208	-0.0106	0.0633	-0.195
g__Histiona	g__Histiona	0.754116542140161	g__Histiona	0.4794	greenyellow	-0.3	-0.37	-0.0909	-0.327	-0.27	0.203	0.163	-0.297	0.371	-0.15
g__Karlodinium	g__Karlodinium	7.34161784286278	g__Karlodinium	0.7218	greenyellow	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
