id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Biemna	g__Biemna	4.62284976638479	g__Biemna	0.8124	grey60	-0.303	0.0475	-0.0553	-0.166	-0.165	0.0176	-0.11	-0.118	0.0293	0.378
g__Cephalodella	g__Cephalodella	0.28761124338663	g__Cephalodella	0.5179	grey60	-0.143	0.209	-0.0413	-0.0718	-0.0838	0.0464	-0.0025	0.0473	-0.288	0.0985
g__Ceriodaphnia	g__Ceriodaphnia	2.8154764939629704	g__Ceriodaphnia	0.7037	grey60	-0.139	0.182	-0.0347	0.0062	-0.0161	-0.0946	-0.0791	-0.0159	0.0319	0.428
g__Chara	g__Chara	15.902520385942099	g__Chara	0.9503	grey60	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Confossa	g__Confossa	15.902520385942099	g__Confossa	0.9503	grey60	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Conticribra	g__Conticribra	15.902520385942099	g__Conticribra	0.9503	grey60	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Dawsoniolithon	g__Dawsoniolithon	1.7647375842305901	g__Dawsoniolithon	0.6891	grey60	-0.133	0.16	-0.0526	0.0348	0.0178	-0.0201	0.0011	-0.0011	-0.126	0.369
g__Discodoris	g__Discodoris	0.9099576619766021	g__Discodoris	0.592	grey60	-0.111	-0.104	-0.0478	-0.0879	-0.0898	0.177	0.0751	-0.146	0.0278	0.0558
g__Hercostomus	g__Hercostomus	2.9051013052651697	g__Hercostomus	0.6629	grey60	-0.307	0.393	-0.0799	-0.0802	-0.132	-0.217	-0.0252	-0.0208	-0.103	0.33
g__Hippeutis	g__Hippeutis	5.05413572392781	g__Hippeutis	0.7797	grey60	0.005	0.0798	-0.0444	-0.0316	-0.0424	-0.0281	-0.0569	-0.0676	-0.0529	0.198
g__Kokotschashvilia	g__Kokotschashvilia	15.902520385942099	g__Kokotschashvilia	0.9503	grey60	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Lissocarcinus	g__Lissocarcinus	13.169699397787399	g__Lissocarcinus	0.9543	grey60	-0.16	0.14	-0.0496	-0.0143	-0.0403	0.0547	0.0427	-0.0858	-0.0487	0.321
g__Malawimonas	g__Malawimonas	4.9180503917014	g__Malawimonas	0.7832	grey60	-0.119	-0.0184	-0.0556	-0.0529	-0.0961	0.0042	0.0044	-0.192	0.039	0.12
g__Mochlonyx	g__Mochlonyx	4.0258402500575095	g__Mochlonyx	0.7963	grey60	-0.15	0.144	-0.0481	-0.0152	-0.036	-0.011	-0.0031	-0.105	-0.0036	0.41
g__Myriogloea	g__Myriogloea	0.191154327886453	g__Myriogloea	0.3531	grey60	-0.486	-0.282	-0.102	-0.38	-0.256	0.183	0.0277	-0.269	0.254	0.23
g__Myzocytiopsis	g__Myzocytiopsis	0.693846458145553	g__Myzocytiopsis	0.5094	grey60	-0.403	0.284	-0.0993	-0.162	-0.176	-0.109	-0.0386	-0.0226	0.0353	0.379
g__Odontodactylus	g__Odontodactylus	15.902520385942099	g__Odontodactylus	0.9503	grey60	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Paenisporosarcina	g__Paenisporosarcina	1.41279132853748	g__Paenisporosarcina	0.5944	grey60	-0.229	0.269	-0.0652	-0.0098	-0.0965	-0.281	-0.252	0.26	-0.153	0.311
g__Panagrellus	g__Panagrellus	15.902520385942099	g__Panagrellus	0.9503	grey60	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Paratanytarsus	g__Paratanytarsus	15.902520385942099	g__Paratanytarsus	0.9503	grey60	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Parisotoma	g__Parisotoma	15.902520385942099	g__Parisotoma	0.9503	grey60	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Patrus	g__Patrus	7.74102136558252	g__Patrus	0.8498	grey60	-0.137	0.0449	-0.0282	-0.0569	-0.0737	0.0644	-0.0535	-0.11	0.0338	0.246
g__Quistrachia	g__Quistrachia	4.8039063464752	g__Quistrachia	0.8096	grey60	-0.169	0.159	-0.028	-0.0266	-0.0502	0.0076	-0.0552	-0.0933	-0.0368	0.409
