source	target	weight	direction	fromAltName	toAltName
g__Aegla	g__Agabus	0.120461823934066	undirected	-	-
g__Aegla	g__Amemiyaia	0.12033142885883599	undirected	-	-
g__Aegla	g__Austremerella	0.11417119959855199	undirected	-	-
g__Aegla	g__Austropsyche	0.120461823934066	undirected	-	-
g__Aegla	g__Axinella	0.115007701385401	undirected	-	-
g__Aegla	g__Candidatus_Endobugula	0.120461823934066	undirected	-	-
g__Aegla	g__Choroterpes	0.120461823934066	undirected	-	-
g__Aegla	g__Cladodactyla	0.12091652937417999	undirected	-	-
g__Aegla	g__Conchapelopia	0.120461823934066	undirected	-	-
g__Aegla	g__Ephemerella	0.103612328676925	undirected	-	-
g__Aegla	g__Harmothoe	0.125228063820515	undirected	-	-
g__Aegla	g__Holothuria	0.10729856736141599	undirected	-	-
g__Aegla	g__Lestes	0.109062239268203	undirected	-	-
g__Aegla	g__Lubomirskia	0.11572943599743199	undirected	-	-
g__Aegla	g__Macrostylis	0.120461823934066	undirected	-	-
g__Aegla	g__norank_f__Leptolyngbyaceae	0.11366172554890801	undirected	-	-
g__Aegla	g__norank_f__Spongiibacteraceae	0.120461823934066	undirected	-	-
g__Aegla	g__Orectochilus	0.11405554728111099	undirected	-	-
g__Aegla	g__Phormidium_CYN64	0.120461823934066	undirected	-	-
g__Aegla	g__Placoneis	0.107067540359136	undirected	-	-
g__Aegla	g__Polydora	0.120461823934066	undirected	-	-
g__Aegla	g__Proasellus	0.120461823934066	undirected	-	-
g__Aegla	g__Prodaticus	0.120461823934066	undirected	-	-
g__Aegla	g__Pseudopolydora	0.108585001699026	undirected	-	-
g__Aegla	g__Pygospio	0.120461823934066	undirected	-	-
g__Aegla	g__Quasitetrastemma	0.104708292491544	undirected	-	-
g__Aegla	g__Rhodomela	0.111646639368913	undirected	-	-
g__Aegla	g__Schottera	0.120461823934066	undirected	-	-
g__Aegla	g__Scolopocryptops	0.10402739660960499	undirected	-	-
g__Aegla	g__Synechococcus_PCC-7902	0.120461823934066	undirected	-	-
g__Aegla	g__Tima	0.113534218723312	undirected	-	-
g__Aegla	g__Xerobiotus	0.119871644262996	undirected	-	-
g__Agabus	g__Amemiyaia	0.159798190810904	undirected	-	-
g__Agabus	g__Austremerella	0.15042668084924302	undirected	-	-
g__Agabus	g__Austropsyche	0.162532898575411	undirected	-	-
g__Agabus	g__Axinella	0.142761156823555	undirected	-	-
g__Agabus	g__Caedibacter	0.101376595298937	undirected	-	-
g__Agabus	g__Candidatus_Endobugula	0.162532898575411	undirected	-	-
g__Agabus	g__Choroterpes	0.162532898575411	undirected	-	-
g__Agabus	g__Cladodactyla	0.16150493797650697	undirected	-	-
g__Agabus	g__Conchapelopia	0.162532898575411	undirected	-	-
g__Agabus	g__Craspedacusta	0.12098552804189698	undirected	-	-
g__Agabus	g__Ephemerella	0.123153236803517	undirected	-	-
g__Agabus	g__Harmothoe	0.15813701588905302	undirected	-	-
g__Agabus	g__Holothuria	0.137477036806612	undirected	-	-
g__Agabus	g__Lestes	0.124988338579695	undirected	-	-
g__Agabus	g__Lubomirskia	0.14716544405170598	undirected	-	-
g__Agabus	g__Macrostylis	0.162532898575411	undirected	-	-
g__Agabus	g__Monomastix	0.103235723595409	undirected	-	-
g__Agabus	g__norank_f__Leptolyngbyaceae	0.15200543557973198	undirected	-	-
g__Agabus	g__norank_f__Spongiibacteraceae	0.162532898575411	undirected	-	-
g__Agabus	g__Orectochilus	0.150466529157856	undirected	-	-
g__Agabus	g__Phormidium_CYN64	0.162532898575411	undirected	-	-
g__Agabus	g__Placoneis	0.134839810778829	undirected	-	-
g__Agabus	g__Polydora	0.162532898575411	undirected	-	-
g__Agabus	g__Primno	0.121539496984718	undirected	-	-
g__Agabus	g__Proasellus	0.162532898575411	undirected	-	-
g__Agabus	g__Prodaticus	0.162532898575411	undirected	-	-
g__Agabus	g__Pseudopolydora	0.123995866033834	undirected	-	-
g__Agabus	g__Pygospio	0.162532898575411	undirected	-	-
g__Agabus	g__Quasitetrastemma	0.122902857259981	undirected	-	-
g__Agabus	g__Rhodomela	0.14434867730933	undirected	-	-
g__Agabus	g__Schottera	0.162532898575411	undirected	-	-
g__Agabus	g__Scolopocryptops	0.125901845625886	undirected	-	-
g__Agabus	g__Synechococcus_PCC-7902	0.162532898575411	undirected	-	-
g__Agabus	g__Tanytarsus	0.114524971457712	undirected	-	-
g__Agabus	g__Tibeticola	0.10363904688785	undirected	-	-
g__Agabus	g__Tima	0.146482969681436	undirected	-	-
g__Agabus	g__Xerobiotus	0.161202624166324	undirected	-	-
g__Agabus	g__ZOR0006	0.107106321428187	undirected	-	-
