id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Aegla	g__Aegla	2.8748168123528903	g__Aegla	0.7184	lightcyan	-0.077	-0.335	-0.0415	-0.209	-0.103	0.246	0.0062	-0.182	0.243	-0.179
g__Agabus	g__Agabus	20.898204550989	g__Agabus	0.9928	lightcyan	-0.07	-0.199	-0.0288	-0.136	-0.0919	0.163	0.0155	-0.133	0.255	-0.163
g__Amemiyaia	g__Amemiyaia	17.5703459517411	g__Amemiyaia	0.9704	lightcyan	-0.106	-0.231	-0.0418	-0.184	-0.114	0.167	0.0817	-0.185	0.307	-0.191
g__Austremerella	g__Austremerella	12.277633072033698	g__Austremerella	0.9101	lightcyan	-0.101	-0.122	-0.041	-0.149	-0.0659	0.0902	0.0171	-0.156	0.237	-0.203
g__Austropsyche	g__Austropsyche	20.898204550989	g__Austropsyche	0.9928	lightcyan	-0.07	-0.199	-0.0288	-0.136	-0.0919	0.163	0.0155	-0.133	0.255	-0.163
g__Axinella	g__Axinella	8.28195528596272	g__Axinella	0.8569	lightcyan	-0.0924	-0.228	-0.0346	-0.164	-0.108	0.187	0.0116	-0.156	0.297	-0.138
g__Caedibacter	g__Caedibacter	0.389633071275231	g__Caedibacter	0.5094	lightcyan	0.021	-0.151	0.133	0.0005	0.0694	0.0152	-0.0318	-0.0385	0.0865	-0.106
g__Candidatus_Endobugula	g__Candidatus_Endobugula	20.898204550989	g__Candidatus_Endobugula	0.9928	lightcyan	-0.07	-0.199	-0.0288	-0.136	-0.0919	0.163	0.0155	-0.133	0.255	-0.163
g__Choroterpes	g__Choroterpes	20.898204550989	g__Choroterpes	0.9928	lightcyan	-0.07	-0.199	-0.0288	-0.136	-0.0919	0.163	0.0155	-0.133	0.255	-0.163
g__Cladodactyla	g__Cladodactyla	18.907146522784103	g__Cladodactyla	0.9819	lightcyan	-0.113	-0.224	-0.0394	-0.163	-0.104	0.167	0.0318	-0.184	0.288	-0.186
g__Conchapelopia	g__Conchapelopia	20.898204550989	g__Conchapelopia	0.9928	lightcyan	-0.07	-0.199	-0.0288	-0.136	-0.0919	0.163	0.0155	-0.133	0.255	-0.163
g__Craspedacusta	g__Craspedacusta	2.27228298003631	g__Craspedacusta	0.6917	lightcyan	-0.0629	-0.112	-0.0448	-0.134	-0.104	0.0927	0.0581	-0.176	0.215	-0.186
g__Ephemerella	g__Ephemerella	2.49332153270877	g__Ephemerella	0.703	lightcyan	-0.217	-0.437	-0.0768	-0.328	-0.224	0.261	0.0707	-0.293	0.448	-0.212
g__Harmothoe	g__Harmothoe	14.819141790903801	g__Harmothoe	0.9433	lightcyan	-0.07	-0.199	-0.0288	-0.136	-0.0919	0.163	0.0155	-0.133	0.255	-0.163
g__Holothuria	g__Holothuria	6.619517465976401	g__Holothuria	0.8253	lightcyan	-0.0998	-0.302	-0.0497	-0.217	-0.165	0.208	0.0623	-0.215	0.332	-0.218
