source	target	weight	direction	fromAltName	toAltName
g__Allochorema	g__Antennella	0.114319701718815	undirected	-	-
g__Allochorema	g__Apoglossum	0.13756467087845	undirected	-	-
g__Allochorema	g__Besa	0.16549051589922598	undirected	-	-
g__Allochorema	g__Candidatus_Trichorickettsia	0.16549051589922598	undirected	-	-
g__Allochorema	g__Chamaebotrys	0.11971365869881802	undirected	-	-
g__Allochorema	g__Choanomphalus	0.116362831236697	undirected	-	-
g__Allochorema	g__Cirriformia	0.12122182686806099	undirected	-	-
g__Allochorema	g__Colponema	0.158664151804047	undirected	-	-
g__Allochorema	g__Coscinaraea	0.128203567530254	undirected	-	-
g__Allochorema	g__Cycloteuthis	0.15619445568099302	undirected	-	-
g__Allochorema	g__Dorymenia	0.12886618455248	undirected	-	-
g__Allochorema	g__Forskalia	0.10891238615347698	undirected	-	-
g__Allochorema	g__Fortimesus	0.123150241395319	undirected	-	-
g__Allochorema	g__Gardinerosergia	0.16549051589922598	undirected	-	-
g__Allochorema	g__Glabraster	0.16549051589922598	undirected	-	-
g__Allochorema	g__Gloiosaccion	0.16549051589922598	undirected	-	-
g__Allochorema	g__Halicephalobus	0.16549051589922598	undirected	-	-
g__Allochorema	g__Leptolyngbya_BN43	0.16549051589922598	undirected	-	-
g__Allochorema	g__Litostrophus	0.161084222089828	undirected	-	-
g__Allochorema	g__Navanax	0.12277770484215599	undirected	-	-
g__Allochorema	g__norank_f__Phormidiaceae	0.11107884515464801	undirected	-	-
g__Allochorema	g__Noumeaella	0.16026344265050302	undirected	-	-
g__Allochorema	g__Ototyphlonemertes	0.16549051589922598	undirected	-	-
g__Allochorema	g__Pagurixus	0.157380677267481	undirected	-	-
g__Allochorema	g__Parcipromus	0.16549051589922598	undirected	-	-
g__Allochorema	g__Parietichytrium	0.128257257424884	undirected	-	-
g__Allochorema	g__Phallomedusa	0.16549051589922598	undirected	-	-
g__Allochorema	g__Pheretima	0.14760948878893398	undirected	-	-
g__Allochorema	g__Phormidium_ETS-05	0.16549051589922598	undirected	-	-
g__Allochorema	g__Proschkinia	0.14094993130866101	undirected	-	-
g__Allochorema	g__Protatlanta	0.16549051589922598	undirected	-	-
g__Allochorema	g__Salinator	0.12387251361849401	undirected	-	-
g__Allochorema	g__Schileykula	0.16549051589922598	undirected	-	-
g__Allochorema	g__Sigaloeista	0.14112688719719502	undirected	-	-
g__Allochorema	g__Slabberia	0.12452489206467901	undirected	-	-
g__Allochorema	g__Sonderopelta	0.16549051589922598	undirected	-	-
g__Allochorema	g__Stereonephthya	0.16549051589922598	undirected	-	-
g__Allochorema	g__Synechocystis_CCALA_700	0.15840324876397902	undirected	-	-
g__Allochorema	s__Nibea_albiflora	0.145597080384355	undirected	-	-
g__Antennella	g__Apoglossum	0.10610399891693101	undirected	-	-
g__Antennella	g__Besa	0.114319701718815	undirected	-	-
g__Antennella	g__Candidatus_Trichorickettsia	0.114319701718815	undirected	-	-
g__Antennella	g__Choanomphalus	0.10283018759161999	undirected	-	-
g__Antennella	g__Colponema	0.109398485688106	undirected	-	-
g__Antennella	g__Coscinaraea	0.109092699688338	undirected	-	-
g__Antennella	g__Cycloteuthis	0.108422703318187	undirected	-	-
g__Antennella	g__Dorymenia	0.10760053404896099	undirected	-	-
g__Antennella	g__Gardinerosergia	0.114319701718815	undirected	-	-
g__Antennella	g__Glabraster	0.114319701718815	undirected	-	-
g__Antennella	g__Gloiosaccion	0.114319701718815	undirected	-	-
g__Antennella	g__Halicephalobus	0.114319701718815	undirected	-	-
g__Antennella	g__Leptolyngbya_BN43	0.114319701718815	undirected	-	-
g__Antennella	g__Litostrophus	0.113614418166245	undirected	-	-
g__Antennella	g__Noumeaella	0.11165893797224699	undirected	-	-
g__Antennella	g__Ototyphlonemertes	0.114319701718815	undirected	-	-
g__Antennella	g__Pagurixus	0.10964078405510301	undirected	-	-
g__Antennella	g__Parcipromus	0.114319701718815	undirected	-	-
g__Antennella	g__Phallomedusa	0.114319701718815	undirected	-	-
