id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Austenia	g__Austenia	18.053843946193897	g__Austenia	0.9222	lightyellow	-0.0183	0.118	-0.0284	0.223	0.24	-0.051	-0.0588	0.117	0.0884	0.279
g__Austrokallymenia	g__Austrokallymenia	29.3561466503367	g__Austrokallymenia	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Belostoma	g__Belostoma	29.3561466503367	g__Belostoma	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Blastophyllis	g__Blastophyllis	29.3561466503367	g__Blastophyllis	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Carychium	g__Carychium	29.3561466503367	g__Carychium	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Cernosvitoviella	g__Cernosvitoviella	29.3561466503367	g__Cernosvitoviella	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Chimarra	g__Chimarra	29.3561466503367	g__Chimarra	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Dynamene	g__Dynamene	29.3561466503367	g__Dynamene	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Echiniscus	g__Echiniscus	29.3561466503367	g__Echiniscus	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Elaphoidella	g__Elaphoidella	29.3561466503367	g__Elaphoidella	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Epiophlebia	g__Epiophlebia	25.926937226230898	g__Epiophlebia	0.977	lightyellow	0.0188	0.0671	-0.0328	0.181	0.207	0.0146	-0.0515	0.0632	0.0813	0.152
g__Glyphotaelius	g__Glyphotaelius	29.3561466503367	g__Glyphotaelius	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Lanistes	g__Lanistes	29.3561466503367	g__Lanistes	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Leptophoxus	g__Leptophoxus	0.352558484126257	g__Leptophoxus	0.4623	lightyellow	0.149	0.0802	-0.0158	0.21	-0.013	-0.308	-0.311	0.367	-0.0172	0.0644
g__Mercuria	g__Mercuria	29.3561466503367	g__Mercuria	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Metriocnemus	g__Metriocnemus	29.3561466503367	g__Metriocnemus	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__Mithraculus	g__Mithraculus	17.635604071187803	g__Mithraculus	0.9184	lightyellow	0.0652	0.0709	-0.0456	0.227	0.285	0.0195	-0.0028	0.0577	0.0726	0.121
g__Nassarius	g__Nassarius	29.3561466503367	g__Nassarius	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__norank_f__Pleomorphomonadaceae	g__norank_f__Pleomorphomonadaceae	29.3561466503367	g__norank_f__Pleomorphomonadaceae	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
g__norank_o__Candidatus_Magasanikbacteria	g__norank_o__Candidatus_Magasanikbacteria	0.28147327144810996	g__norank_o__Candidatus_Magasanikbacteria	0.4311	lightyellow	0.265	0.211	0.0057	0.159	0.0266	-0.0211	-0.29	0.0523	-0.107	0.0858
g__Nymphon	g__Nymphon	16.7903441903814	g__Nymphon	0.9146	lightyellow	0.0522	0.126	-0.0291	0.119	0.0617	-0.144	-0.194	0.175	0.0756	0.205
g__Pachycheles	g__Pachycheles	29.3561466503367	g__Pachycheles	0.9967	lightyellow	0.0376	0.0589	-0.0343	0.0616	0.0968	0.0342	-0.0793	0.0108	0.0886	0.0911
