id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Actinophrys	g__Actinophrys	0.118547914267839	g__Actinophrys	0.317	magenta	-0.334	0.0374	-0.114	-0.229	-0.187	0.357	0.411	-0.236	0.063	-0.075
g__Amplirhagada	g__Amplirhagada	10.648920625304301	g__Amplirhagada	0.7257	magenta	0.0435	-0.16	-0.0488	0.0482	-0.011	0.0135	-0.0263	-0.0365	0.0271	-0.251
g__Anaerostipes	g__Anaerostipes	1.72443962906625	g__Anaerostipes	0.4622	magenta	-0.0633	-0.175	-0.0343	-0.128	-0.0772	0.0965	0.0376	-0.132	0.16	-0.137
g__Anisolpidium	g__Anisolpidium	3.52308899358137	g__Anisolpidium	0.6029	magenta	-0.149	-0.125	-0.0585	-0.17	-0.162	-0.108	-0.0942	-0.0253	0.0839	-0.19
g__Bossiella	g__Bossiella	11.713231303885	g__Bossiella	0.7374	magenta	-0.208	-0.0657	-0.0329	-0.128	-0.0445	0.0849	0.157	-0.138	0.143	0.171
g__Bulimulus	g__Bulimulus	0.162361433995449	g__Bulimulus	0.3041	magenta	-0.161	0.0889	-0.0206	-0.065	-0.0964	-0.314	-0.366	0.369	-0.0789	-0.0394
g__Cenolia	g__Cenolia	1.83629066136951	g__Cenolia	0.5117	magenta	-0.255	-0.246	-0.0329	-0.122	-0.106	0.137	0.135	-0.261	0.263	0.0085
g__Cercospora	g__Cercospora	3.11530717633533	g__Cercospora	0.5886	magenta	-0.114	-0.164	0.145	-0.146	-0.0199	0.0727	-0.0281	-0.157	0.0953	0.0173
g__Chondrophycus	g__Chondrophycus	16.5741793065417	g__Chondrophycus	0.7848	magenta	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Comanthus	g__Comanthus	9.70917024350752	g__Comanthus	0.7045	magenta	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Dichotomaria	g__Dichotomaria	3.58591899832344	g__Dichotomaria	0.6036	magenta	-0.0517	-0.176	-0.0751	-0.0872	-0.0235	0.0739	0.0436	-0.154	0.223	-0.126
