id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acroloxus	g__Acroloxus	2.5252873543332797	g__Acroloxus	0.7059	midnightblue	-0.127	-0.0929	-0.0449	-0.135	-0.1	0.104	0.103	-0.173	0.164	0.076
g__Actinocyclus	g__Actinocyclus	16.7098203018102	g__Actinocyclus	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Arthrobacter	g__Arthrobacter	16.7098203018102	g__Arthrobacter	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Arthrosporium	g__Arthrosporium	16.7098203018102	g__Arthrosporium	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Bryophaenocladius	g__Bryophaenocladius	6.46488093520338	g__Bryophaenocladius	0.8334	midnightblue	-0.108	-0.25	-0.0451	-0.204	-0.146	0.178	0.08	-0.198	0.269	-0.0248
g__Carinoma	g__Carinoma	5.102375237263789	g__Carinoma	0.7925	midnightblue	-0.0838	-0.262	-0.0468	-0.178	-0.143	0.123	0.109	-0.197	0.176	-0.188
g__Chlorokybus	g__Chlorokybus	3.203732213146	g__Chlorokybus	0.7397	midnightblue	0.284	-0.35	0.0769	0.0812	-0.161	0.224	0.0883	-0.0703	0.0621	-0.182
g__Chroococcidiopsis_SAG_2023	g__Chroococcidiopsis_SAG_2023	0.441326540983779	g__Chroococcidiopsis_SAG_2023	0.5256	midnightblue	-0.0064	-0.275	-0.0642	-0.163	-0.121	0.184	0.0765	-0.217	0.119	-0.226
g__Dexamine	g__Dexamine	5.10697940244821	g__Dexamine	0.8254	midnightblue	-0.0778	-0.301	-0.0512	-0.186	-0.175	0.167	0.118	-0.24	0.203	-0.191
g__Dictyoneurum	g__Dictyoneurum	16.7098203018102	g__Dictyoneurum	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Eobathynella	g__Eobathynella	12.0310797036427	g__Eobathynella	0.9362	midnightblue	-0.0659	-0.228	-0.04	-0.164	-0.132	0.131	0.113	-0.178	0.178	-0.145
g__Eucheuma	g__Eucheuma	3.1696415743	g__Eucheuma	0.7636	midnightblue	-0.113	-0.148	-0.0542	-0.173	-0.136	0.133	0.0941	-0.198	0.229	0.0096
g__Eupolybothrus	g__Eupolybothrus	1.3667419580473	g__Eupolybothrus	0.6337	midnightblue	-0.0086	-0.433	-0.0306	-0.193	-0.217	0.337	0.151	-0.245	0.275	-0.299
g__Eustigmatos	g__Eustigmatos	16.7098203018102	g__Eustigmatos	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Gastrostomobdella	g__Gastrostomobdella	16.7098203018102	g__Gastrostomobdella	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Gymnometriocnemus	g__Gymnometriocnemus	1.55339138608973	g__Gymnometriocnemus	0.6271	midnightblue	0.268	-0.429	0.0627	0.0693	-0.205	0.27	0.0818	-0.135	0.0603	-0.265
g__Hymenobacter	g__Hymenobacter	0.78623867176146	g__Hymenobacter	0.5874	midnightblue	-0.153	-0.363	-0.048	-0.289	-0.248	0.219	0.0069	-0.147	0.351	-0.146
g__Ikeda	g__Ikeda	16.7098203018102	g__Ikeda	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Incendia	g__Incendia	5.44716037476403	g__Incendia	0.8158	midnightblue	-0.0892	-0.256	-0.0458	-0.194	-0.147	0.198	0.113	-0.195	0.218	-0.0169
g__Kocuria	g__Kocuria	0.529378431612561	g__Kocuria	0.5644	midnightblue	-0.115	-0.361	-0.0542	-0.135	-0.188	0.125	-0.196	0.0099	0.187	-0.17
g__Lachlania	g__Lachlania	3.9110253563910096	g__Lachlania	0.7465	midnightblue	-0.0852	-0.263	-0.047	-0.176	-0.142	0.119	0.106	-0.196	0.172	-0.192
g__Martiodrilus	g__Martiodrilus	16.7098203018102	g__Martiodrilus	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Megalobrachium	g__Megalobrachium	2.77121029711919	g__Megalobrachium	0.7218	midnightblue	0.0695	-0.469	-0.0022	-0.137	-0.223	0.284	0.114	-0.233	0.279	-0.315
g__Nais	g__Nais	7.50894168032172	g__Nais	0.8718	midnightblue	-0.124	-0.149	-0.0487	-0.158	-0.12	0.119	0.113	-0.193	0.181	0.0064
g__Neomicrococcus	g__Neomicrococcus	6.309323016694879	g__Neomicrococcus	0.8321	midnightblue	-0.0747	-0.24	-0.0457	-0.182	-0.158	0.121	0.0784	-0.181	0.211	-0.146
g__Neothremma	g__Neothremma	3.4816576735335296	g__Neothremma	0.7665	midnightblue	-0.0895	-0.314	-0.0572	-0.222	-0.167	0.235	0.15	-0.232	0.223	-0.221
g__Nephtys	g__Nephtys	16.7098203018102	g__Nephtys	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Oceanapia	g__Oceanapia	2.0343206716613897	g__Oceanapia	0.6925	midnightblue	-0.0676	-0.265	-0.0472	-0.18	-0.147	0.23	0.152	-0.188	0.15	-0.187
g__Olinga	g__Olinga	2.9267328956072496	g__Olinga	0.7419	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Oxydromus	g__Oxydromus	2.36423297561012	g__Oxydromus	0.7117	midnightblue	0.0932	-0.41	0.0098	-0.102	-0.208	0.268	0.0822	-0.186	0.268	-0.259
g__Pectinaria	g__Pectinaria	2.28416203972267	g__Pectinaria	0.6987	midnightblue	-0.0367	-0.489	-0.0459	-0.217	-0.243	0.294	0.131	-0.307	0.294	-0.359
g__Picochlorum	g__Picochlorum	0.761366921967496	g__Picochlorum	0.5888	midnightblue	-0.149	-0.247	-0.055	-0.216	-0.195	0.0897	0.0812	-0.198	0.247	0.0174
g__Potamolinea_1PC	g__Potamolinea_1PC	2.11902854506662	g__Potamolinea_1PC	0.6851	midnightblue	-0.0262	-0.225	-0.0556	-0.176	-0.0937	0.0853	0.0748	-0.179	0.157	-0.168
g__Pygolabis	g__Pygolabis	1.3730507226344402	g__Pygolabis	0.6305	midnightblue	-0.183	-0.449	-0.0903	-0.313	-0.237	0.265	0.0819	-0.315	0.367	-0.32
g__Ricasolia	g__Ricasolia	16.7098203018102	g__Ricasolia	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Tiphobiosis	g__Tiphobiosis	12.242219049338901	g__Tiphobiosis	0.9436	midnightblue	-0.069	-0.262	-0.0449	-0.176	-0.154	0.155	0.12	-0.209	0.196	-0.159
g__Toxorhynchites	g__Toxorhynchites	16.7098203018102	g__Toxorhynchites	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Truepera	g__Truepera	0.670905347254882	g__Truepera	0.5422	midnightblue	0.206	-0.378	0.0086	-0.0722	-0.139	0.218	0.0604	-0.16	0.197	-0.234
g__Tsukamurella	g__Tsukamurella	0.66773445912242	g__Tsukamurella	0.5695	midnightblue	-0.104	-0.0628	-0.0471	-0.131	-0.126	0.0256	0.107	-0.174	0.088	-0.0201
g__Tychonema_CCAP_1459-11B	g__Tychonema_CCAP_1459-11B	1.1395706407928101	g__Tychonema_CCAP_1459-11B	0.6176	midnightblue	0.0143	-0.239	-0.0684	-0.181	-0.135	0.0759	0.0581	-0.245	0.163	-0.212
g__Tylopus	g__Tylopus	16.7098203018102	g__Tylopus	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Zoogonus	g__Zoogonus	16.7098203018102	g__Zoogonus	0.9784	midnightblue	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
