id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Alachosquilla	g__Alachosquilla	1.8719759639971798	g__Alachosquilla	0.6787	orange	-0.219	0.253	-0.0619	-0.0629	-0.0572	-0.122	0.0438	-0.145	-0.0469	0.325
g__Aplus	g__Aplus	2.33143734407364	g__Aplus	0.7191	orange	-0.16	0.141	-0.0393	-0.0791	-0.0779	-0.32	-0.195	0.218	-0.124	-0.103
g__Auxenochlorella	g__Auxenochlorella	0.872941321637415	g__Auxenochlorella	0.6102	orange	-0.0954	0.0058	-0.0658	-0.0884	-0.0955	-0.146	-0.173	0.0635	0.0131	-0.0129
g__Bayerotrochus	g__Bayerotrochus	1.45572354084007	g__Bayerotrochus	0.6703	orange	-0.141	0.269	-0.0465	-0.0791	-0.0649	-0.202	0.0349	-0.112	-0.0713	0.121
g__Cadlina	g__Cadlina	2.4839605722536002	g__Cadlina	0.7355	orange	-0.125	0.0636	-0.0522	-0.0883	-0.0451	-0.104	0.107	-0.126	-0.0438	-0.0724
g__Callophyllis	g__Callophyllis	2.24520993207617	g__Callophyllis	0.713	orange	-0.0939	-0.0237	-0.0483	-0.102	-0.0624	-0.0808	0.101	-0.128	-0.0286	-0.184
g__Calorithrix	g__Calorithrix	16.424173233413697	g__Calorithrix	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Chelarctus	g__Chelarctus	4.06167079013068	g__Chelarctus	0.7936	orange	-0.108	0.171	-0.0488	-0.0499	-0.0261	-0.133	0.0795	-0.0871	-0.0659	0.105
g__Chondropoma	g__Chondropoma	16.424173233413697	g__Chondropoma	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Chromulinospumella	g__Chromulinospumella	1.1232229751409901	g__Chromulinospumella	0.6284	orange	-0.211	0.0499	-0.0499	0.17	0.174	-0.0637	0.257	0.0159	-0.0206	0.0255
g__Costasiella	g__Costasiella	2.64431687729951	g__Costasiella	0.7473	orange	-0.128	0.157	-0.0459	-0.0677	-0.047	-0.232	-0.0235	0.0418	-0.111	-0.05
g__Edwardsianthus	g__Edwardsianthus	16.424173233413697	g__Edwardsianthus	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Filinia	g__Filinia	2.9852440901236497	g__Filinia	0.7621	orange	-0.198	0.174	-0.0608	-0.104	-0.119	-0.0932	0.139	-0.0386	-0.0463	-0.0022
g__Gammarus	g__Gammarus	1.2423545227589798	g__Gammarus	0.6562	orange	-0.163	0.208	-0.0608	-0.0716	-0.121	-0.0889	0.0987	-0.0686	-0.109	-0.154
g__Gloiopeltis	g__Gloiopeltis	7.31707354797538	g__Gloiopeltis	0.8795	orange	-0.133	0.168	-0.0508	-0.0586	-0.0213	-0.132	0.0976	-0.102	-0.0664	0.0707
g__Haematospirillum	g__Haematospirillum	16.424173233413697	g__Haematospirillum	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Halirages	g__Halirages	11.964095978303598	g__Halirages	0.9426	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Haminoea	g__Haminoea	9.041947465982211	g__Haminoea	0.8966	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Hydrovatus	g__Hydrovatus	2.5163932272349703	g__Hydrovatus	0.7315	orange	-0.0875	0.186	-0.0226	-0.0463	-0.0717	-0.215	0.0259	-0.0634	-0.026	-0.14
g__Kraftia	g__Kraftia	16.424173233413697	g__Kraftia	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Lepidocyrtus	g__Lepidocyrtus	16.424173233413697	g__Lepidocyrtus	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Lupocyclus	g__Lupocyclus	16.424173233413697	g__Lupocyclus	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Micippa	g__Micippa	16.424173233413697	g__Micippa	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Neodilsea	g__Neodilsea	16.424173233413697	g__Neodilsea	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__norank_f__LiUU-11-161	g__norank_f__LiUU-11-161	1.4165396433636002	g__norank_f__LiUU-11-161	0.6595	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Plasmoverna	g__Plasmoverna	7.07477039820063	g__Plasmoverna	0.862	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Polycera	g__Polycera	2.1724327357479702	g__Polycera	0.7006	orange	-0.165	0.201	-0.0587	-0.0439	-0.0486	-0.119	0.0503	-0.127	-0.0586	0.224
g__Pompholyx	g__Pompholyx	10.7649795373864	g__Pompholyx	0.9323	orange	-0.0761	0.142	-0.0328	-0.0492	-0.0337	-0.171	0.0766	-0.0685	-0.0778	-0.124
g__Propsilocerus	g__Propsilocerus	14.091746211368502	g__Propsilocerus	0.9637	orange	-0.104	0.0611	-0.0415	-0.0757	-0.038	-0.125	0.123	-0.0984	-0.0489	-0.14
g__Retusa	g__Retusa	0.5619609139451851	g__Retusa	0.5615	orange	-0.205	0.25	-0.0852	-0.0499	-0.104	0.0078	0.174	-0.0712	-0.161	-0.117
g__Rhopalonema	g__Rhopalonema	14.463874926331101	g__Rhopalonema	0.9743	orange	-0.0995	0.147	-0.0367	-0.059	-0.0438	-0.212	0.0186	-0.0038	-0.0958	-0.125
g__Scytothamnus	g__Scytothamnus	5.2296983277806905	g__Scytothamnus	0.8158	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Stylaria	g__Stylaria	16.424173233413697	g__Stylaria	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Tonna	g__Tonna	10.359457467825	g__Tonna	0.9175	orange	-0.0587	0.133	-0.0436	-0.048	-0.0228	-0.149	0.0761	-0.0905	-0.0945	-0.146
g__Vitrina	g__Vitrina	16.424173233413697	g__Vitrina	0.9878	orange	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
