source	target	weight	direction	fromAltName	toAltName
g__Acentrella	g__Alaria	0.116305105418209	undirected	-	-
g__Acentrella	g__Amynthas	0.119190246490173	undirected	-	-
g__Acentrella	g__Anaeromusa-Anaeroarcus	0.12006567750854699	undirected	-	-
g__Acentrella	g__Arachnomyces	0.11714287308932901	undirected	-	-
g__Acentrella	g__Azoarcus	0.131876982485255	undirected	-	-
g__Acentrella	g__Baetis	0.15826552155442403	undirected	-	-
g__Acentrella	g__BSV13	0.13150524275808	undirected	-	-
g__Acentrella	g__Candida/Metschnikowiaceae	0.146423726991776	undirected	-	-
g__Acentrella	g__Carinigera	0.157804131753065	undirected	-	-
g__Acentrella	g__Chagasia	0.163589561819427	undirected	-	-
g__Acentrella	g__Chonaphe	0.11265898209102301	undirected	-	-
g__Acentrella	g__Chondria	0.107172247059239	undirected	-	-
g__Acentrella	g__Cyphoderia	0.129110486538439	undirected	-	-
g__Acentrella	g__Dendronotus	0.150535010252561	undirected	-	-
g__Acentrella	g__Discosporangium	0.11864783634142999	undirected	-	-
g__Acentrella	g__Echinometra	0.136186517939481	undirected	-	-
g__Acentrella	g__Galba	0.129476112986432	undirected	-	-
g__Acentrella	g__GWD2-49-16	0.140853237422122	undirected	-	-
g__Acentrella	g__Halichondria	0.11375758079883098	undirected	-	-
g__Acentrella	g__Halisarca	0.175188949941914	undirected	-	-
g__Acentrella	g__Hyalosphenia	0.110993484352613	undirected	-	-
g__Acentrella	g__Hyphomonas	0.13240176308033197	undirected	-	-
g__Acentrella	g__Iyengaria	0.125899034496524	undirected	-	-
g__Acentrella	g__Lanmaoa	0.123268840325063	undirected	-	-
g__Acentrella	g__Lepidodermella	0.162642549760274	undirected	-	-
g__Acentrella	g__Lycogala	0.11740854541699	undirected	-	-
g__Acentrella	g__Methylomicrobium	0.155293291229358	undirected	-	-
g__Acentrella	g__Mycedium	0.15637039579262502	undirected	-	-
g__Acentrella	g__Neonectria	0.15255076631797698	undirected	-	-
g__Acentrella	g__norank_c__CPR2	0.14041191458584698	undirected	-	-
g__Acentrella	g__norank_c__Sumerlaeia	0.11852645665201099	undirected	-	-
g__Acentrella	g__norank_f__Lenti-02	0.159763320484447	undirected	-	-
g__Acentrella	g__norank_f__ST-12K33	0.11232554991783399	undirected	-	-
g__Acentrella	g__norank_o__Ardenticatenales	0.132669181696893	undirected	-	-
g__Acentrella	g__norank_p__Firmicutes	0.1398310268254	undirected	-	-
g__Acentrella	g__Osmundea	0.116551634444637	undirected	-	-
g__Acentrella	g__Pila	0.133997301935502	undirected	-	-
g__Acentrella	g__Placospongia	0.14489153828622198	undirected	-	-
g__Acentrella	g__Pontisma	0.109567541265967	undirected	-	-
g__Acentrella	g__Pugetia	0.181198607732725	undirected	-	-
g__Acentrella	g__Pyramidula	0.13932779008211402	undirected	-	-
g__Acentrella	g__Rhodacmea	0.13964497662992903	undirected	-	-
g__Acentrella	g__Roseofilum_AO1-A	0.12817539916627302	undirected	-	-
g__Acentrella	g__Siphopteron	0.10628499612444198	undirected	-	-
g__Acentrella	g__Solmundella	0.156989787956067	undirected	-	-
g__Acentrella	g__Spumella	0.17235697110249298	undirected	-	-
g__Acentrella	g__Stenogramma	0.16181855008586302	undirected	-	-
g__Acentrella	g__Succinispira	0.114969785235166	undirected	-	-
g__Acentrella	g__Synchaetomella	0.14558309113912302	undirected	-	-
g__Acentrella	g__Tolumonas	0.11934006643015699	undirected	-	-
g__Acentrella	g__Tropicimonas	0.135680602964021	undirected	-	-
g__Acentrella	g__Waernia	0.136684343220928	undirected	-	-
g__Acentrella	g__Gleocapsa	0.200330515261999	undirected	-	-
g__Acentrella	g__Nostoc_PCC-7107	0.200330515261999	undirected	-	-
g__Acentrella	g__Oedogonium	0.200330515261999	undirected	-	-
g__Acentrella	g__Centroceras	0.200330515261999	undirected	-	-
g__Acentrella	g__Rhodoptilum	0.10738455517858399	undirected	-	-
g__Acentrella	g__Hydrolithon	0.200330515261999	undirected	-	-
g__Acentrella	g__Dudresnaya	0.199275603516565	undirected	-	-
g__Acentrella	g__Pseudochorda	0.193822839668441	undirected	-	-
g__Acentrella	g__Gephyrocapsa	0.200330515261999	undirected	-	-
g__Acentrella	g__Thalassionema	0.146729344894733	undirected	-	-
g__Acentrella	g__norank_f__ML635J-40_aquatic_group	0.200330515261999	undirected	-	-
g__Acentrella	g__DMER64	0.199275603516565	undirected	-	-
g__Acentrella	g__Raineya	0.200330515261999	undirected	-	-
g__Acentrella	g__Spirosoma	0.15366732777701997	undirected	-	-
g__Acentrella	g__norank_f__Flavobacteriaceae	0.200330515261999	undirected	-	-
g__Acentrella	g__UTCFX1	0.200330515261999	undirected	-	-
g__Acentrella	g__HSB_OF53-F07	0.15699888451526098	undirected	-	-
g__Acentrella	g__Ktedonobacter	0.200330515261999	undirected	-	-
g__Acentrella	g__norank_c__P2-11E	0.200330515261999	undirected	-	-
g__Acentrella	g__norank_f__Fibrobacteraceae	0.149080473123354	undirected	-	-
g__Acentrella	g__norank_f__Ruminococcaceae	0.200330515261999	undirected	-	-
g__Acentrella	g__Hydrogenoanaerobacterium	0.200330515261999	undirected	-	-
g__Acentrella	g__norank_f__Acidaminococcaceae	0.15523602912824697	undirected	-	-
g__Acentrella	g__Anaerovibrio	0.200330515261999	undirected	-	-
g__Acentrella	g__norank_f__Latescibacteraceae	0.19314239869703098	undirected	-	-
g__Acentrella	g__Sorangium	0.200330515261999	undirected	-	-
g__Acentrella	g__norank_c__4-29-1	0.18218793225992802	undirected	-	-
g__Acentrella	g__norank_f__CPla-3_termite_group	0.158696236033439	undirected	-	-
g__Acentrella	g__Tepidisphaera	0.200330515261999	undirected	-	-
g__Acentrella	g__norank_o__NRL2	0.200330515261999	undirected	-	-
g__Acentrella	g__Rhodomicrobium	0.200330515261999	undirected	-	-
g__Acentrella	g__DSSD61	0.159342192969616	undirected	-	-
g__Acentrella	g__Uliginosibacterium	0.200330515261999	undirected	-	-
g__Acentrella	g__norank_o__EC3	0.128344375806925	undirected	-	-
g__Acentrella	g__norank_o__EPR3968-O8a-Bc78	0.200330515261999	undirected	-	-
g__Acentrella	g__norank_f__Thiotrichaceae	0.200330515261999	undirected	-	-
g__Acentrella	g__Cephaloticoccus	0.200330515261999	undirected	-	-
g__Acentrella	s__Gnathopogon_imberbis	0.179966862276066	undirected	-	-
g__Acentrella	g__Antarctomyces	0.200330515261999	undirected	-	-
g__Acentrella	g__Pyricularia	0.200330515261999	undirected	-	-
g__Acentrella	g__Schizophyllum	0.140110587632627	undirected	-	-
g__Acentrella	g__Turbinellus	0.200330515261999	undirected	-	-
g__Acentrella	g__Uranotaenia	0.200330515261999	undirected	-	-
g__Acentrella	g__Labiobaetis	0.200330515261999	undirected	-	-
g__Acentrella	g__Lestinogomphus	0.200330515261999	undirected	-	-
g__Acentrella	g__Isodictya	0.19055132777012698	undirected	-	-
g__Acentrella	g__Setidium	0.200330515261999	undirected	-	-
g__Acentrella	g__Potamilla	0.200330515261999	undirected	-	-
g__Acentrella	g__Lineus	0.200330515261999	undirected	-	-
g__Acentrella	g__Caryophyllia	0.182331407571989	undirected	-	-
g__Acentrella	g__Sesarmoides	0.200330515261999	undirected	-	-
g__Acentrella	g__Glomeris	0.20725282590031896	undirected	-	-
g__Acentrella	g__Brachoria	0.158696236033439	undirected	-	-
g__Acentrella	g__Cyphastrea	0.200330515261999	undirected	-	-
g__Acentrella	g__Fasciola	0.200330515261999	undirected	-	-
g__Acentrella	g__Nitor	0.19958256427843699	undirected	-	-
g__Acentrella	g__Stanisicarion	0.200330515261999	undirected	-	-
g__Acentrella	g__Turgenitubulus	0.13952972621149698	undirected	-	-
g__Acentrella	g__Cepaea	0.17873512613856601	undirected	-	-
g__Acentrella	g__Catablema	0.11506712631706201	undirected	-	-
g__Acentrella	g__Distichopora	0.200330515261999	undirected	-	-
g__Acentrella	g__Bonneviella	0.200330515261999	undirected	-	-
g__Acentrella	g__Sugiura	0.200330515261999	undirected	-	-
g__Acentrella	g__Stereophaedusa	0.17493180153054003	undirected	-	-
g__Acentrella	g__Xerosecta	0.200330515261999	undirected	-	-
g__Acentrella	g__Powelliphanta	0.200330515261999	undirected	-	-
g__Acentrella	g__Oligolimax	0.200330515261999	undirected	-	-
g__Acentrella	g__Diplommatina	0.200330515261999	undirected	-	-
g__Acentrella	g__Ranularia	0.167766865685531	undirected	-	-
g__Acentrella	g__Phenacovolva	0.200330515261999	undirected	-	-
g__Acentrella	g__Syntomodrillia	0.200330515261999	undirected	-	-
g__Acentrella	g__Scabrotrophon	0.200330515261999	undirected	-	-
g__Acentrella	g__Siratus	0.200330515261999	undirected	-	-
g__Acentrella	g__Neoterebra	0.186189433857379	undirected	-	-
g__Acentrella	g__Corambe	0.164729740788229	undirected	-	-
g__Acentrella	g__Clio	0.19832275544880698	undirected	-	-
g__Acentrella	g__Oxynoe	0.200330515261999	undirected	-	-
g__Acentrella	g__Turbonilla	0.200330515261999	undirected	-	-
g__Acentrella	g__Padaungiella	0.20512996202934	undirected	-	-
g__Acentrella	g__Chavturia	0.200330515261999	undirected	-	-
g__Acentrella	g__Coeloplana	0.200330515261999	undirected	-	-
g__Acentrella	g__Bargmannia	0.123546913734488	undirected	-	-
g__Acentrella	g__Dictyostelium	0.200330515261999	undirected	-	-
g__Acentrella	g__Haliclystus	0.19239388568038102	undirected	-	-
g__Acentrella	g__Plasmodiophora	0.186208225819472	undirected	-	-
g__Acentrella	g__Microheliella	0.177810082963375	undirected	-	-
g__Alaria	g__Amynthas	0.10833867055646	undirected	-	-
g__Alaria	g__Anaeromusa-Anaeroarcus	0.117258152430708	undirected	-	-
g__Alaria	g__Arachnomyces	0.11517196804129301	undirected	-	-
g__Alaria	g__Azoarcus	0.12778084630846	undirected	-	-
g__Alaria	g__Baetis	0.13054711542478598	undirected	-	-
g__Alaria	g__BSV13	0.12127431822153699	undirected	-	-
g__Alaria	g__Candida/Metschnikowiaceae	0.12712406118761302	undirected	-	-
g__Alaria	g__Carinigera	0.124238472756406	undirected	-	-
g__Alaria	g__Chagasia	0.163374214142948	undirected	-	-
g__Alaria	g__Chonaphe	0.11274297010962801	undirected	-	-
g__Alaria	g__Chondria	0.12010558843617698	undirected	-	-
g__Alaria	g__Cyphoderia	0.131811177014103	undirected	-	-
g__Alaria	g__Dendronotus	0.149499290301262	undirected	-	-
g__Alaria	g__Discosporangium	0.115877152834231	undirected	-	-
g__Alaria	g__Echinometra	0.134229157162987	undirected	-	-
g__Alaria	g__Galba	0.123698960384043	undirected	-	-
g__Alaria	g__GWD2-49-16	0.125781835555902	undirected	-	-
g__Alaria	g__Halichondria	0.111214266151024	undirected	-	-
g__Alaria	g__Halisarca	0.14054302501687999	undirected	-	-
g__Alaria	g__Hyalosphenia	0.11016667468169501	undirected	-	-
g__Alaria	g__Hyphomonas	0.131381134291275	undirected	-	-
g__Alaria	g__Iyengaria	0.127071090147522	undirected	-	-
g__Alaria	g__Lanmaoa	0.132628311874732	undirected	-	-
g__Alaria	g__Lepidodermella	0.138503593004943	undirected	-	-
g__Alaria	g__Lycogala	0.11312732137022401	undirected	-	-
g__Alaria	g__Methylomicrobium	0.127961357551187	undirected	-	-
g__Alaria	g__Mycedium	0.129776936314531	undirected	-	-
g__Alaria	g__Neonectria	0.12903877721749699	undirected	-	-
g__Alaria	g__norank_c__CPR2	0.14022396035078	undirected	-	-
g__Alaria	g__norank_c__Sumerlaeia	0.108450367295202	undirected	-	-
g__Alaria	g__norank_f__Lenti-02	0.13130690520438199	undirected	-	-
g__Alaria	g__norank_f__ST-12K33	0.110774841934825	undirected	-	-
g__Alaria	g__norank_o__Ardenticatenales	0.132160494503954	undirected	-	-
g__Alaria	g__norank_p__Firmicutes	0.145468431075296	undirected	-	-
g__Alaria	g__Osmundea	0.11147729544833	undirected	-	-
g__Alaria	g__Pila	0.124085081366254	undirected	-	-
g__Alaria	g__Placospongia	0.12711551587069	undirected	-	-
g__Alaria	g__Pontisma	0.121647371149834	undirected	-	-
g__Alaria	g__Pugetia	0.155637481047973	undirected	-	-
g__Alaria	g__Pyramidula	0.12288240221039802	undirected	-	-
g__Alaria	g__Rhodacmea	0.12627983720275698	undirected	-	-
g__Alaria	g__Roseofilum_AO1-A	0.12202886006605498	undirected	-	-
g__Alaria	g__Siphopteron	0.12472391525724501	undirected	-	-
g__Alaria	g__Solmundella	0.130564392409303	undirected	-	-
g__Alaria	g__Spumella	0.13789488909518302	undirected	-	-
g__Alaria	g__Stenogramma	0.1471541194334	undirected	-	-
g__Alaria	g__Succinispira	0.11385840315418501	undirected	-	-
g__Alaria	g__Synchaetomella	0.154939181749701	undirected	-	-
g__Alaria	g__Tolumonas	0.134010953701388	undirected	-	-
g__Alaria	g__Tropicimonas	0.12359188190739501	undirected	-	-
g__Alaria	g__Waernia	0.134815331436679	undirected	-	-
g__Alaria	g__Gleocapsa	0.157420771757987	undirected	-	-
g__Alaria	g__Nostoc_PCC-7107	0.157420771757987	undirected	-	-
g__Alaria	g__Oedogonium	0.157420771757987	undirected	-	-
g__Alaria	g__Centroceras	0.157420771757987	undirected	-	-
g__Alaria	g__Rhodoptilum	0.121372294384772	undirected	-	-
g__Alaria	g__Hydrolithon	0.157420771757987	undirected	-	-
g__Alaria	g__Dudresnaya	0.168490375921957	undirected	-	-
g__Alaria	g__Pseudochorda	0.167028650349654	undirected	-	-
g__Alaria	g__Gephyrocapsa	0.157420771757987	undirected	-	-
