id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acentrella	g__Acentrella	4.05247943021868	g__Acentrella	0.6126	pink	-0.0584	0.159	-0.0518	0.383	0.404	-0.0673	0.0918	0.098	0.0245	0.405
g__Alaria	g__Alaria	0.554925704114964	g__Alaria	0.4287	pink	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Amynthas	g__Amynthas	1.06693879488436	g__Amynthas	0.493	pink	0.0086	0.0176	-0.049	0.146	0.128	-0.11	-0.0533	0.11	0.123	0.173
g__Anaeromusa-Anaeroarcus	g__Anaeromusa-Anaeroarcus	2.3997450488765097	g__Anaeromusa-Anaeroarcus	0.5669	pink	-0.0781	-0.181	-0.0174	-0.156	-0.105	0.14	0.36	-0.139	0.271	0.0911
g__Arachnomyces	g__Arachnomyces	1.7161139894904	g__Arachnomyces	0.5359	pink	-0.133	-0.319	-0.0418	-0.222	-0.144	0.14	-0.0344	-0.111	-0.09	-0.268
g__Azoarcus	g__Azoarcus	2.8667490878627504	g__Azoarcus	0.5787	pink	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Baetis	g__Baetis	20.6697068226732	g__Baetis	0.8184	pink	-0.07	-0.199	-0.0288	-0.136	-0.0919	0.163	0.0155	-0.133	0.255	-0.163
g__BSV13	g__BSV13	2.54957236597245	g__BSV13	0.5627	pink	0.174	0.0996	-0.0458	0.0885	0.361	-0.0781	-0.0329	0.0538	-0.0421	0.14
g__Candida/Metschnikowiaceae	g__Candida/Metschnikowiaceae	11.0763789856821	g__Candida/Metschnikowiaceae	0.7374	pink	-0.12	0.0679	-0.0331	0.001	-0.0253	0.0307	-0.0161	-0.0888	-0.0161	0.287
g__Carinigera	g__Carinigera	8.498900095535848	g__Carinigera	0.7031	pink	-0.0904	0.134	-0.0342	-0.0223	-0.0251	-0.046	0.0117	-0.0578	0.011	0.287
g__Chagasia	g__Chagasia	13.303565968308101	g__Chagasia	0.7508	pink	0.147	0.0594	-0.0004	0.202	-0.0628	-0.359	-0.305	0.401	-0.0633	0.0258
