source	target	weight	direction	fromAltName	toAltName
g__Agalma	g__Anaeromyxobacter	0.130285851035821	undirected	-	-
g__Agalma	g__Apolemia	0.143403331683846	undirected	-	-
g__Agalma	g__Ascocyclus	0.143293513338022	undirected	-	-
g__Agalma	g__Asterionellopsis	0.142986061641264	undirected	-	-
g__Agalma	g__BD1-7_clade	0.148791719380141	undirected	-	-
g__Agalma	g__BIyi10	0.160612052021199	undirected	-	-
g__Agalma	g__Brevilegnia	0.141150087114909	undirected	-	-
g__Agalma	g__Candidatus_Bealeia	0.157703448250073	undirected	-	-
g__Agalma	g__Chlamydomonas	0.12678944124299601	undirected	-	-
g__Agalma	g__Choricystis	0.13713102466625698	undirected	-	-
g__Agalma	g__CL500-3	0.127438773326526	undirected	-	-
g__Agalma	g__Cladophialophora	0.145464475891544	undirected	-	-
g__Agalma	g__Clavulina	0.136078115261511	undirected	-	-
g__Agalma	g__Coxiella	0.126491247273708	undirected	-	-
g__Agalma	g__Cuspidothrix_LMECYA_163	0.11524924730961801	undirected	-	-
g__Agalma	g__Defluviicoccus	0.118091315440358	undirected	-	-
g__Agalma	g__DEV114	0.137182179661189	undirected	-	-
g__Agalma	g__Dolichomastix	0.12915900003373598	undirected	-	-
g__Agalma	g__Ectocarpus	0.123618763078763	undirected	-	-
g__Agalma	g__Ellin6067	0.12001374054849699	undirected	-	-
g__Agalma	g__Elongisporangium	0.12805838850111098	undirected	-	-
g__Agalma	g__Gefionella	0.12236535065831099	undirected	-	-
g__Agalma	g__Gemmatimonas	0.140998605668109	undirected	-	-
g__Agalma	g__Gonium	0.141401078023209	undirected	-	-
g__Agalma	g__GOUTA6	0.128549347455313	undirected	-	-
g__Agalma	g__Guillardia	0.136693000149995	undirected	-	-
g__Agalma	g__hgcI_clade	0.128130944317467	undirected	-	-
g__Agalma	g__IMCC26134	0.139191422907906	undirected	-	-
g__Agalma	g__Labrys	0.143503500683631	undirected	-	-
g__Agalma	g__Lecanicillium	0.14886360961419298	undirected	-	-
g__Agalma	g__Limnothrix	0.126747361375185	undirected	-	-
g__Agalma	g__Lytocarpia	0.123352239421831	undirected	-	-
g__Agalma	g__Macrothrix	0.132440049720652	undirected	-	-
g__Agalma	g__marine_group	0.115304390705944	undirected	-	-
g__Agalma	g__Mesospora	0.124540155837592	undirected	-	-
g__Agalma	g__Methylomonas	0.129214175452797	undirected	-	-
g__Agalma	g__Microcystis_PCC-7914	0.13084562707890499	undirected	-	-
g__Agalma	g__MND1	0.137314840287665	undirected	-	-
g__Agalma	g__Nitrosomonas	0.135165892435242	undirected	-	-
g__Agalma	g__Nitrospira	0.136151246196654	undirected	-	-
g__Agalma	g__norank_c__BD2-11_terrestrial_group	0.117725104137864	undirected	-	-
g__Agalma	g__norank_c__Gammaproteobacteria	0.14159872311137	undirected	-	-
g__Agalma	g__norank_c__OM190	0.13470009669170502	undirected	-	-
g__Agalma	g__norank_c__Sericytochromatia	0.136395576936344	undirected	-	-
g__Agalma	g__norank_f__Acetobacteraceae	0.12516746429266098	undirected	-	-
g__Agalma	g__norank_f__AKYH767	0.14110771804160402	undirected	-	-
g__Agalma	g__norank_f__Azospirillaceae	0.12004430505733699	undirected	-	-
g__Agalma	g__norank_f__Chitinophagaceae	0.125530089832962	undirected	-	-
g__Agalma	g__norank_f__EF100-94H03	0.129161528311319	undirected	-	-
g__Agalma	g__norank_f__env.OPS_17	0.145604916190621	undirected	-	-
g__Agalma	g__norank_f__Fimbriimonadaceae	0.15225665162961	undirected	-	-
g__Agalma	g__norank_f__Gemmatimonadaceae	0.13742373109481598	undirected	-	-
g__Agalma	g__norank_f__Holosporaceae	0.129806694236299	undirected	-	-
g__Agalma	g__norank_f__Hydrogenedensaceae	0.120333782066935	undirected	-	-
g__Agalma	g__norank_f__Magnetospiraceae	0.12514907610507	undirected	-	-
g__Agalma	g__norank_f__Methylococcaceae	0.116725003350685	undirected	-	-
g__Agalma	g__norank_f__Methylophilaceae	0.131985970505068	undirected	-	-
g__Agalma	g__norank_f__Micropepsaceae	0.135798905071914	undirected	-	-
g__Agalma	g__norank_f__Microscillaceae	0.141415529351781	undirected	-	-
g__Agalma	g__norank_f__Nitrosomonadaceae	0.13717802814976698	undirected	-	-
g__Agalma	g__norank_f__Pedosphaeraceae	0.12373823246985902	undirected	-	-
g__Agalma	g__norank_f__Rhodocyclaceae	0.147310367366499	undirected	-	-
g__Agalma	g__norank_f__Rhodospirillaceae	0.13274398856055802	undirected	-	-
g__Agalma	g__norank_f__Silvanigrellaceae	0.133288243424073	undirected	-	-
g__Agalma	g__norank_f__Sneathiellaceae	0.130161177623108	undirected	-	-
g__Agalma	g__norank_f__TRA3-20	0.133263307099396	undirected	-	-
g__Agalma	g__norank_o__0319-6G20	0.12348295150522501	undirected	-	-
g__Agalma	g__norank_o__053A03-B-DI-P58	0.147679949130159	undirected	-	-
g__Agalma	g__norank_o__AT-s3-44	0.12317352827819802	undirected	-	-
g__Agalma	g__norank_o__Defluviicoccales	0.128331189257532	undirected	-	-
g__Agalma	g__norank_o__Elsterales	0.12564701173421197	undirected	-	-
g__Agalma	g__norank_o__Ga0077536	0.151774354913573	undirected	-	-
g__Agalma	g__norank_o__JTB23	0.12613706292568802	undirected	-	-
g__Agalma	g__norank_o__Kapabacteriales	0.126996960833151	undirected	-	-
g__Agalma	g__norank_o__KI89A_clade	0.152020861391284	undirected	-	-
g__Agalma	g__norank_o__PB19	0.11242960144962401	undirected	-	-
g__Agalma	g__norank_o__Rhodospirillales	0.12123949047439699	undirected	-	-
g__Agalma	g__norank_o__Zavarziniales	0.11457835973662499	undirected	-	-
g__Agalma	g__norank_p__Latescibacterota	0.16495482949629198	undirected	-	-
g__Agalma	g__norank_p__Margulisbacteria	0.12853679328793402	undirected	-	-
g__Agalma	g__norank_p__NB1-j	0.141132522890135	undirected	-	-
g__Agalma	g__OM27_clade	0.128669806385725	undirected	-	-
g__Agalma	g__Orthocladius	0.131566959168172	undirected	-	-
g__Agalma	g__Pandorina	0.127319927261634	undirected	-	-
g__Agalma	g__Petalonia	0.151694531514331	undirected	-	-
g__Agalma	g__Phaselicystis	0.15362899040577802	undirected	-	-
g__Agalma	g__Planktothrix_NIVA-CYA_15	0.122178408720517	undirected	-	-
g__Agalma	g__Prochlorothrix_PCC-9006	0.12199721465559	undirected	-	-
g__Agalma	g__Proteomonas	0.147340995368129	undirected	-	-
g__Agalma	g__Pseudogymnoascus	0.13669658563408402	undirected	-	-
g__Agalma	g__Pulveroboletus	0.149381646868014	undirected	-	-
g__Agalma	g__Rhodophyllis	0.120634263160012	undirected	-	-
g__Agalma	g__Sinocalanus	0.14584594182413402	undirected	-	-
g__Agalma	g__Sulcospira	0.131652855769271	undirected	-	-
g__Agalma	g__Terrimonas	0.135326993220226	undirected	-	-
g__Agalma	g__Thraustochytrium	0.124472650114543	undirected	-	-
g__Agalma	g__Ulnaria	0.138273883404166	undirected	-	-
g__Agalma	g__Variovorax	0.13224462932989	undirected	-	-
g__Agalma	s__Hemiculter_leucisculus	0.152139333557514	undirected	-	-
g__Agalma	s__Tachysurus_nitidus	0.15182465317105098	undirected	-	-
g__Agalma	s__Xenocypris_davidi	0.148349602348254	undirected	-	-
g__Agalma	s__Xenocypris_yunnanensis	0.154345760624674	undirected	-	-
g__Agalma	g__Eisenia	0.13078488727421	undirected	-	-
g__Agalma	g__norank_o__Thalassobaculales	0.130797106465572	undirected	-	-
g__Agalma	g__norank_f__Opitutaceae	0.123374723987118	undirected	-	-
g__Agalma	s__Coilia_mystus	0.12497972185685001	undirected	-	-
g__Agalma	s__Acrossocheilus_jishouensis	0.12071642166168699	undirected	-	-
g__Agalma	s__Yunnanilus_nigromaculatus	0.128645854319867	undirected	-	-
g__Agalma	s__Parajulis_poecilepterus	0.125977231329747	undirected	-	-
g__Agalma	s__Cubiceps_squamiceps	0.121868939081494	undirected	-	-
g__Agalma	s__Hippocampus_trimaculatus	0.12402256630385303	undirected	-	-
g__Agalma	s__Planiliza_affinis	0.16746441750644	undirected	-	-
g__Anaeromyxobacter	g__Apolemia	0.127708296027438	undirected	-	-
g__Anaeromyxobacter	g__Ascocyclus	0.146572962153208	undirected	-	-
g__Anaeromyxobacter	g__Asterionellopsis	0.13655055913556802	undirected	-	-
g__Anaeromyxobacter	g__BD1-7_clade	0.13463701464882902	undirected	-	-
g__Anaeromyxobacter	g__BIyi10	0.148795047149993	undirected	-	-
g__Anaeromyxobacter	g__Brevilegnia	0.13697257902644197	undirected	-	-
g__Anaeromyxobacter	g__Candidatus_Bealeia	0.16564809501743302	undirected	-	-
g__Anaeromyxobacter	g__Chlamydomonas	0.128315068959543	undirected	-	-
g__Anaeromyxobacter	g__Choricystis	0.140756618279659	undirected	-	-
g__Anaeromyxobacter	g__CL500-3	0.125085911811956	undirected	-	-
g__Anaeromyxobacter	g__Cladophialophora	0.142514663393034	undirected	-	-
g__Anaeromyxobacter	g__Clavulina	0.134416281164222	undirected	-	-
g__Anaeromyxobacter	g__Coxiella	0.12646160445138302	undirected	-	-
g__Anaeromyxobacter	g__Cuspidothrix_LMECYA_163	0.128811810096542	undirected	-	-
g__Anaeromyxobacter	g__Defluviicoccus	0.119674261748744	undirected	-	-
g__Anaeromyxobacter	g__DEV114	0.136612837263107	undirected	-	-
g__Anaeromyxobacter	g__Dolichomastix	0.136222993064231	undirected	-	-
g__Anaeromyxobacter	g__Ectocarpus	0.125280012536687	undirected	-	-
g__Anaeromyxobacter	g__Ellin6067	0.134985746813376	undirected	-	-
g__Anaeromyxobacter	g__Elongisporangium	0.133147680768493	undirected	-	-
g__Anaeromyxobacter	g__Gefionella	0.12957993565317302	undirected	-	-
g__Anaeromyxobacter	g__Gemmatimonas	0.130838307618515	undirected	-	-
g__Anaeromyxobacter	g__Gonium	0.139410141139586	undirected	-	-
g__Anaeromyxobacter	g__GOUTA6	0.129313780597669	undirected	-	-
g__Anaeromyxobacter	g__Guillardia	0.133992177486616	undirected	-	-
g__Anaeromyxobacter	g__hgcI_clade	0.11906501738080198	undirected	-	-
g__Anaeromyxobacter	g__IMCC26134	0.140732502755707	undirected	-	-
g__Anaeromyxobacter	g__Labrys	0.150883072257243	undirected	-	-
g__Anaeromyxobacter	g__Lecanicillium	0.154562225083469	undirected	-	-
g__Anaeromyxobacter	g__Limnothrix	0.136398497392721	undirected	-	-
g__Anaeromyxobacter	g__Lytocarpia	0.127469567170214	undirected	-	-
g__Anaeromyxobacter	g__Macrothrix	0.138042107320518	undirected	-	-
g__Anaeromyxobacter	g__marine_group	0.10003272971495801	undirected	-	-
g__Anaeromyxobacter	g__Mesospora	0.12384665635445802	undirected	-	-
g__Anaeromyxobacter	g__Methylomonas	0.13679809251672198	undirected	-	-
g__Anaeromyxobacter	g__Microcystis_PCC-7914	0.149260494717261	undirected	-	-
g__Anaeromyxobacter	g__MND1	0.123121888113171	undirected	-	-
g__Anaeromyxobacter	g__Nitrosomonas	0.130801605841389	undirected	-	-
g__Anaeromyxobacter	g__Nitrospira	0.11882059243078699	undirected	-	-
g__Anaeromyxobacter	g__norank_c__BD2-11_terrestrial_group	0.12988502523641499	undirected	-	-
g__Anaeromyxobacter	g__norank_c__Gammaproteobacteria	0.144931534650721	undirected	-	-
g__Anaeromyxobacter	g__norank_c__OM190	0.139812139157585	undirected	-	-
g__Anaeromyxobacter	g__norank_c__Sericytochromatia	0.139593337025979	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Acetobacteraceae	0.12972295998947198	undirected	-	-
g__Anaeromyxobacter	g__norank_f__AKYH767	0.14038689484199401	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Azospirillaceae	0.12947600950583	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Chitinophagaceae	0.121974769421425	undirected	-	-
g__Anaeromyxobacter	g__norank_f__EF100-94H03	0.132771683338277	undirected	-	-
g__Anaeromyxobacter	g__norank_f__env.OPS_17	0.143968069843208	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Fimbriimonadaceae	0.166012016913171	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Gemmatimonadaceae	0.122365887617522	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Holosporaceae	0.136228398048372	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Hydrogenedensaceae	0.129690748657208	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Magnetospiraceae	0.119578600776818	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Methylococcaceae	0.126378312387313	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Methylophilaceae	0.141167971198915	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Micropepsaceae	0.129194955936295	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Microscillaceae	0.151201565146582	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Nitrosomonadaceae	0.134568014753926	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Pedosphaeraceae	0.123307372260663	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Rhodocyclaceae	0.15558487854184602	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Rhodospirillaceae	0.12603295676687198	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Silvanigrellaceae	0.136984590349181	undirected	-	-
g__Anaeromyxobacter	g__norank_f__Sneathiellaceae	0.13155090961144503	undirected	-	-
g__Anaeromyxobacter	g__norank_f__TRA3-20	0.12138974174509899	undirected	-	-
g__Anaeromyxobacter	g__norank_o__0319-6G20	0.132967529448337	undirected	-	-
g__Anaeromyxobacter	g__norank_o__053A03-B-DI-P58	0.13861014741088198	undirected	-	-
g__Anaeromyxobacter	g__norank_o__AT-s3-44	0.118968854018375	undirected	-	-
g__Anaeromyxobacter	g__norank_o__Defluviicoccales	0.122093037804859	undirected	-	-
g__Anaeromyxobacter	g__norank_o__Elsterales	0.116616111048356	undirected	-	-
g__Anaeromyxobacter	g__norank_o__Ga0077536	0.13518700296540198	undirected	-	-
g__Anaeromyxobacter	g__norank_o__JTB23	0.120078155405185	undirected	-	-
g__Anaeromyxobacter	g__norank_o__Kapabacteriales	0.119020726750496	undirected	-	-
g__Anaeromyxobacter	g__norank_o__KI89A_clade	0.143774545286193	undirected	-	-
g__Anaeromyxobacter	g__norank_o__PB19	0.12379479250853802	undirected	-	-
g__Anaeromyxobacter	g__norank_o__Rhodospirillales	0.128814402349578	undirected	-	-
g__Anaeromyxobacter	g__norank_o__Zavarziniales	0.10905172059980302	undirected	-	-
g__Anaeromyxobacter	g__norank_p__Latescibacterota	0.17315574133998698	undirected	-	-
g__Anaeromyxobacter	g__norank_p__Margulisbacteria	0.122966443320635	undirected	-	-
g__Anaeromyxobacter	g__norank_p__NB1-j	0.15783489659553399	undirected	-	-
g__Anaeromyxobacter	g__OM27_clade	0.12034210989062401	undirected	-	-
g__Anaeromyxobacter	g__Orthocladius	0.129037626363079	undirected	-	-
g__Anaeromyxobacter	g__Pandorina	0.134525489424483	undirected	-	-
g__Anaeromyxobacter	g__Petalonia	0.14784365127952198	undirected	-	-
g__Anaeromyxobacter	g__Phaselicystis	0.155693921035952	undirected	-	-
g__Anaeromyxobacter	g__Planktothrix_NIVA-CYA_15	0.136629227737758	undirected	-	-
g__Anaeromyxobacter	g__Prochlorothrix_PCC-9006	0.13350707648546	undirected	-	-
g__Anaeromyxobacter	g__Proteomonas	0.139271280496499	undirected	-	-
g__Anaeromyxobacter	g__Pseudogymnoascus	0.14420411933551802	undirected	-	-
g__Anaeromyxobacter	g__Pulveroboletus	0.135239678093591	undirected	-	-
g__Anaeromyxobacter	g__Rhodophyllis	0.13073453688915	undirected	-	-
g__Anaeromyxobacter	g__Sinocalanus	0.131852006362642	undirected	-	-
g__Anaeromyxobacter	g__Sulcospira	0.12392841011915	undirected	-	-
