id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Agalma	g__Agalma	1.68478055465671	g__Agalma	0.6637	purple	-0.47	-0.452	-0.077	-0.225	-0.21	0.284	0.275	-0.255	0.377	-0.0549
g__Anaeromyxobacter	g__Anaeromyxobacter	1.08307135200738	g__Anaeromyxobacter	0.6179	purple	0.0807	0.0568	-0.0337	0.0227	0.185	-0.107	-0.357	0.293	-0.242	0.0879
g__Apolemia	g__Apolemia	3.49982674378519	g__Apolemia	0.7177	purple	-0.26	-0.623	-0.113	-0.335	-0.375	0.393	0.213	-0.364	0.399	-0.113
g__Ascocyclus	g__Ascocyclus	1.4673205935272	g__Ascocyclus	0.6758	purple	0.0615	0.156	-0.0461	-0.0396	0.0384	-0.217	-0.0269	-0.0322	0.0043	-0.145
g__Asterionellopsis	g__Asterionellopsis	1.27977085333583	g__Asterionellopsis	0.6249	purple	-0.218	-0.398	-0.16	-0.17	-0.17	0.121	0.265	-0.221	0.205	-0.367
g__BD1-7_clade	g__BD1-7_clade	3.66346237299985	g__BD1-7_clade	0.7106	purple	-0.132	-0.585	-0.143	-0.353	-0.346	0.279	0.0996	-0.456	0.418	-0.19
g__BIyi10	g__BIyi10	4.31056762987467	g__BIyi10	0.7831	purple	-0.242	-0.413	-0.111	-0.39	-0.389	0.315	0.192	-0.477	0.274	-0.179
g__Brevilegnia	g__Brevilegnia	3.07368355323151	g__Brevilegnia	0.7666	purple	-0.153	-0.193	-0.139	-0.265	-0.311	0.113	0.0025	-0.159	0.0459	-0.153
g__Candidatus_Bealeia	g__Candidatus_Bealeia	4.54302339382075	g__Candidatus_Bealeia	0.7969	purple	0.423	0.235	-0.043	0.155	0.043	-0.199	-0.208	0.0866	-0.0416	0.136
g__Chlamydomonas	g__Chlamydomonas	0.80110340753255	g__Chlamydomonas	0.545	purple	-0.183	-0.146	0.0982	-0.291	-0.319	-0.0209	0.0866	-0.21	0.282	-0.0541
g__Choricystis	g__Choricystis	3.1849870225846	g__Choricystis	0.76	purple	-0.111	0.133	0.0163	0.0041	-0.03	-0.269	-0.104	0.0604	-0.12	0.15
g__CL500-3	g__CL500-3	3.05097777518307	g__CL500-3	0.7391	purple	-0.0099	-0.279	-0.147	-0.0969	-0.23	0.243	0.272	-0.321	0.286	-0.272
g__Cladophialophora	g__Cladophialophora	1.26016004010666	g__Cladophialophora	0.6499	purple	-0.26	-0.0835	-0.116	-0.256	-0.176	0.0102	0.121	-0.292	0.202	0.0967
g__Clavulina	g__Clavulina	0.9873328057695391	g__Clavulina	0.6126	purple	-0.245	-0.0594	-0.124	-0.147	-0.246	-0.131	-0.192	0.0812	0.0951	-0.0374
g__Coxiella	g__Coxiella	2.17792544875103	g__Coxiella	0.6933	purple	0.0359	-0.208	0.0365	-0.229	-0.254	0.25	0.221	-0.382	0.195	-0.434
g__Cuspidothrix_LMECYA_163	g__Cuspidothrix_LMECYA_163	1.33294175642793	g__Cuspidothrix_LMECYA_163	0.5759	purple	0.355	0.214	0.159	0.164	0.156	-0.266	-0.278	0.194	-0.253	0.0161
g__Defluviicoccus	g__Defluviicoccus	2.26774857178637	g__Defluviicoccus	0.6206	purple	-0.0062	-0.243	0.0222	-0.103	-0.096	0.16	0.0039	-0.194	0.0781	-0.122
g__DEV114	g__DEV114	2.36650023786121	g__DEV114	0.7457	purple	0.142	-0.229	-0.109	0.0304	0.062	0.0455	-0.0523	-0.0044	-0.101	-0.411
g__Dolichomastix	g__Dolichomastix	2.34551908718132	g__Dolichomastix	0.726	purple	0.0398	-0.159	-0.0064	0.167	0.0877	0.136	0.145	-0.089	0.111	0.172
g__Ectocarpus	g__Ectocarpus	0.689094719883601	g__Ectocarpus	0.5689	purple	-0.315	-0.0842	-0.163	-0.152	-0.123	0.0244	0.0772	-0.273	0.179	-0.0658
g__Ellin6067	g__Ellin6067	1.96162078936026	g__Ellin6067	0.5635	purple	0.307	0.749	0.134	0.469	0.434	-0.459	-0.187	0.475	-0.525	0.101
g__Elongisporangium	g__Elongisporangium	2.3414681456097	g__Elongisporangium	0.7262	purple	-0.004	0.0932	-0.119	0.243	0.254	-0.139	0.101	-0.0135	0.0005	0.0998
g__Gefionella	g__Gefionella	2.02252265777226	g__Gefionella	0.706	purple	0.0036	0.135	-0.107	0.209	0.151	-0.0574	0.186	-0.0887	0.073	-0.141
g__Gemmatimonas	g__Gemmatimonas	1.3620966055261499	g__Gemmatimonas	0.5578	purple	-0.243	-0.304	-0.155	-0.194	-0.224	0.219	0.138	-0.347	0.278	0.0254
g__Gonium	g__Gonium	1.7348571670778001	g__Gonium	0.6292	purple	-0.378	0.279	-0.104	-0.21	-0.165	-0.206	-0.0453	-0.093	0.0154	0.162
g__GOUTA6	g__GOUTA6	3.33141237943346	g__GOUTA6	0.7435	purple	0.221	-0.317	0.0589	0.126	-0.0238	0.264	0.226	-0.223	0.132	-0.149
