source	target	weight	direction	fromAltName	toAltName
g__Aequorea	g__Albatrellus	0.118965444350405	undirected	-	-
g__Aequorea	g__Algoriphagus	0.11617735884949401	undirected	-	-
g__Aequorea	g__Arcobacter	0.12170272674347501	undirected	-	-
g__Aequorea	g__Aureoboletus	0.114812856190305	undirected	-	-
g__Aequorea	g__Candidatus_Planktophila	0.112968177006544	undirected	-	-
g__Aequorea	g__Candolleomyces	0.124193739090297	undirected	-	-
g__Aequorea	g__Cavernulicola	0.10760399054466	undirected	-	-
g__Aequorea	g__Chryseobacterium	0.100045723728946	undirected	-	-
g__Aequorea	g__Chrysochromulina	0.10503987029987101	undirected	-	-
g__Aequorea	g__Cladosporium	0.120457196533323	undirected	-	-
g__Aequorea	g__Clathria	0.12075548455138499	undirected	-	-
g__Aequorea	g__Cryptomonas	0.113297834010947	undirected	-	-
g__Aequorea	g__Cutleria	0.11283176915566999	undirected	-	-
g__Aequorea	g__Cyamon	0.118939567609445	undirected	-	-
g__Aequorea	g__Cyclostephanos	0.10062938805560401	undirected	-	-
g__Aequorea	g__Dicrotendipes	0.102244015109843	undirected	-	-
g__Aequorea	g__Entoloma	0.118306183564593	undirected	-	-
g__Aequorea	g__Entomortierella	0.109934198895176	undirected	-	-
g__Aequorea	g__Eudesme	0.10978594545575	undirected	-	-
g__Aequorea	g__Flavobacterium	0.101172510877379	undirected	-	-
g__Aequorea	g__Fluviicola	0.11806084338226899	undirected	-	-
g__Aequorea	g__Geodia	0.11432781658935999	undirected	-	-
g__Aequorea	g__Glyptophysa	0.10418583993891699	undirected	-	-
g__Aequorea	g__Haliclona	0.100382103237909	undirected	-	-
g__Aequorea	g__Halophytophthora	0.11073115170496302	undirected	-	-
g__Aequorea	g__Hemiaulus	0.115116805312321	undirected	-	-
g__Aequorea	g__Hymeraphia	0.103854629780386	undirected	-	-
g__Aequorea	g__Kryptoperidinium	0.107084199317988	undirected	-	-
g__Aequorea	g__Lacihabitans	0.115782549284124	undirected	-	-
g__Aequorea	g__Lacrymaria	0.10875741358802199	undirected	-	-
g__Aequorea	g__Lacunisphaera	0.10277084922947802	undirected	-	-
g__Aequorea	g__Laternula	0.102931751341008	undirected	-	-
g__Aequorea	g__Lepista	0.11027729517887	undirected	-	-
g__Aequorea	g__Leptolegnia	0.114845029359227	undirected	-	-
g__Aequorea	g__Leptonematella	0.10751296254799099	undirected	-	-
g__Aequorea	g__Limnomonas	0.10359393593468501	undirected	-	-
g__Aequorea	g__Mayamaea	0.107482392499097	undirected	-	-
g__Aequorea	g__Melanosiphon	0.10547680141412	undirected	-	-
g__Aequorea	g__Melosira	0.12151369228008198	undirected	-	-
g__Aequorea	g__Methylobacter	0.103192752823991	undirected	-	-
g__Aequorea	g__Methylotenera	0.11816135673204	undirected	-	-
g__Aequorea	g__Neohelice	0.114787866309929	undirected	-	-
g__Aequorea	g__Nitzschia	0.11107115597304801	undirected	-	-
g__Aequorea	g__norank_c__Verrucomicrobiae	0.11007787518348401	undirected	-	-
g__Aequorea	g__norank_f__Sphingobacteriaceae	0.11501676333053801	undirected	-	-
g__Aequorea	g__norank_f__Sporichthyaceae	0.11225113527071198	undirected	-	-
g__Aequorea	g__norank_o__211ds20	0.11175005535915698	undirected	-	-
g__Aequorea	g__Ochthebius	0.10075893486764699	undirected	-	-
g__Aequorea	g__Orthopyxis	0.10196963056755198	undirected	-	-
g__Aequorea	g__Parougia	0.105019884109984	undirected	-	-
g__Aequorea	g__Pedobacter	0.10141070085163699	undirected	-	-
g__Aequorea	g__Pelagia	0.10085162743218301	undirected	-	-
g__Aequorea	g__Pelosoma	0.10995234052710799	undirected	-	-
g__Aequorea	g__Peronospora	0.115909233547844	undirected	-	-
g__Aequorea	g__Physophora	0.10827805732414	undirected	-	-
g__Aequorea	g__Phytopythium	0.10794379038138001	undirected	-	-
g__Aequorea	g__Pisolithus	0.11258198699614201	undirected	-	-
g__Aequorea	g__Planosiphon	0.119091422410274	undirected	-	-
g__Aequorea	g__Porphyra	0.106044483077453	undirected	-	-
g__Aequorea	g__Protaphorura	0.11100794775436802	undirected	-	-
g__Aequorea	g__Proteocatella	0.105400389289562	undirected	-	-
g__Aequorea	g__Pseudarcicella	0.12984817648695401	undirected	-	-
g__Aequorea	g__Pseudarcobacter	0.128342380223755	undirected	-	-
g__Aequorea	g__Pseudohongiella	0.10825735913940801	undirected	-	-
g__Aequorea	g__Pseudo-nitzschia	0.112428544659515	undirected	-	-
g__Aequorea	g__Pterosiphonia	0.108928068266255	undirected	-	-
g__Aequorea	g__Rathkea	0.11511395303549	undirected	-	-
g__Aequorea	g__Rauschoides	0.11253183224927099	undirected	-	-
g__Aequorea	g__Rhizobacter	0.122915608691747	undirected	-	-
g__Aequorea	g__Rhizoctonia	0.10696297194290899	undirected	-	-
g__Aequorea	g__Rhodoferax	0.111389248886024	undirected	-	-
g__Aequorea	g__Scytosiphon	0.12238782080089901	undirected	-	-
g__Aequorea	g__Sediminibacterium	0.117418654915934	undirected	-	-
g__Aequorea	g__Simulium	0.102505427650251	undirected	-	-
g__Aequorea	g__Solitalea	0.119893448829167	undirected	-	-
g__Aequorea	g__Sollasella	0.117889580900659	undirected	-	-
g__Aequorea	g__Spongilla	0.113793531210965	undirected	-	-
g__Aequorea	g__Stauridiosarsia	0.10724366182095699	undirected	-	-
g__Aequorea	g__Stephanodiscus	0.101758846598511	undirected	-	-
g__Aequorea	g__Thecamonas	0.10915071833926801	undirected	-	-
g__Aequorea	g__Trichococcus	0.106755448740453	undirected	-	-
g__Aequorea	g__Tricholoma	0.10135180507820402	undirected	-	-
g__Aequorea	g__Tylopilus	0.10383393156003999	undirected	-	-
g__Aequorea	g__Volvariella	0.108455267757374	undirected	-	-
g__Aequorea	s__Ctenopharyngodon_idella	0.11228851684570801	undirected	-	-
g__Aequorea	s__Homatula_wenshanensis	0.100070120533489	undirected	-	-
g__Albatrellus	g__Algoriphagus	0.125076927780688	undirected	-	-
g__Albatrellus	g__Arcobacter	0.128190807873127	undirected	-	-
g__Albatrellus	g__Aureoboletus	0.137518740739088	undirected	-	-
g__Albatrellus	g__Austrochloritis	0.10149934576088099	undirected	-	-
g__Albatrellus	g__Brachymonas	0.10988006571503699	undirected	-	-
g__Albatrellus	g__Brillia	0.111435979296692	undirected	-	-
g__Albatrellus	g__Candidatus_Planktophila	0.119335219045984	undirected	-	-
g__Albatrellus	g__Candolleomyces	0.14120126305251401	undirected	-	-
g__Albatrellus	g__Cavernulicola	0.109030672409481	undirected	-	-
g__Albatrellus	g__Chrysochromulina	0.10781838835355699	undirected	-	-
g__Albatrellus	g__Cladosporium	0.116441984937635	undirected	-	-
g__Albatrellus	g__Clathria	0.108707285531867	undirected	-	-
g__Albatrellus	g__Cryptomonas	0.115522266390121	undirected	-	-
g__Albatrellus	g__Cutleria	0.123505418162966	undirected	-	-
g__Albatrellus	g__Cyamon	0.127165935659549	undirected	-	-
g__Albatrellus	g__Cyclotella	0.10002509693647	undirected	-	-
g__Albatrellus	g__Dicrotendipes	0.10421781663139	undirected	-	-
g__Albatrellus	g__Entoloma	0.13447030200101598	undirected	-	-
g__Albatrellus	g__Entomortierella	0.131902792165042	undirected	-	-
g__Albatrellus	g__Eudesme	0.130234956228045	undirected	-	-
g__Albatrellus	g__Flavobacterium	0.112207925271024	undirected	-	-
g__Albatrellus	g__Fluviicola	0.126449226090017	undirected	-	-
g__Albatrellus	g__Geodia	0.146357560695667	undirected	-	-
g__Albatrellus	g__Glyptophysa	0.11181323003445198	undirected	-	-
g__Albatrellus	g__Halophytophthora	0.11303039445491199	undirected	-	-
g__Albatrellus	g__Helicarion	0.10695026481880099	undirected	-	-
g__Albatrellus	g__Hemiaulus	0.11776818781245099	undirected	-	-
g__Albatrellus	g__Heteromeyenia	0.117057918217224	undirected	-	-
g__Albatrellus	g__Kryptoperidinium	0.111270063156754	undirected	-	-
g__Albatrellus	g__Lacihabitans	0.135798144379225	undirected	-	-
g__Albatrellus	g__Lacrymaria	0.128761767363353	undirected	-	-
g__Albatrellus	g__Lacunisphaera	0.102772444847503	undirected	-	-
g__Albatrellus	g__Laternula	0.107411204077313	undirected	-	-
g__Albatrellus	g__Lepista	0.125993996287039	undirected	-	-
g__Albatrellus	g__Leptolegnia	0.134212839883181	undirected	-	-
g__Albatrellus	g__Leptonematella	0.118157442336275	undirected	-	-
g__Albatrellus	g__Limnomonas	0.10115554494540101	undirected	-	-
g__Albatrellus	g__Mayamaea	0.10423170569182501	undirected	-	-
g__Albatrellus	g__Melanosiphon	0.12643057733278698	undirected	-	-
g__Albatrellus	g__Melosira	0.11487197206356499	undirected	-	-
g__Albatrellus	g__Methylobacter	0.104666172566561	undirected	-	-
g__Albatrellus	g__Methylotenera	0.122439246852747	undirected	-	-
g__Albatrellus	g__Neohelice	0.115343116040633	undirected	-	-
g__Albatrellus	g__Nitzschia	0.1111369437207	undirected	-	-
g__Albatrellus	g__norank_c__Verrucomicrobiae	0.125623514396601	undirected	-	-
g__Albatrellus	g__norank_f__Anaerolineaceae	0.10810310553668902	undirected	-	-
g__Albatrellus	g__norank_f__Sphingobacteriaceae	0.129112495411155	undirected	-	-
g__Albatrellus	g__norank_f__Sporichthyaceae	0.120050778661425	undirected	-	-
g__Albatrellus	g__norank_o__211ds20	0.116533482676437	undirected	-	-
g__Albatrellus	g__Nothophytophthora	0.10552600517627901	undirected	-	-
g__Albatrellus	g__Ochthebius	0.109421979978792	undirected	-	-
g__Albatrellus	g__Orthopyxis	0.11160949086892098	undirected	-	-
g__Albatrellus	g__Parougia	0.12948535113978	undirected	-	-
g__Albatrellus	g__Pedobacter	0.102998582297925	undirected	-	-
g__Albatrellus	g__Pelosoma	0.126668553778382	undirected	-	-
g__Albatrellus	g__Peronospora	0.114986973737863	undirected	-	-
g__Albatrellus	g__Phytopythium	0.109386146209663	undirected	-	-
g__Albatrellus	g__Pisolithus	0.138427785277509	undirected	-	-
g__Albatrellus	g__Planosiphon	0.129248693297824	undirected	-	-
g__Albatrellus	g__Porphyra	0.12490907632715	undirected	-	-
g__Albatrellus	g__Protaphorura	0.121169913259306	undirected	-	-
g__Albatrellus	g__Proteocatella	0.113730884702997	undirected	-	-
g__Albatrellus	g__Pseudarcicella	0.13848780581481102	undirected	-	-
g__Albatrellus	g__Pseudarcobacter	0.13862450076910598	undirected	-	-
g__Albatrellus	g__Pseudohongiella	0.106959219551231	undirected	-	-
g__Albatrellus	g__Pseudo-nitzschia	0.114806702301121	undirected	-	-
g__Albatrellus	g__Pterosiphonia	0.12402505275278398	undirected	-	-
g__Albatrellus	g__Rathkea	0.13762609224814498	undirected	-	-
g__Albatrellus	g__Rauschoides	0.127239816428388	undirected	-	-
g__Albatrellus	g__Rhizobacter	0.140345205242658	undirected	-	-
g__Albatrellus	g__Rhizoctonia	0.10971244054365599	undirected	-	-
g__Albatrellus	g__Rhodoferax	0.12456135510793902	undirected	-	-
g__Albatrellus	g__Scytosiphon	0.114440170979724	undirected	-	-
g__Albatrellus	g__Sediminibacterium	0.12681401942932	undirected	-	-
g__Albatrellus	g__Simulium	0.109894831180399	undirected	-	-
g__Albatrellus	g__Solitalea	0.136354295135628	undirected	-	-
g__Albatrellus	g__Sollasella	0.14269486606345902	undirected	-	-
g__Albatrellus	g__Spongilla	0.133921855001767	undirected	-	-
g__Albatrellus	g__Stauridiosarsia	0.111212094804819	undirected	-	-
g__Albatrellus	g__Thecamonas	0.124130382447318	undirected	-	-
g__Albatrellus	g__Trichococcus	0.11202976375158802	undirected	-	-
g__Albatrellus	g__Tricholoma	0.105347877756482	undirected	-	-
g__Albatrellus	g__Tylopilus	0.106139777325109	undirected	-	-
g__Albatrellus	g__Volvariella	0.116344314141532	undirected	-	-
g__Albatrellus	s__Ctenopharyngodon_idella	0.11246571570224799	undirected	-	-
g__Albatrellus	s__Homatula_wenshanensis	0.10056665385649001	undirected	-	-
g__Algoriphagus	g__Apodera	0.11337326883368302	undirected	-	-
g__Algoriphagus	g__Arcobacter	0.135731476128476	undirected	-	-
g__Algoriphagus	g__Aureoboletus	0.12362174501535698	undirected	-	-
g__Algoriphagus	g__Austrochloritis	0.11302776993078599	undirected	-	-
g__Algoriphagus	g__Bacteroides	0.10743847224227099	undirected	-	-
g__Algoriphagus	g__Batrachospermum	0.10667074181188499	undirected	-	-
g__Algoriphagus	g__Blastosporella	0.113964902831673	undirected	-	-
g__Algoriphagus	g__Brachymonas	0.107867124040506	undirected	-	-
g__Algoriphagus	g__Brillia	0.109731529826532	undirected	-	-
g__Algoriphagus	g__Camaena	0.109490140302537	undirected	-	-
g__Algoriphagus	g__Candidatus_Planktophila	0.13423103938839098	undirected	-	-
g__Algoriphagus	g__Candolleomyces	0.126643480442338	undirected	-	-
g__Algoriphagus	g__Cavernulicola	0.129579000289767	undirected	-	-
g__Algoriphagus	g__Chloropicon	0.11779448861063302	undirected	-	-
g__Algoriphagus	g__Chordaria	0.118442461460979	undirected	-	-
g__Algoriphagus	g__Chryseobacterium	0.11778037028120501	undirected	-	-
g__Algoriphagus	g__Chrysochromulina	0.13783480033962398	undirected	-	-
g__Algoriphagus	g__Cladosporium	0.129131812389119	undirected	-	-
g__Algoriphagus	g__Cladostephus	0.117364024835161	undirected	-	-
g__Algoriphagus	g__Clathria	0.14093950057877697	undirected	-	-
g__Algoriphagus	g__Collybia	0.11705933181955801	undirected	-	-
g__Algoriphagus	g__Cryptomonas	0.131563175322493	undirected	-	-
g__Algoriphagus	g__Cutleria	0.117301832122577	undirected	-	-
g__Algoriphagus	g__Cyamon	0.12226943946276	undirected	-	-
g__Algoriphagus	g__Cyclonaias	0.117319977246965	undirected	-	-
g__Algoriphagus	g__Cyclostephanos	0.138738969887095	undirected	-	-
g__Algoriphagus	g__Cyclotella	0.133554337238192	undirected	-	-
g__Algoriphagus	g__Cymbella	0.11168799546427001	undirected	-	-
g__Algoriphagus	g__Dicrotendipes	0.113464313769164	undirected	-	-
g__Algoriphagus	g__Dictyota	0.122198328306075	undirected	-	-
g__Algoriphagus	g__Entoloma	0.120031846057002	undirected	-	-
g__Algoriphagus	g__Entomortierella	0.121406568974346	undirected	-	-
g__Algoriphagus	g__Epithemia	0.109661988798949	undirected	-	-
g__Algoriphagus	g__Ethelia	0.12223801414196901	undirected	-	-
g__Algoriphagus	g__Eudesme	0.12675201022694801	undirected	-	-
g__Algoriphagus	g__Euspira	0.109577714910445	undirected	-	-
