id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Aequorea	g__Aequorea	0.630226980622915	g__Aequorea	0.4952	red	-0.22	-0.478	-0.0749	-0.224	-0.255	0.217	0.0524	-0.213	0.411	-0.243
g__Albatrellus	g__Albatrellus	5.362446513711941	g__Albatrellus	0.5585	red	-0.361	-0.483	-0.0805	-0.374	-0.281	0.301	0.0977	-0.292	0.542	-0.0772
g__Algoriphagus	g__Algoriphagus	3.7819403995101806	g__Algoriphagus	0.7085	red	-0.47	-0.495	-0.25	-0.349	-0.345	0.328	0.17	-0.381	0.506	-0.0193
g__Apodera	g__Apodera	1.93296834529219	g__Apodera	0.5804	red	-0.105	-0.53	-0.0618	-0.274	-0.325	0.277	0.0829	-0.296	0.336	-0.313
g__Arcobacter	g__Arcobacter	2.78566151465506	g__Arcobacter	0.7939	red	-0.297	-0.815	-0.1	-0.367	-0.36	0.491	0.17	-0.443	0.587	-0.124
g__Aureoboletus	g__Aureoboletus	3.3083253087477797	g__Aureoboletus	0.5165	red	-0.372	-0.412	-0.112	-0.394	-0.313	0.202	0.0427	-0.216	0.435	-0.0659
g__Austrochloritis	g__Austrochloritis	0.38257223651756705	g__Austrochloritis	0.4769	red	-0.365	-0.351	-0.112	-0.316	-0.262	0.263	0.0688	-0.358	0.406	-0.0687
g__Bacteroides	g__Bacteroides	0.35492413233287995	g__Bacteroides	0.4641	red	-0.213	-0.53	0.0356	-0.314	-0.16	0.229	0.176	-0.355	0.426	-0.184
g__Batrachospermum	g__Batrachospermum	3.07352296218709	g__Batrachospermum	0.4392	red	0.135	-0.515	0.0155	-0.0698	-0.24	0.289	0.0929	-0.23	0.185	-0.287
g__Blastosporella	g__Blastosporella	5.97108974243237	g__Blastosporella	0.6012	red	0.0228	-0.565	-0.0233	-0.154	-0.295	0.343	0.13	-0.32	0.224	-0.325
g__Brachymonas	g__Brachymonas	0.6092120248117879	g__Brachymonas	0.3361	red	-0.183	-0.354	-0.0494	-0.222	-0.18	0.177	-0.0103	-0.0049	0.373	0.099
g__Brillia	g__Brillia	0.638565572284063	g__Brillia	0.3498	red	-0.212	-0.352	-0.041	-0.177	-0.164	0.179	0.0721	-0.0517	0.351	0.0829
g__Camaena	g__Camaena	0.40166042832943	g__Camaena	0.4869	red	-0.0652	-0.351	-0.078	-0.197	-0.199	0.0684	0.177	-0.202	0.246	-0.319
g__Candidatus_Planktophila	g__Candidatus_Planktophila	1.93658353326129	g__Candidatus_Planktophila	0.5966	red	-0.332	-0.612	-0.108	-0.369	-0.311	0.309	0.0721	-0.311	0.506	-0.0617
g__Candolleomyces	g__Candolleomyces	2.08813120449595	g__Candolleomyces	0.4825	red	-0.415	-0.419	-0.111	-0.383	-0.359	0.194	-0.0165	-0.239	0.519	0.028
g__Cavernulicola	g__Cavernulicola	1.71916699193213	g__Cavernulicola	0.7316	red	-0.136	-0.792	-0.107	-0.371	-0.322	0.381	0.104	-0.341	0.394	-0.451
g__Chloropicon	g__Chloropicon	0.429342542610026	g__Chloropicon	0.4283	red	-0.157	-0.552	-0.115	-0.394	-0.458	0.475	0.291	-0.433	0.298	-0.195
g__Chordaria	g__Chordaria	0.7257406198502329	g__Chordaria	0.4883	red	-0.0897	-0.405	-0.0308	-0.158	-0.281	0.37	0.193	-0.331	0.191	-0.113
g__Chryseobacterium	g__Chryseobacterium	2.5829871365261696	g__Chryseobacterium	0.684	red	-0.15	-0.728	-0.0707	-0.405	-0.445	0.458	0.138	-0.371	0.428	-0.406
g__Chrysochromulina	g__Chrysochromulina	2.3877215738875295	g__Chrysochromulina	0.7518	red	-0.387	-0.74	-0.101	-0.491	-0.496	0.558	0.231	-0.492	0.513	-0.106
g__Cladosporium	g__Cladosporium	0.725517281895708	g__Cladosporium	0.5778	red	-0.305	-0.563	0.0199	-0.393	-0.346	0.299	0.0323	-0.417	0.423	-0.177
g__Cladostephus	g__Cladostephus	4.72549038889838	g__Cladostephus	0.6987	red	-0.181	-0.659	-0.0886	-0.338	-0.348	0.37	0.198	-0.457	0.406	-0.397
g__Clathria	g__Clathria	0.9822622211868008	g__Clathria	0.5168	red	-0.408	-0.296	-0.217	-0.413	-0.46	0.276	0.16	-0.386	0.299	-0.0458
g__Collybia	g__Collybia	3.21805859441474	g__Collybia	0.6222	red	-0.0135	-0.626	-0.115	-0.302	-0.385	0.319	0.0547	-0.333	0.222	-0.463
g__Cryptomonas	g__Cryptomonas	1.64640136836005	g__Cryptomonas	0.6547	red	-0.594	-0.543	-0.0345	-0.573	-0.549	0.302	0.088	-0.403	0.49	-0.0941
g__Cutleria	g__Cutleria	2.41035663217566	g__Cutleria	0.5049	red	-0.298	-0.405	-0.0547	-0.275	-0.203	0.232	0.194	-0.344	0.433	-0.134
g__Cyamon	g__Cyamon	1.4377304610963701	g__Cyamon	0.7045	red	-0.204	-0.762	-0.114	-0.364	-0.399	0.438	0.114	-0.317	0.531	-0.231
g__Cyclonaias	g__Cyclonaias	0.971538957970521	g__Cyclonaias	0.5911	red	-0.102	-0.607	-0.0336	-0.293	-0.282	0.307	0.0849	-0.33	0.295	-0.314
g__Cyclostephanos	g__Cyclostephanos	2.81980388581114	g__Cyclostephanos	0.7094	red	-0.245	-0.736	-0.239	-0.429	-0.456	0.328	0.108	-0.447	0.484	-0.258
g__Cyclotella	g__Cyclotella	1.4089742138053798	g__Cyclotella	0.5866	red	-0.337	-0.531	-0.185	-0.22	-0.163	0.17	0.0887	-0.333	0.409	0.0871
g__Cymbella	g__Cymbella	0.972099687041422	g__Cymbella	0.5201	red	-0.244	-0.423	-0.0783	-0.239	-0.21	0.119	-0.0449	-0.0942	0.266	-0.297
g__Dicrotendipes	g__Dicrotendipes	0.526106242319913	g__Dicrotendipes	0.5191	red	-0.186	-0.379	-0.0631	-0.287	-0.22	0.19	0.302	-0.289	0.406	-0.15
g__Dictyota	g__Dictyota	0.765328264165538	g__Dictyota	0.538	red	-0.278	-0.467	-0.257	-0.225	-0.2	0.293	0.237	-0.349	0.343	0.0286
g__Entoloma	g__Entoloma	1.62567097424436	g__Entoloma	0.5676	red	-0.402	-0.543	-0.106	-0.448	-0.372	0.226	0.0416	-0.335	0.599	-0.0727
g__Entomortierella	g__Entomortierella	2.11745704526791	g__Entomortierella	0.4702	red	-0.391	-0.314	-0.148	-0.311	-0.309	0.0756	-0.027	-0.208	0.46	-0.0115
g__Epithemia	g__Epithemia	1.32635237265733	g__Epithemia	0.482	red	0.0786	-0.481	0.0057	-0.0535	-0.236	0.207	-0.149	0.0275	0.149	-0.253
g__Ethelia	g__Ethelia	1.2127697841481002	g__Ethelia	0.6398	red	-0.0137	-0.647	-0.123	-0.331	-0.284	0.207	0.138	-0.357	0.412	-0.435
g__Eudesme	g__Eudesme	2.5864681255632003	g__Eudesme	0.6428	red	-0.529	-0.431	-0.151	-0.476	-0.376	0.306	0.211	-0.463	0.539	-0.0348
g__Euspira	g__Euspira	0.14252714200343303	g__Euspira	0.3908	red	-0.286	-0.46	-0.1	-0.297	-0.39	0.0897	-0.187	-0.0118	0.341	-0.276
g__Eutrichosiphonia	g__Eutrichosiphonia	0.44735787291491796	g__Eutrichosiphonia	0.5551	red	-0.321	-0.44	-0.112	-0.486	-0.371	0.172	0.152	-0.526	0.446	-0.235
g__Fasciospongia	g__Fasciospongia	1.5528235038819098	g__Fasciospongia	0.4995	red	-0.117	-0.334	-0.0642	-0.209	-0.205	0.232	0.0925	-0.264	0.202	-0.338
g__Favia	g__Favia	0.7245378418973699	g__Favia	0.5004	red	-0.0409	-0.534	-0.0283	-0.139	-0.243	0.21	-0.204	-0.0054	0.263	-0.218
g__Fistulifera	g__Fistulifera	0.223693019309952	g__Fistulifera	0.4708	red	-0.435	-0.317	-0.12	-0.462	-0.435	0.177	0.0585	-0.319	0.4	0.175
g__Flavobacterium	g__Flavobacterium	0.7188527504201999	g__Flavobacterium	0.5125	red	-0.229	-0.399	-0.0871	-0.161	-0.0992	0.338	0.168	-0.348	0.47	0.1
g__Fluviicola	g__Fluviicola	2.88152484939746	g__Fluviicola	0.6592	red	-0.378	-0.487	-0.265	-0.482	-0.472	0.312	0.0942	-0.431	0.43	-0.0982
g__Geodia	g__Geodia	4.9284555670012	g__Geodia	0.6364	red	-0.354	-0.514	-0.0843	-0.37	-0.266	0.283	0.116	-0.329	0.584	-0.0757
g__Glyptophysa	g__Glyptophysa	1.28842655068299	g__Glyptophysa	0.6911	red	-0.423	-0.577	-0.148	-0.461	-0.373	0.353	0.211	-0.406	0.516	-0.0199
g__Haliclona	g__Haliclona	1.52648164207818	g__Haliclona	0.6445	red	-0.176	-0.653	-0.0928	-0.314	-0.34	0.416	0.19	-0.461	0.452	-0.251
g__Halophytophthora	g__Halophytophthora	1.5170884525883799	g__Halophytophthora	0.6161	red	-0.301	-0.564	-0.17	-0.376	-0.339	0.321	0.106	-0.348	0.395	-0.0983
g__Helicarion	g__Helicarion	1.38640059272625	g__Helicarion	0.6392	red	-0.185	-0.675	-0.0428	-0.31	-0.372	0.315	0.11	-0.301	0.432	-0.362
g__Hemiaulus	g__Hemiaulus	2.01189171260906	g__Hemiaulus	0.6998	red	-0.352	-0.583	-0.15	-0.454	-0.379	0.242	-0.0795	-0.339	0.408	-0.211
g__Heteromeyenia	g__Heteromeyenia	1.7437486445732098	g__Heteromeyenia	0.3021	red	-0.227	-0.248	-0.0376	-0.162	-0.112	0.199	0.043	-0.246	0.316	0.154
g__Hymeraphia	g__Hymeraphia	3.3391006711671	g__Hymeraphia	0.6967	red	-0.181	-0.702	-0.0986	-0.225	-0.308	0.393	0.183	-0.275	0.381	-0.314
g__Hypselodoris	g__Hypselodoris	4.55389428908856	g__Hypselodoris	0.6034	red	0.005	-0.625	-0.0326	-0.196	-0.306	0.339	0.129	-0.357	0.335	-0.358
g__Kryptoperidinium	g__Kryptoperidinium	2.69954115345621	g__Kryptoperidinium	0.7707	red	-0.206	-0.725	-0.106	-0.443	-0.404	0.404	0.174	-0.446	0.585	-0.346
g__Lacihabitans	g__Lacihabitans	5.1981846185497895	g__Lacihabitans	0.6667	red	-0.311	-0.611	-0.0892	-0.37	-0.268	0.343	0.102	-0.287	0.546	-0.124
g__Lacrymaria	g__Lacrymaria	2.90294538340373	g__Lacrymaria	0.6311	red	-0.317	-0.551	-0.0964	-0.405	-0.293	0.358	0.146	-0.379	0.599	-0.0401
g__Lacunisphaera	g__Lacunisphaera	1.43076970682868	g__Lacunisphaera	0.6291	red	-0.0883	-0.628	0.0369	-0.359	-0.35	0.454	0.0947	-0.479	0.379	-0.356
g__Laminariocolax	g__Laminariocolax	0.543889804355886	g__Laminariocolax	0.4311	red	-0.108	-0.373	-0.0776	-0.279	-0.265	0.266	0.0931	-0.358	0.215	0.0117
g__Laternula	g__Laternula	1.34529292701733	g__Laternula	0.6427	red	-0.308	-0.527	-0.0927	-0.448	-0.494	0.486	0.262	-0.535	0.425	-0.21
g__Lepista	g__Lepista	5.06228383327773	g__Lepista	0.8777	red	-0.253	-0.77	-0.115	-0.449	-0.491	0.545	0.189	-0.476	0.566	-0.374
g__Leptogorgia	g__Leptogorgia	2.37748097399681	g__Leptogorgia	0.456	red	-0.0302	-0.354	-0.0339	-0.154	-0.16	0.196	0.0929	-0.203	0.168	-0.279
g__Leptolegnia	g__Leptolegnia	2.2621384386019	g__Leptolegnia	0.6007	red	-0.282	-0.538	-0.127	-0.365	-0.325	0.337	0.138	-0.3	0.506	-0.0842
g__Leptonematella	g__Leptonematella	0.94230472337164	g__Leptonematella	0.4326	red	-0.357	-0.226	-0.0923	-0.307	-0.197	0.208	0.307	-0.349	0.426	0.0245
g__Limnomonas	g__Limnomonas	0.26406540144920104	g__Limnomonas	0.4615	red	-0.205	-0.581	-0.0971	-0.427	-0.354	0.213	0.0395	-0.253	0.444	-0.203
g__Mayamaea	g__Mayamaea	2.19007650794364	g__Mayamaea	0.7051	red	-0.231	-0.68	-0.106	-0.412	-0.441	0.384	0.0254	-0.46	0.454	-0.133
g__Melanosiphon	g__Melanosiphon	2.2236700624031003	g__Melanosiphon	0.3608	red	-0.233	-0.305	-0.0468	-0.209	-0.141	0.246	0.0382	-0.273	0.394	0.085
g__Melosira	g__Melosira	0.630127111982419	g__Melosira	0.519	red	-0.181	-0.55	-0.317	-0.294	-0.361	0.159	-0.0014	-0.183	0.389	-0.119
g__Methylobacter	g__Methylobacter	6.977307151693539	g__Methylobacter	0.8647	red	-0.148	-0.9	-0.0612	-0.417	-0.45	0.54	0.161	-0.439	0.494	-0.362
g__Methylobacterium-Methylorubrum	g__Methylobacterium-Methylorubrum	0.295375713334165	g__Methylobacterium-Methylorubrum	0.4895	red	-0.231	-0.341	-0.0718	-0.46	-0.547	0.376	0.0964	-0.277	0.19	-0.365
g__Methylotenera	g__Methylotenera	2.01267232458033	g__Methylotenera	0.6113	red	-0.181	-0.592	-0.0837	-0.111	-0.108	0.274	0.0694	-0.322	0.478	0.0452
g__Methylovulum	g__Methylovulum	2.7628349712156304	g__Methylovulum	0.4847	red	0.0987	-0.49	-0.0195	-0.153	-0.254	0.341	0.135	-0.249	0.193	-0.238
g__Nanocladius	g__Nanocladius	2.28473664250813	g__Nanocladius	0.4599	red	-0.0875	-0.338	0.141	-0.253	-0.193	0.128	0.0225	-0.25	0.24	-0.268
g__Neohelice	g__Neohelice	1.05818387181311	g__Neohelice	0.4764	red	-0.241	-0.417	-0.0637	-0.275	-0.224	0.212	0.112	-0.307	0.386	-0.282
g__Nitzschia	g__Nitzschia	1.70590258662894	g__Nitzschia	0.5592	red	-0.539	-0.326	-0.251	-0.505	-0.428	0.231	0.174	-0.43	0.371	0.0599
g__norank_c__Verrucomicrobiae	g__norank_c__Verrucomicrobiae	2.32396495460193	g__norank_c__Verrucomicrobiae	0.6186	red	-0.253	-0.489	-0.178	-0.274	-0.267	0.258	0.116	-0.321	0.47	-0.0851
