source	target	weight	direction	fromAltName	toAltName
g__Acartia	g__Anapos	0.200684285269351	undirected	-	-
g__Acartia	g__Angulyagra	0.200684285269351	undirected	-	-
g__Acartia	g__Apohyale	0.200684285269351	undirected	-	-
g__Acartia	g__Aporometra	0.200684285269351	undirected	-	-
g__Acartia	g__Aurantiochytrium	0.15468224309716902	undirected	-	-
g__Acartia	g__Austrominius	0.200684285269351	undirected	-	-
g__Acartia	g__Colossendeis	0.200684285269351	undirected	-	-
g__Acartia	g__Conochilus	0.200684285269351	undirected	-	-
g__Acartia	g__Dichromadora	0.200684285269351	undirected	-	-
g__Acartia	g__Dimorphilus	0.200684285269351	undirected	-	-
g__Acartia	g__Edaphobacter	0.200684285269351	undirected	-	-
g__Acartia	g__Erythrodiplax	0.20607410602918	undirected	-	-
g__Acartia	g__Eukiefferiella	0.200684285269351	undirected	-	-
g__Acartia	g__Euthyplocia	0.200684285269351	undirected	-	-
g__Acartia	g__Helicopha	0.159817352998104	undirected	-	-
g__Acartia	g__Hydropsyche	0.141546994814088	undirected	-	-
g__Acartia	g__Metapenaeopsis	0.200684285269351	undirected	-	-
g__Acartia	g__Moina	0.200684285269351	undirected	-	-
g__Acartia	g__Moropsyche	0.200684285269351	undirected	-	-
g__Acartia	g__Munidopsis	0.200684285269351	undirected	-	-
g__Acartia	g__norank_c__Dojkabacteria	0.157867476827648	undirected	-	-
g__Acartia	g__norank_f__PBS-18	0.200684285269351	undirected	-	-
g__Acartia	g__Octopus	0.200684285269351	undirected	-	-
g__Acartia	g__Paranemoura	0.200684285269351	undirected	-	-
g__Acartia	g__Paratendipes	0.156161258550398	undirected	-	-
g__Acartia	g__Parydra	0.14499652114078102	undirected	-	-
g__Acartia	g__Placophora	0.200684285269351	undirected	-	-
g__Acartia	g__Plectostylus	0.213844976259018	undirected	-	-
g__Acartia	g__Preptetos	0.200684285269351	undirected	-	-
g__Acartia	g__Prionospio	0.200684285269351	undirected	-	-
g__Acartia	g__Prymnbriareus	0.200684285269351	undirected	-	-
g__Acartia	g__Pseudobangia	0.200684285269351	undirected	-	-
g__Acartia	g__Ramazzottius	0.200684285269351	undirected	-	-
g__Acartia	g__Stilobezzia	0.182856020795251	undirected	-	-
g__Acartia	g__Symplecta	0.10225838135342699	undirected	-	-
