id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acartia	g__Acartia	17.949210757318898	g__Acartia	0.9302	royalblue	-0.116	0.17	0.0075	0.213	0.188	-0.204	-0.0208	0.197	0.0349	0.44
g__Anapos	g__Anapos	27.646505483071603	g__Anapos	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Angulyagra	g__Angulyagra	27.646505483071603	g__Angulyagra	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Apohyale	g__Apohyale	27.646505483071603	g__Apohyale	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Aporometra	g__Aporometra	27.646505483071603	g__Aporometra	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Aurantiochytrium	g__Aurantiochytrium	4.44188075186433	g__Aurantiochytrium	0.7401	royalblue	-0.0017	0.161	-0.0128	0.0971	0.112	-0.188	-0.0343	0.128	0.0146	0.253
g__Austrominius	g__Austrominius	27.646505483071603	g__Austrominius	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Colossendeis	g__Colossendeis	27.646505483071603	g__Colossendeis	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Conochilus	g__Conochilus	27.646505483071603	g__Conochilus	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Dichromadora	g__Dichromadora	27.646505483071603	g__Dichromadora	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Dimorphilus	g__Dimorphilus	27.646505483071603	g__Dimorphilus	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Edaphobacter	g__Edaphobacter	27.646505483071603	g__Edaphobacter	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Erythrodiplax	g__Erythrodiplax	10.986880016789	g__Erythrodiplax	0.8558	royalblue	-0.057	0.173	-0.013	0.0271	0.0372	-0.138	-0.106	0.0991	0.0893	0.35
g__Eukiefferiella	g__Eukiefferiella	27.646505483071603	g__Eukiefferiella	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Euthyplocia	g__Euthyplocia	27.646505483071603	g__Euthyplocia	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Helicopha	g__Helicopha	4.704389321466571	g__Helicopha	0.748	royalblue	-0.0282	0.266	0.26	0.109	0.112	-0.169	0.0073	0.148	-0.0359	0.307
g__Hydropsyche	g__Hydropsyche	3.39202219262465	g__Hydropsyche	0.7092	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Metapenaeopsis	g__Metapenaeopsis	27.646505483071603	g__Metapenaeopsis	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Moina	g__Moina	27.646505483071603	g__Moina	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Moropsyche	g__Moropsyche	27.646505483071603	g__Moropsyche	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Munidopsis	g__Munidopsis	27.646505483071603	g__Munidopsis	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__norank_c__Dojkabacteria	g__norank_c__Dojkabacteria	3.53238973423307	g__norank_c__Dojkabacteria	0.7133	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__norank_f__PBS-18	g__norank_f__PBS-18	27.646505483071603	g__norank_f__PBS-18	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Octopus	g__Octopus	27.646505483071603	g__Octopus	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Paranemoura	g__Paranemoura	27.646505483071603	g__Paranemoura	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Paratendipes	g__Paratendipes	4.62366464662113	g__Paratendipes	0.7265	royalblue	-0.123	0.149	0.0073	0.389	0.353	-0.193	0.0326	0.249	0.0167	0.457
g__Parydra	g__Parydra	3.39202219262465	g__Parydra	0.7092	royalblue	-0.136	0.204	-0.0199	-0.0304	-0.0554	-0.205	-0.0236	0.0136	-0.0044	0.317
g__Placophora	g__Placophora	27.646505483071603	g__Placophora	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Plectostylus	g__Plectostylus	15.4824935060438	g__Plectostylus	0.9093	royalblue	-0.0457	0.179	-0.0143	0.17	0.192	-0.172	-0.0153	0.148	0.0531	0.375
g__Preptetos	g__Preptetos	27.646505483071603	g__Preptetos	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Prionospio	g__Prionospio	27.646505483071603	g__Prionospio	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Prymnbriareus	g__Prymnbriareus	27.646505483071603	g__Prymnbriareus	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Pseudobangia	g__Pseudobangia	27.646505483071603	g__Pseudobangia	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Ramazzottius	g__Ramazzottius	27.646505483071603	g__Ramazzottius	0.9982	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
g__Stilobezzia	g__Stilobezzia	15.5924956693082	g__Stilobezzia	0.9078	royalblue	-0.119	0.169	0.0075	0.242	0.215	-0.204	-0.0128	0.207	0.0325	0.447
g__Symplecta	g__Symplecta	0.106097207568753	g__Symplecta	0.3985	royalblue	-0.142	0.353	-0.0699	-0.0103	0.0267	0.0845	0.207	0.0836	-0.155	0.275
g__Thambemyia	g__Thambemyia	20.2412399147208	g__Thambemyia	0.9485	royalblue	-0.0731	0.177	-0.0055	0.0141	0.0161	-0.162	-0.097	0.107	0.0761	0.365
g__Vibrio	g__Vibrio	0.672324712908082	g__Vibrio	0.5427	royalblue	-0.0904	0.166	0.0065	-0.0071	-0.0175	-0.184	-0.074	0.109	0.0487	0.352
s__Gobio_gobio	s__Gobio_gobio	3.39202219262465	s__Gobio_gobio	0.7092	royalblue	0.0813	0.161	-0.0199	0.032	0.148	-0.238	0.0002	0.0937	-0.0278	0.2
