source	target	weight	direction	fromAltName	toAltName
g__Acarposporophycos	g__Clavispora	0.11476188943891698	undirected	-	-
g__Acarposporophycos	g__Clavularia	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Clostridium_sensu_stricto_15	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Collodes	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Diacronema	0.116471714045965	undirected	-	-
g__Acarposporophycos	g__Discogorgia	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Eunotia	0.11047147645199198	undirected	-	-
g__Acarposporophycos	g__Geotrichum	0.106331707480512	undirected	-	-
g__Acarposporophycos	g__Geranomyia	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Gonoessa	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Gracilariopsis	0.11480306454635301	undirected	-	-
g__Acarposporophycos	g__Kazachstania	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Lachnospiraceae_FCS020_group	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Neocaridina	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Nilotanypus	0.117568130767456	undirected	-	-
g__Acarposporophycos	g__Portieria	0.114515226533315	undirected	-	-
g__Acarposporophycos	g__Tausonia	0.10123724298629301	undirected	-	-
g__Acarposporophycos	s__Leiocassis_longirostris	0.10955171629400501	undirected	-	-
g__Acarposporophycos	s__Pseudobagrus_albomarginatus	0.117568130767456	undirected	-	-
g__Acarposporophycos	s__Tachysurus_ussuriensis	0.117568130767456	undirected	-	-
g__Acarposporophycos	s__Triplophysa_stenura	0.117568130767456	undirected	-	-
g__Clavispora	g__Clavularia	0.14373425961365302	undirected	-	-
g__Clavispora	g__Clostridium_sensu_stricto_15	0.14373425961365302	undirected	-	-
g__Clavispora	g__Collodes	0.14373425961365302	undirected	-	-
g__Clavispora	g__Cryptops	0.11903905318386801	undirected	-	-
g__Clavispora	g__Diacronema	0.13754257197404401	undirected	-	-
g__Clavispora	g__Discogorgia	0.14373425961365302	undirected	-	-
g__Clavispora	g__Eunotia	0.132926822282162	undirected	-	-
g__Clavispora	g__Geotrichum	0.11858331674381699	undirected	-	-
g__Clavispora	g__Geranomyia	0.14373425961365302	undirected	-	-
g__Clavispora	g__Gonoessa	0.14373425961365302	undirected	-	-
g__Clavispora	g__Gracilariopsis	0.130538386806195	undirected	-	-
g__Clavispora	g__Hymenodora	0.11229653632973598	undirected	-	-
g__Clavispora	g__Kazachstania	0.14373425961365302	undirected	-	-
g__Clavispora	g__Lachnospiraceae_FCS020_group	0.14373425961365302	undirected	-	-
g__Clavispora	g__Neocaridina	0.14373425961365302	undirected	-	-
g__Clavispora	g__Nilotanypus	0.14373425961365302	undirected	-	-
g__Clavispora	g__Obama	0.110225473688362	undirected	-	-
g__Clavispora	g__Portieria	0.126319931535965	undirected	-	-
g__Clavispora	g__Psaromenia	0.11412377645783302	undirected	-	-
g__Clavispora	g__Selenomonas	0.101564744394204	undirected	-	-
g__Clavispora	g__Tausonia	0.120914521495426	undirected	-	-
g__Clavispora	g__Urocleidoides	0.11231154279311902	undirected	-	-
g__Clavispora	s__Leiocassis_longirostris	0.126383906643901	undirected	-	-
g__Clavispora	s__Pseudobagrus_albomarginatus	0.14373425961365302	undirected	-	-
g__Clavispora	s__Tachysurus_ussuriensis	0.14373425961365302	undirected	-	-
g__Clavispora	s__Triplophysa_bleekeri	0.116488532364184	undirected	-	-
g__Clavispora	s__Triplophysa_stenura	0.14373425961365302	undirected	-	-
g__Clavularia	g__Clostridium_sensu_stricto_15	0.148545595064163	undirected	-	-
g__Clavularia	g__Collodes	0.148545595064163	undirected	-	-
g__Clavularia	g__Cryptops	0.122833870471246	undirected	-	-
g__Clavularia	g__Cytaeis	0.101250920543114	undirected	-	-
g__Clavularia	g__Diacronema	0.141372409127667	undirected	-	-
g__Clavularia	g__Discogorgia	0.148545595064163	undirected	-	-
g__Clavularia	g__Eunotia	0.137509400627249	undirected	-	-
g__Clavularia	g__Geotrichum	0.11740949167795801	undirected	-	-
g__Clavularia	g__Geranomyia	0.148545595064163	undirected	-	-
g__Clavularia	g__Gonoessa	0.148545595064163	undirected	-	-
g__Clavularia	g__Gracilariopsis	0.13348025182881199	undirected	-	-
g__Clavularia	g__Hymenodora	0.11521014904282	undirected	-	-
g__Clavularia	g__Kazachstania	0.148545595064163	undirected	-	-
g__Clavularia	g__Lachnospiraceae_FCS020_group	0.148545595064163	undirected	-	-
g__Clavularia	g__Neocaridina	0.148545595064163	undirected	-	-
g__Clavularia	g__Nilotanypus	0.148545595064163	undirected	-	-
g__Clavularia	g__Obama	0.10957193073156402	undirected	-	-
g__Clavularia	g__Portieria	0.12843645054772698	undirected	-	-
g__Clavularia	g__Psaromenia	0.11691810690594999	undirected	-	-
g__Clavularia	g__Tausonia	0.12311235435515501	undirected	-	-
g__Clavularia	g__Urocleidoides	0.115320856948732	undirected	-	-
g__Clavularia	s__Leiocassis_longirostris	0.128015235699017	undirected	-	-
g__Clavularia	s__Pseudobagrus_albomarginatus	0.148545595064163	undirected	-	-
g__Clavularia	s__Tachysurus_ussuriensis	0.148545595064163	undirected	-	-
g__Clavularia	s__Triplophysa_bleekeri	0.119040971293041	undirected	-	-
g__Clavularia	s__Triplophysa_stenura	0.148545595064163	undirected	-	-
g__Clostridium_sensu_stricto_15	g__Collodes	0.148545595064163	undirected	-	-
