id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acarposporophycos	g__Acarposporophycos	1.95801625472956	g__Acarposporophycos	0.7135	saddlebrown	-0.111	-0.259	-0.0483	-0.173	-0.128	0.152	0.0619	-0.177	0.161	-0.0284
g__Clavispora	g__Clavispora	11.942321486354698	g__Clavispora	0.9607	saddlebrown	-0.122	-0.235	-0.0429	-0.143	-0.116	0.0498	0.0832	-0.167	0.132	-0.206
g__Clavularia	g__Clavularia	15.3894783633961	g__Clavularia	0.9932	saddlebrown	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
g__Clostridium_sensu_stricto_15	g__Clostridium_sensu_stricto_15	15.3894783633961	g__Clostridium_sensu_stricto_15	0.9932	saddlebrown	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
g__Collodes	g__Collodes	15.3894783633961	g__Collodes	0.9932	saddlebrown	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
g__Cryptops	g__Cryptops	3.50078696639331	g__Cryptops	0.7794	saddlebrown	-0.117	-0.0064	-0.0548	-0.104	-0.111	0.258	0.217	-0.0199	-0.0483	-0.231
g__Cytaeis	g__Cytaeis	0.269459181116585	g__Cytaeis	0.5113	saddlebrown	-0.102	-0.0979	-0.0591	-0.12	-0.161	0.268	0.206	-0.169	0.0103	-0.262
g__Diacronema	g__Diacronema	7.64326278467857	g__Diacronema	0.8885	saddlebrown	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
g__Discogorgia	g__Discogorgia	15.3894783633961	g__Discogorgia	0.9932	saddlebrown	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
g__Eunotia	g__Eunotia	9.72285859745883	g__Eunotia	0.9186	saddlebrown	-0.0316	-0.165	-0.0417	-0.052	-0.0205	0.0252	0.0547	-0.103	0.0627	-0.178
g__Geotrichum	g__Geotrichum	0.730961545480707	g__Geotrichum	0.5792	saddlebrown	-0.189	-0.48	-0.068	-0.23	-0.28	0.152	-0.133	-0.0795	0.314	-0.161
g__Geranomyia	g__Geranomyia	15.3894783633961	g__Geranomyia	0.9932	saddlebrown	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
g__Gonoessa	g__Gonoessa	15.3894783633961	g__Gonoessa	0.9932	saddlebrown	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
g__Gracilariopsis	g__Gracilariopsis	2.78494997122134	g__Gracilariopsis	0.7565	saddlebrown	0.0815	-0.202	-0.0089	-0.0503	-0.116	0.0256	0.0302	-0.129	0.0478	-0.218
g__Hymenodora	g__Hymenodora	1.91525497525711	g__Hymenodora	0.7065	saddlebrown	-0.0705	-0.183	-0.0339	-0.107	-0.086	0.0442	0.0426	-0.125	0.0783	-0.163
