id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acetoanaerobium	g__Acetoanaerobium	9.22348464267992	g__Acetoanaerobium	0.8207	salmon	-0.193	-0.175	-0.0193	-0.0683	-0.0619	0.14	0.08	-0.212	0.198	0.0911
g__Agathobacter	g__Agathobacter	1.20530949120445	g__Agathobacter	0.5911	salmon	-0.0633	-0.175	-0.0343	-0.128	-0.0772	0.0965	0.0376	-0.132	0.16	-0.137
g__Arthrothamnus	g__Arthrothamnus	0.24341092795124802	g__Arthrothamnus	0.4501	salmon										
g__Candidatus_Jidaibacter	g__Candidatus_Jidaibacter	0.7335034669609329	g__Candidatus_Jidaibacter	0.519	salmon	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Clostridium_sensu_stricto_14	g__Clostridium_sensu_stricto_14	1.4781292965308899	g__Clostridium_sensu_stricto_14	0.6062	salmon										
g__Delamarea	g__Delamarea	4.178115519596981	g__Delamarea	0.7213	salmon	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Desulfovibrio	g__Desulfovibrio	0.934599635356107	g__Desulfovibrio	0.5635	salmon	0.0821	-0.0182	0.331	-0.0309	0.0432	-0.0718	-0.149	-0.089	-0.0185	-0.0974
g__Labrundinia	g__Labrundinia	2.72513592555412	g__Labrundinia	0.6676	salmon	-0.0744	0.189	-0.0482	-0.0899	-0.0516	-0.359	-0.233	0.129	-0.0501	-0.151
g__norank_f__Deinococcaceae	g__norank_f__Deinococcaceae	1.9783725676936001	g__norank_f__Deinococcaceae	0.6384	salmon	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__norank_f__T34	g__norank_f__T34	10.6162197090121	g__norank_f__T34	0.8417	salmon	-0.0084	0.227	0.0587	-0.0615	-0.0936	-0.0875	-0.208	0.0816	-0.171	0.156
g__Paludibacter	g__Paludibacter	0.599952879312566	g__Paludibacter	0.5174	salmon	-0.0358	-0.293	-0.0872	-0.221	-0.0654	0.196	0.182	-0.221	0.325	-0.0283
g__Parabacteroides	g__Parabacteroides	5.632818438658401	g__Parabacteroides	0.7592	salmon	0.275	0.0773	-0.0329	0.0227	0.0057	-0.201	-0.0662	0.0763	-0.0139	-0.0721
