source	target	weight	direction	fromAltName	toAltName
g__Aeolidia	g__Allolobophora	0.156476735165381	undirected	-	-
g__Aeolidia	g__Aulodrilus	0.138434177590055	undirected	-	-
g__Aeolidia	g__Balliopsis	0.156476735165381	undirected	-	-
g__Aeolidia	g__Cantharellus	0.156476735165381	undirected	-	-
g__Aeolidia	g__Carpoglossum	0.148834154575419	undirected	-	-
g__Aeolidia	g__Cognettia	0.15098242346511098	undirected	-	-
g__Aeolidia	g__Cubaia	0.156476735165381	undirected	-	-
g__Aeolidia	g__Eucyclotoma	0.147599346084186	undirected	-	-
g__Aeolidia	g__Glossiphonia	0.11102922244934699	undirected	-	-
g__Aeolidia	g__Haliotis	0.156476735165381	undirected	-	-
g__Aeolidia	g__Heteromolpadia	0.156476735165381	undirected	-	-
g__Aeolidia	g__Homarus	0.15504406501401802	undirected	-	-
g__Aeolidia	g__Keratroides	0.156476735165381	undirected	-	-
g__Aeolidia	g__Martensia	0.142982089818146	undirected	-	-
g__Aeolidia	g__Melanthalia	0.156476735165381	undirected	-	-
g__Aeolidia	g__Mimica	0.150771590800828	undirected	-	-
g__Aeolidia	g__Morchella	0.156476735165381	undirected	-	-
g__Aeolidia	g__Orthotrichia	0.117755110998552	undirected	-	-
g__Aeolidia	g__Pectinodesmus	0.13122857598783	undirected	-	-
g__Aeolidia	g__Pocillopora	0.15155703811380702	undirected	-	-
g__Aeolidia	g__Pristina	0.11216934179330199	undirected	-	-
g__Aeolidia	g__Pseudallodiscus	0.156476735165381	undirected	-	-
g__Aeolidia	g__Pseudochattonella	0.11163869409085	undirected	-	-
g__Aeolidia	g__Pyramimonas	0.130365427170845	undirected	-	-
g__Aeolidia	g__Samla	0.10348949982155999	undirected	-	-
g__Aeolidia	g__Subergorgia	0.156476735165381	undirected	-	-
g__Aeolidia	g__Theatops	0.156476735165381	undirected	-	-
g__Aeolidia	g__Thyridosmylus	0.10782381605897899	undirected	-	-
g__Aeolidia	g__Tylos	0.156476735165381	undirected	-	-
g__Aeolidia	g__Xerocrassa	0.11704834708052302	undirected	-	-
g__Aeolidia	s__Rhinogobio_cylindricus	0.10944468752849498	undirected	-	-
g__Allolobophora	g__Aulodrilus	0.138434177590055	undirected	-	-
g__Allolobophora	g__Balliopsis	0.156476735165381	undirected	-	-
g__Allolobophora	g__Cantharellus	0.156476735165381	undirected	-	-
g__Allolobophora	g__Carpoglossum	0.148834154575419	undirected	-	-
g__Allolobophora	g__Cognettia	0.15098242346511098	undirected	-	-
g__Allolobophora	g__Cubaia	0.156476735165381	undirected	-	-
g__Allolobophora	g__Eucyclotoma	0.147599346084186	undirected	-	-
g__Allolobophora	g__Glossiphonia	0.11102922244934699	undirected	-	-
g__Allolobophora	g__Haliotis	0.156476735165381	undirected	-	-
g__Allolobophora	g__Heteromolpadia	0.156476735165381	undirected	-	-
g__Allolobophora	g__Homarus	0.15504406501401802	undirected	-	-
g__Allolobophora	g__Keratroides	0.156476735165381	undirected	-	-
g__Allolobophora	g__Martensia	0.142982089818146	undirected	-	-
g__Allolobophora	g__Melanthalia	0.156476735165381	undirected	-	-
g__Allolobophora	g__Mimica	0.150771590800828	undirected	-	-
g__Allolobophora	g__Morchella	0.156476735165381	undirected	-	-
g__Allolobophora	g__Orthotrichia	0.117755110998552	undirected	-	-
g__Allolobophora	g__Pectinodesmus	0.13122857598783	undirected	-	-
