id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Aeolidia	g__Aeolidia	19.347996048060104	g__Aeolidia	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Allolobophora	g__Allolobophora	19.347996048060104	g__Allolobophora	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Aulodrilus	g__Aulodrilus	9.169682600636369	g__Aulodrilus	0.88	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Balliopsis	g__Balliopsis	19.347996048060104	g__Balliopsis	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Cantharellus	g__Cantharellus	19.347996048060104	g__Cantharellus	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Carpoglossum	g__Carpoglossum	14.292637108027	g__Carpoglossum	0.948	skyblue	-0.168	0.132	-0.0383	-0.0362	-0.016	-0.0056	0.0286	-0.0949	0.0517	0.339
g__Cognettia	g__Cognettia	15.2565542687329	g__Cognettia	0.9589	skyblue	-0.169	0.187	-0.0249	-0.0505	-0.0385	-0.028	-0.0204	-0.0755	0.0108	0.378
g__Cubaia	g__Cubaia	19.347996048060104	g__Cubaia	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Eucyclotoma	g__Eucyclotoma	13.296550512620199	g__Eucyclotoma	0.9376	skyblue	-0.17	0.202	-0.023	-0.0537	-0.0438	-0.0343	-0.0303	-0.0724	0.0021	0.392
g__Glossiphonia	g__Glossiphonia	1.16407084386021	g__Glossiphonia	0.6344	skyblue	-0.169	0.0098	-0.0446	-0.0791	-0.0506	0.0238	0.0439	-0.135	0.0818	0.179
g__Haliotis	g__Haliotis	19.347996048060104	g__Haliotis	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Heteromolpadia	g__Heteromolpadia	19.347996048060104	g__Heteromolpadia	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Homarus	g__Homarus	17.455460616269	g__Homarus	0.981	skyblue	-0.174	0.119	-0.0381	-0.0317	-0.0161	0.0094	0.0231	-0.101	0.0464	0.339
g__Keratroides	g__Keratroides	19.347996048060104	g__Keratroides	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Martensia	g__Martensia	11.2499093071189	g__Martensia	0.9106	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Melanthalia	g__Melanthalia	19.347996048060104	g__Melanthalia	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Mimica	g__Mimica	14.8285557839593	g__Mimica	0.9535	skyblue	-0.175	0.148	-0.042	-0.0383	-0.0193	-0.0125	0.0293	-0.1	0.0514	0.37
g__Morchella	g__Morchella	19.347996048060104	g__Morchella	0.9947	skyblue	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Orthotrichia	g__Orthotrichia	2.3829306469073197	g__Orthotrichia	0.7064	skyblue	0.21	-0.14	0.0768	0.158	-0.0892	0.139	0.0323	-0.024	-0.0177	0.0976
