source	target	weight	direction	fromAltName	toAltName
g__Acanthocyclops	g__Agromyces	0.137221348779342	undirected	-	-
g__Acanthocyclops	g__Asticcacaulis	0.145555466860673	undirected	-	-
g__Acanthocyclops	g__Atrichopogon	0.126557949468058	undirected	-	-
g__Acanthocyclops	g__Azospirillum	0.15840069795910097	undirected	-	-
g__Acanthocyclops	g__Blastomonas	0.135365456883504	undirected	-	-
g__Acanthocyclops	g__Boninpagurus	0.156932558333811	undirected	-	-
g__Acanthocyclops	g__Bonnemaisonia	0.13874398599543802	undirected	-	-
g__Acanthocyclops	g__Bosea	0.13122957920047698	undirected	-	-
g__Acanthocyclops	g__Candidatus_Endoecteinascidia	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Chilodonella	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Chloronema	0.105853650052961	undirected	-	-
g__Acanthocyclops	g__Cladobotryum	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Clathromorphum	0.122676010258693	undirected	-	-
g__Acanthocyclops	g__Coccophora	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Columbella	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Conochironomus	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Cortinarius	0.127049224353539	undirected	-	-
g__Acanthocyclops	g__Cupriavidus	0.130158221558003	undirected	-	-
g__Acanthocyclops	g__Cylindrus	0.139504568901686	undirected	-	-
g__Acanthocyclops	g__Desmarestia	0.14392724660141198	undirected	-	-
g__Acanthocyclops	g__Dicranomyia	0.10641365550863302	undirected	-	-
g__Acanthocyclops	g__Domibacillus	0.10032671285048102	undirected	-	-
g__Acanthocyclops	g__Elliptochloris	0.13380959235524	undirected	-	-
g__Acanthocyclops	g__Elstera	0.17046005813476503	undirected	-	-
g__Acanthocyclops	g__Enhydrobacter	0.10104842944200199	undirected	-	-
g__Acanthocyclops	g__Ferrovibrio	0.14176243110015	undirected	-	-
g__Acanthocyclops	g__Fontimonas	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Geitlerinema_PCC-7105	0.17990380273495998	undirected	-	-
g__Acanthocyclops	g__Gonomyia	0.176996506342792	undirected	-	-
g__Acanthocyclops	g__Gyraulus	0.11186970395984801	undirected	-	-
g__Acanthocyclops	g__Haraldiophyllum	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Haslea	0.12558387453095698	undirected	-	-
g__Acanthocyclops	g__Hydrocarboniphaga	0.134022151164932	undirected	-	-
g__Acanthocyclops	g__Iothia	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Ketobacter	0.14927987134068899	undirected	-	-
g__Acanthocyclops	g__Lepadella	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Limonia	0.155863277563947	undirected	-	-
g__Acanthocyclops	g__Lithophyllum	0.128835431201217	undirected	-	-
g__Acanthocyclops	g__Lysobacter	0.10200417368875099	undirected	-	-
g__Acanthocyclops	g__Macrogyrodactylus	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Manania	0.14230027020590602	undirected	-	-
g__Acanthocyclops	g__Micrococcus	0.130547734111357	undirected	-	-
g__Acanthocyclops	g__Micromonospora	0.128536607005274	undirected	-	-
g__Acanthocyclops	g__Motyxia	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Niveispirillum	0.161548752436956	undirected	-	-
g__Acanthocyclops	g__norank_f__Babeliaceae	0.166482934919686	undirected	-	-
g__Acanthocyclops	g__norank_f__Nostocaceae	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__norank_f__Phycisphaeraceae	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__norank_f__Solimonadaceae	0.14413929532889	undirected	-	-
g__Acanthocyclops	g__norank_f__Solirubrobacteraceae	0.150774813156038	undirected	-	-
g__Acanthocyclops	g__norank_o__Xanthomonadales	0.112680880061051	undirected	-	-
g__Acanthocyclops	g__norank_p__WPS-2	0.15900488820375902	undirected	-	-
g__Acanthocyclops	g__Oligometra	0.133602113332585	undirected	-	-
g__Acanthocyclops	g__Ourococcus	0.11520348409783501	undirected	-	-
g__Acanthocyclops	g__Panacagrimonas	0.15553264925975	undirected	-	-
g__Acanthocyclops	g__Parametriocnemus	0.15726390429999898	undirected	-	-
g__Acanthocyclops	g__Parandalia	0.17916605450026898	undirected	-	-
g__Acanthocyclops	g__Peredibacter	0.11408353872049401	undirected	-	-
g__Acanthocyclops	g__Phaeostroma	0.152643013158361	undirected	-	-
g__Acanthocyclops	g__Phreatochiltonia	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Phyllodoce	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Pontella	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Pseudacidovorax	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Pseudoxanthobacter	0.154570397769178	undirected	-	-
g__Acanthocyclops	g__Pterotrachea	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Sahlingia	0.171840665563077	undirected	-	-
g__Acanthocyclops	g__Scaphander	0.10856524089362199	undirected	-	-
g__Acanthocyclops	g__Silanimonas	0.134758812659627	undirected	-	-
g__Acanthocyclops	g__Sinogammarus	0.193441995237192	undirected	-	-
g__Acanthocyclops	g__Sirodotia	0.185185279742855	undirected	-	-
g__Acanthocyclops	g__Theodoxus	0.116493760430809	undirected	-	-
g__Acanthocyclops	g__Tistrella	0.19356573080789802	undirected	-	-
g__Acanthocyclops	g__Vermamoeba	0.129486065747502	undirected	-	-
g__Acanthocyclops	g__Vertebrata	0.11134416724394199	undirected	-	-
g__Acanthocyclops	g__Xanthobacter	0.16689499927357399	undirected	-	-
g__Acanthocyclops	g__Zavarzinia	0.15737944294896	undirected	-	-
g__Acanthocyclops	g__Zyzzyzus	0.19356573080789802	undirected	-	-
g__Agromyces	g__Asticcacaulis	0.129053611641193	undirected	-	-
g__Agromyces	g__Atrichopogon	0.118489680314967	undirected	-	-
g__Agromyces	g__Azospirillum	0.13978028236077802	undirected	-	-
g__Agromyces	g__Blastomonas	0.128361453532968	undirected	-	-
g__Agromyces	g__Boninpagurus	0.11838522235349601	undirected	-	-
g__Agromyces	g__Bonnemaisonia	0.126447241889095	undirected	-	-
g__Agromyces	g__Bosea	0.131450706625408	undirected	-	-
g__Agromyces	g__Candidatus_Endoecteinascidia	0.137221348779342	undirected	-	-
g__Agromyces	g__Chilodonella	0.137221348779342	undirected	-	-
g__Agromyces	g__Cladobotryum	0.137221348779342	undirected	-	-
g__Agromyces	g__Clathromorphum	0.10308824208612499	undirected	-	-
g__Agromyces	g__Coccophora	0.137221348779342	undirected	-	-
g__Agromyces	g__Columbella	0.137221348779342	undirected	-	-
g__Agromyces	g__Conochironomus	0.137221348779342	undirected	-	-
g__Agromyces	g__Cortinarius	0.11470482940202902	undirected	-	-
g__Agromyces	g__Cupriavidus	0.12074542265563902	undirected	-	-
g__Agromyces	g__Cylindrus	0.11060225509727199	undirected	-	-
g__Agromyces	g__Desmarestia	0.123974895237753	undirected	-	-
g__Agromyces	g__Dicranomyia	0.10060547729768099	undirected	-	-
g__Agromyces	g__Elliptochloris	0.117211123884605	undirected	-	-
g__Agromyces	g__Elstera	0.13965067846023402	undirected	-	-
g__Agromyces	g__Enhydrobacter	0.10045023783686399	undirected	-	-
g__Agromyces	g__Ferrovibrio	0.129417929910425	undirected	-	-
g__Agromyces	g__Fontimonas	0.137221348779342	undirected	-	-
g__Agromyces	g__Geitlerinema_PCC-7105	0.131076516298245	undirected	-	-
g__Agromyces	g__Gonomyia	0.14346893131148197	undirected	-	-
g__Agromyces	g__Gyraulus	0.105866487524205	undirected	-	-
g__Agromyces	g__Haraldiophyllum	0.137221348779342	undirected	-	-
g__Agromyces	g__Haslea	0.102185703476824	undirected	-	-
g__Agromyces	g__Hydrocarboniphaga	0.110745365448001	undirected	-	-
g__Agromyces	g__Iothia	0.137221348779342	undirected	-	-
g__Agromyces	g__Ketobacter	0.138229002974274	undirected	-	-
g__Agromyces	g__Lepadella	0.137221348779342	undirected	-	-
g__Agromyces	g__Limonia	0.14067842813447398	undirected	-	-
g__Agromyces	g__Lithophyllum	0.10672484458235801	undirected	-	-
g__Agromyces	g__Lysobacter	0.10695905957472099	undirected	-	-
g__Agromyces	g__Macrogyrodactylus	0.137221348779342	undirected	-	-
g__Agromyces	g__Manania	0.111838136530625	undirected	-	-
g__Agromyces	g__Micrococcus	0.123829069798794	undirected	-	-
g__Agromyces	g__Micromonospora	0.10600868040272302	undirected	-	-
g__Agromyces	g__Motyxia	0.137221348779342	undirected	-	-
g__Agromyces	g__Niveispirillum	0.122432365722899	undirected	-	-
g__Agromyces	g__norank_f__Babeliaceae	0.126420332029872	undirected	-	-
g__Agromyces	g__norank_f__Nostocaceae	0.137221348779342	undirected	-	-
g__Agromyces	g__norank_f__Phycisphaeraceae	0.137221348779342	undirected	-	-
g__Agromyces	g__norank_f__Solimonadaceae	0.130642279827179	undirected	-	-
g__Agromyces	g__norank_f__Solirubrobacteraceae	0.135873064824466	undirected	-	-
g__Agromyces	g__norank_o__Xanthomonadales	0.11835218388046101	undirected	-	-
g__Agromyces	g__norank_p__WPS-2	0.13314687704525802	undirected	-	-
