id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Acanthocyclops	g__Acanthocyclops	27.900461805337702	g__Acanthocyclops	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Agromyces	g__Agromyces	2.9012163694437496	g__Agromyces	0.6756	tan	0.14	0.256	-0.0619	0.0631	0.0566	-0.0122	-0.0105	-0.0654	-0.0949	-0.164
g__Asticcacaulis	g__Asticcacaulis	7.3104264691445495	g__Asticcacaulis	0.7823	tan	-0.122	0.26	-0.0589	-0.0545	-0.0319	-0.042	0.164	-0.114	-0.102	-0.208
g__Atrichopogon	g__Atrichopogon	3.38065492179498	g__Atrichopogon	0.6495	tan	-0.119	0.255	-0.059	-0.0541	-0.0376	-0.0489	0.174	-0.112	-0.116	-0.205
g__Azospirillum	g__Azospirillum	3.12101355615025	g__Azospirillum	0.6946	tan	-0.131	0.174	0.11	-0.0619	-0.0539	-0.0372	-0.0515	-0.0487	-0.0178	-0.223
g__Blastomonas	g__Blastomonas	4.51023710604624	g__Blastomonas	0.6976	tan	-0.125	0.298	-0.0631	-0.0405	-0.0654	0.0885	0.19	-0.0937	-0.108	-0.172
g__Boninpagurus	g__Boninpagurus	7.56575129920701	g__Boninpagurus	0.7725	tan	-0.0916	0.0704	-0.053	-0.0733	0.033	-0.0941	-0.0013	-0.115	0.066	-0.145
g__Bonnemaisonia	g__Bonnemaisonia	4.27944624765978	g__Bonnemaisonia	0.7273	tan	-0.205	0.196	-0.0876	-0.133	-0.122	0.131	0.196	-0.194	0.0224	-0.2
g__Bosea	g__Bosea	0.8877110698040558	g__Bosea	0.5368	tan	0.087	0.223	-0.101	-0.0047	0.0224	0.155	0.0463	-0.0021	-0.0386	-0.224
g__Candidatus_Endoecteinascidia	g__Candidatus_Endoecteinascidia	27.900461805337702	g__Candidatus_Endoecteinascidia	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Chilodonella	g__Chilodonella	27.900461805337702	g__Chilodonella	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Chloronema	g__Chloronema	0.253830256692036	g__Chloronema	0.4218	tan	-0.0041	0.296	-0.0174	-0.0043	0.144	-0.232	-0.11	0.0026	-0.0436	0.0242
g__Cladobotryum	g__Cladobotryum	27.900461805337702	g__Cladobotryum	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Clathromorphum	g__Clathromorphum	1.19457404352828	g__Clathromorphum	0.5586	tan	-0.109	0.292	-0.0056	-0.0836	-0.0462	-0.158	-0.112	-0.033	-0.0867	0.188
g__Coccophora	g__Coccophora	27.900461805337702	g__Coccophora	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Columbella	g__Columbella	27.900461805337702	g__Columbella	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Conochironomus	g__Conochironomus	27.900461805337702	g__Conochironomus	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Cortinarius	g__Cortinarius	2.5983008757181603	g__Cortinarius	0.6578	tan	-0.276	0.304	-0.0859	-0.119	-0.0897	-0.0982	0.0796	-0.0669	-0.0433	-0.0528
g__Cupriavidus	g__Cupriavidus	2.36613259541489	g__Cupriavidus	0.635	tan	0.241	0.209	-0.0696	0.0217	0.0832	-0.141	-0.0282	-0.0541	-0.0572	-0.122
g__Cylindrus	g__Cylindrus	3.53943817461365	g__Cylindrus	0.6781	tan	-0.0982	-0.0074	-0.0469	-0.133	-0.0372	-0.031	0.0704	-0.156	0.11	-0.164
g__Desmarestia	g__Desmarestia	1.2452137080530201	g__Desmarestia	0.5784	tan	-0.133	0.053	-0.068	-0.13	-0.0432	-0.032	0.0396	-0.194	0.0728	-0.193
g__Dicranomyia	g__Dicranomyia	0.172124497166611	g__Dicranomyia	0.4135	tan	-0.0429	0.102	-0.106	-0.129	-0.122	0.0216	0.0967	-0.0462	-0.152	-0.208
g__Domibacillus	g__Domibacillus	0.24603196680188	g__Domibacillus	0.3392	tan	-0.258	0.404	0.0646	-0.136	-0.139	-0.257	-0.0719	0.0327	-0.137	-0.048
g__Elliptochloris	g__Elliptochloris	2.51650792610709	g__Elliptochloris	0.6692	tan	-0.111	0.0802	-0.0654	-0.111	-0.084	0.0257	0.117	-0.184	0.0328	-0.238
g__Elstera	g__Elstera	14.050570540806902	g__Elstera	0.9018	tan	-0.105	0.25	0.111	-0.0463	-0.015	-0.0503	0.061	-0.122	-0.0505	-0.209
g__Enhydrobacter	g__Enhydrobacter	0.352417981254423	g__Enhydrobacter	0.3679	tan	-0.241	0.508	-0.0725	-0.139	-0.103	-0.16	0.0033	0.004	-0.259	0.118
g__Ferrovibrio	g__Ferrovibrio	6.78828638727121	g__Ferrovibrio	0.7493	tan	-0.0509	0.25	-0.0581	-0.0314	-0.0395	0.0417	0.0936	-0.0443	-0.182	-0.203
g__Fontimonas	g__Fontimonas	27.900461805337702	g__Fontimonas	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Geitlerinema_PCC-7105	g__Geitlerinema_PCC-7105	18.039476366638397	g__Geitlerinema_PCC-7105	0.8969	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Gonomyia	g__Gonomyia	18.810211131404	g__Gonomyia	0.9412	tan	-0.103	0.223	-0.0463	-0.0412	-0.0162	-0.0004	0.113	-0.0939	-0.0478	-0.173
g__Gyraulus	g__Gyraulus	0.448568272382423	g__Gyraulus	0.4838	tan	-0.049	0.278	-0.135	-0.0429	-0.0402	0.0323	0.232	-0.135	-0.0604	-0.0468
g__Haraldiophyllum	g__Haraldiophyllum	27.900461805337702	g__Haraldiophyllum	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Haslea	g__Haslea	1.4237985395445703	g__Haslea	0.5949	tan	-0.0823	0.0286	-0.0636	-0.075	-0.0739	-0.115	-0.136	-0.0403	0.205	-0.0757
g__Hydrocarboniphaga	g__Hydrocarboniphaga	2.51717283523709	g__Hydrocarboniphaga	0.6505	tan	-0.12	0.202	-0.0447	-0.0644	0.0147	0.0357	0.133	-0.0069	-0.0584	-0.161
g__Iothia	g__Iothia	27.900461805337702	g__Iothia	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Ketobacter	g__Ketobacter	6.608249053302631	g__Ketobacter	0.7229	tan	-0.0976	0.245	-0.0467	-0.024	-0.0497	0.0845	0.162	-0.0878	-0.0786	-0.176
g__Lepadella	g__Lepadella	27.900461805337702	g__Lepadella	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Limonia	g__Limonia	12.763393581399601	g__Limonia	0.8459	tan	-0.101	0.24	-0.0472	-0.0305	-0.0384	0.0553	0.147	-0.0912	-0.0687	-0.178
g__Lithophyllum	g__Lithophyllum	0.9196856738410121	g__Lithophyllum	0.5707	tan	-0.182	-0.13	-0.0876	-0.227	-0.166	0.0048	-0.0015	-0.165	0.175	-0.318
g__Lysobacter	g__Lysobacter	0.23300015299464397	g__Lysobacter	0.4074	tan	0.184	0.625	0.0409	0.196	0.148	-0.237	-0.125	0.277	-0.416	-0.138
g__Macrogyrodactylus	g__Macrogyrodactylus	27.900461805337702	g__Macrogyrodactylus	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Manania	g__Manania	3.6981921978767596	g__Manania	0.6938	tan	-0.111	-0.0465	-0.0448	-0.138	-0.0368	0.0212	0.016	-0.152	0.191	-0.206
g__Micrococcus	g__Micrococcus	3.9586634885818897	g__Micrococcus	0.6817	tan	-0.1	0.242	-0.0472	-0.029	-0.0411	0.0622	0.151	-0.0906	-0.0711	-0.178
g__Micromonospora	g__Micromonospora	1.54478170569717	g__Micromonospora	0.5955	tan	-0.141	-0.111	-0.0479	-0.0878	-0.0593	-0.0623	-0.279	0.147	0.104	-0.109
g__Motyxia	g__Motyxia	27.900461805337702	g__Motyxia	0.9654	tan	-0.0852	0.134	-0.0339	-0.0579	0.0405	-0.134	0.0068	-0.0797	0.0127	-0.124
g__Niveispirillum	g__Niveispirillum	8.582244522507219	g__Niveispirillum	0.7965	tan	-0.105	0.198	-0.0266	-0.059	-0.0169	-0.207	-0.0269	-0.0803	0.044	-0.156
