id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Achlya	g__Achlya	0.9162501325876491	g__Achlya	0.4958	turquoise	-0.238	-0.291	0.106	-0.318	-0.393	0.081	0.0156	-0.316	0.276	-0.269
g__Actibacter	g__Actibacter	0.712332349746467	g__Actibacter	0.4407	turquoise	-0.0951	0.208	-0.0734	0.123	0.167	-0.191	-0.0334	0.0953	-0.034	0.188
g__ADurb.Bin063-1	g__ADurb.Bin063-1	14.095942937337801	g__ADurb.Bin063-1	0.836	turquoise	0.241	0.116	-0.0526	0.0677	0.319	-0.134	-0.0673	0.0659	-0.0468	0.1
g__Aeromonas	g__Aeromonas	0.7842514336334909	g__Aeromonas	0.4646	turquoise	-0.268	0.0121	-0.129	-0.132	-0.0467	-0.143	-0.105	-0.108	0.274	0.319
g__Aglaophenia	g__Aglaophenia	1.0937211804207498	g__Aglaophenia	0.523	turquoise	-0.247	-0.333	0.0586	-0.216	-0.196	0.181	-0.105	-0.123	0.0398	-0.163
g__Aglaothamnion	g__Aglaothamnion	16.7624848622313	g__Aglaothamnion	0.8578	turquoise	0.204	0.0589	-0.0343	0.0518	0.225	-0.149	0.0743	0.0219	-0.0876	-0.0721
g__Ahniella	g__Ahniella	5.21398501951636	g__Ahniella	0.7117	turquoise	0.0652	0.241	0.051	0.036	0.0438	-0.154	0.0332	0.0892	-0.0545	-0.0483
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	1.39148490061111	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.5453	turquoise	-0.0874	0.277	-0.101	-0.156	-0.228	0.0954	0.0039	-0.0945	-0.0431	-0.128
g__Altererythrobacter	g__Altererythrobacter	5.27740282033765	g__Altererythrobacter	0.7056	turquoise	-0.121	-0.269	-0.0586	-0.128	0.0106	0.147	-0.0376	-0.0509	0.158	0.0926
g__Amphicaryon	g__Amphicaryon	0.6558489449367328	g__Amphicaryon	0.3621	turquoise	0.367	0.147	0.199	0.378	0.453	-0.305	-0.166	0.273	-0.172	0.224
g__Amphiroa	g__Amphiroa	1.14115579374704	g__Amphiroa	0.4298	turquoise	-0.193	0.272	-0.0413	0.206	0.156	-0.147	-0.0488	0.157	-0.181	0.46
g__Antarctophiline	g__Antarctophiline	16.4825192160706	g__Antarctophiline	0.8615	turquoise	-0.0457	0.121	-0.0557	0.112	0.143	-0.0299	0.0438	-0.0405	-0.0103	0.236
g__Anuraeopsis	g__Anuraeopsis	0.497295938440803	g__Anuraeopsis	0.4098	turquoise	-0.083	0.358	-0.0837	0.0486	0.0185	-0.292	-0.14	0.326	-0.464	0.111
g__Apiospora	g__Apiospora	0.5119500487631571	g__Apiospora	0.4283	turquoise	-0.121	-0.352	-0.0667	-0.271	-0.249	0.0179	0.0116	-0.124	0.278	-0.198
g__Apodachlya	g__Apodachlya	9.34622906436291	g__Apodachlya	0.7654	turquoise	-0.236	-0.144	-0.105	-0.208	-0.174	-0.0718	-0.0757	-0.0753	0.163	-0.105
g__Aquicella	g__Aquicella	1.1209030433520801	g__Aquicella	0.4785	turquoise	0.433	0.324	0.211	0.0199	0.023	-0.199	-0.152	0.0536	-0.181	-0.0742
g__Arenimonas	g__Arenimonas	0.27062759305571205	g__Arenimonas	0.2943	turquoise	-0.181	-0.272	-0.303	-0.147	-0.11	0.0577	0.107	-0.27	0.541	0.101
g__Areschougia	g__Areschougia	0.34746206414803604	g__Areschougia	0.371	turquoise	0.229	0.284	-0.0461	0.101	-0.055	-0.0821	-0.0487	0.0408	-0.164	-0.182
g__Armatimonas	g__Armatimonas	0.5825986680728511	g__Armatimonas	0.3858	turquoise	-0.174	-0.608	-0.0441	-0.251	-0.317	0.321	0.17	-0.278	0.419	-0.177
g__Arthrocladium	g__Arthrocladium	0.498809288899029	g__Arthrocladium	0.4215	turquoise	-0.0523	-0.316	0.165	-0.11	-0.0827	0.0358	-0.0135	-0.123	0.29	0.071
g__Aspergillus	g__Aspergillus	0.535895760441932	g__Aspergillus	0.4189	turquoise	-0.318	-0.385	-0.135	-0.335	-0.167	0.323	0.0461	-0.324	0.312	0.0821
g__Asperococcus	g__Asperococcus	13.709089356371901	g__Asperococcus	0.8384	turquoise	-0.11	-0.25	0.0076	0.364	0.256	0.0491	0.203	0.0206	0.136	0.0686
g__Aurantimicrobium	g__Aurantimicrobium	0.8480190282539879	g__Aurantimicrobium	0.4287	turquoise	-0.308	-0.438	-0.109	-0.427	-0.384	0.0689	-0.125	-0.203	0.433	-0.129
g__Aurantisolimonas	g__Aurantisolimonas	4.999758231125179	g__Aurantisolimonas	0.6866	turquoise	-0.103	-0.109	-0.0234	-0.127	-0.0913	0.0689	-0.018	-0.0737	0.253	0.0042
g__Aurelia	g__Aurelia	0.534347431443159	g__Aurelia	0.3545	turquoise	-0.439	-0.284	-0.117	-0.341	-0.215	0.108	0.0518	-0.262	0.453	0.139
g__Azospira	g__Azospira	1.0526973884281499	g__Azospira	0.4393	turquoise	0.205	0.235	0.432	0.0043	0.0022	-0.179	-0.215	-0.0002	-0.143	-0.0858
g__Bachelotia	g__Bachelotia	0.8449895676663421	g__Bachelotia	0.452	turquoise	-0.207	0.191	-0.0903	-0.195	-0.22	-0.0095	-0.0683	0.0654	-0.0498	-0.0653
g__Balella	g__Balella	15.4462321904566	g__Balella	0.8513	turquoise										
g__Bathyomphalus	g__Bathyomphalus	5.5539353568277	g__Bathyomphalus	0.6854	turquoise	-0.0632	0.108	-0.0343	-0.0457	-0.0127	-0.133	0.0927	-0.0641	-0.0943	-0.105
g__Blackfordia	g__Blackfordia	1.04974358181074	g__Blackfordia	0.5097	turquoise	-0.235	0.188	-0.0681	-0.137	-0.112	-0.0877	-0.0583	0.18	-0.0754	-0.135
