source	target	weight	direction	fromAltName	toAltName
g__Adineta	g__Cyclophorus	0.122613792490928	undirected	-	-
g__Adineta	g__Echinodictyum	0.12417059180502901	undirected	-	-
g__Adineta	g__Hapsidospora	0.13664488431927901	undirected	-	-
g__Adineta	g__Luteimonas	0.124689666751624	undirected	-	-
g__Adineta	g__Michthyops	0.14496537977383803	undirected	-	-
g__Adineta	g__Mitrella	0.14310765526387698	undirected	-	-
g__Adineta	g__norank_c__Lineage_IIa	0.12480257139119001	undirected	-	-
g__Adineta	g__Scenedesmus	0.11574513968660198	undirected	-	-
g__Adineta	g__Smittia	0.12167397360271999	undirected	-	-
g__Adineta	g__Scytonema_PCC-7110	0.153775422740592	undirected	-	-
g__Adineta	g__Spongonema	0.153775422740592	undirected	-	-
g__Adineta	g__norank_f__SR-FBR-L83	0.153775422740592	undirected	-	-
g__Adineta	g__Anaerostignum	0.153775422740592	undirected	-	-
g__Adineta	g__Peptoclostridium	0.153775422740592	undirected	-	-
g__Adineta	g__Byssovorax	0.153775422740592	undirected	-	-
g__Adineta	g__norank_o__Candidatus_Zambryskibacteria	0.126345312158601	undirected	-	-
g__Adineta	g__norank_f__Saccharimonadaceae	0.153775422740592	undirected	-	-
g__Adineta	g__Providencia	0.153775422740592	undirected	-	-
g__Adineta	g__norank_o__Omnitrophales	0.153775422740592	undirected	-	-
g__Adineta	g__norank_f__Chthoniobacteraceae	0.153775422740592	undirected	-	-
g__Adineta	s__Takifugu_fasciatus	0.153775422740592	undirected	-	-
g__Adineta	g__Sporothrix	0.133698264416437	undirected	-	-
g__Adineta	g__Suillus	0.153775422740592	undirected	-	-
g__Adineta	g__Placobdella	0.153775422740592	undirected	-	-
g__Adineta	g__Acantholobulus	0.13213388714874003	undirected	-	-
g__Adineta	g__Atopochetus	0.153775422740592	undirected	-	-
g__Adineta	g__Nesometra	0.153775422740592	undirected	-	-
g__Adineta	g__Bradybaena	0.153775422740592	undirected	-	-
g__Adineta	g__Halopteris	0.153775422740592	undirected	-	-
g__Adineta	g__Curvella	0.11815476585318198	undirected	-	-
g__Adineta	g__Stylocheilus	0.153775422740592	undirected	-	-
g__Adineta	g__Anabathron	0.153775422740592	undirected	-	-
g__Adineta	g__Pustula	0.14639914892354802	undirected	-	-
g__Cyclophorus	g__Hapsidospora	0.104625798781776	undirected	-	-
g__Cyclophorus	g__Michthyops	0.109328364734104	undirected	-	-
g__Cyclophorus	g__Mitrella	0.128748920171431	undirected	-	-
g__Cyclophorus	g__norank_c__Lineage_IIa	0.10407932444659102	undirected	-	-
g__Cyclophorus	g__Scytonema_PCC-7110	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Spongonema	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__norank_f__SR-FBR-L83	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Anaerostignum	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Peptoclostridium	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Byssovorax	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__norank_f__Saccharimonadaceae	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Providencia	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__norank_o__Omnitrophales	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__norank_f__Chthoniobacteraceae	0.11985924997992699	undirected	-	-
g__Cyclophorus	s__Takifugu_fasciatus	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Sporothrix	0.119837856360665	undirected	-	-
g__Cyclophorus	g__Suillus	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Placobdella	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Acantholobulus	0.10404171924497099	undirected	-	-
g__Cyclophorus	g__Atopochetus	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Nesometra	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Bradybaena	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Halopteris	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Stylocheilus	0.11985924997992699	undirected	-	-
g__Cyclophorus	g__Anabathron	0.11985924997992699	undirected	-	-
