source	target	weight	direction	fromAltName	toAltName
g__966-1	g__AAP99	0.111822075775143	undirected	-	-
g__966-1	g__Acetivibrio	0.126923765531036	undirected	-	-
g__966-1	g__Acetobacterium	0.13460527694185198	undirected	-	-
g__966-1	g__Acetobacteroides	0.13460527694185198	undirected	-	-
g__966-1	g__Acrotylus	0.10075484218785999	undirected	-	-
g__966-1	g__ADurb.Bin118	0.13460527694185198	undirected	-	-
g__966-1	g__Aerosakkonema_Lao26	0.10930388304952499	undirected	-	-
g__966-1	g__AKYG587	0.118303130419659	undirected	-	-
g__966-1	g__Alkanindiges	0.10021767623700502	undirected	-	-
g__966-1	g__Alterococcus	0.13460527694185198	undirected	-	-
g__966-1	g__Anaerobacterium	0.13460527694185198	undirected	-	-
g__966-1	g__Anaerocolumna	0.11007944810023	undirected	-	-
g__966-1	g__Anaerofustis	0.13460527694185198	undirected	-	-
g__966-1	g__Anaerolinea	0.116768316951405	undirected	-	-
g__966-1	g__Argia	0.128069093073644	undirected	-	-
g__966-1	g__BBMC-4	0.155306360065841	undirected	-	-
g__966-1	g__Bilophila	0.13460527694185198	undirected	-	-
g__966-1	g__Calothrix_PCC-6303	0.10792858631234199	undirected	-	-
g__966-1	g__Candidatus_Accumulibacter	0.136712387373078	undirected	-	-
g__966-1	g__Candidatus_Brocadia	0.110448000199263	undirected	-	-
g__966-1	g__Candidatus_Chloroploca	0.118644014400004	undirected	-	-
g__966-1	g__Candidatus_Competibacter	0.117421708935417	undirected	-	-
g__966-1	g__Candidatus_Entotheonella	0.13460527694185198	undirected	-	-
g__966-1	g__Candidatus_Obscuribacter	0.10015095390365401	undirected	-	-
g__966-1	g__Candidatus_Ovatusbacter	0.133552672241583	undirected	-	-
g__966-1	g__Candidatus_Rhabdochlamydia	0.13460527694185198	undirected	-	-
g__966-1	g__Cavicella	0.105218952337591	undirected	-	-
g__966-1	g__CENA359	0.13460527694185198	undirected	-	-
g__966-1	g__Chamaesiphon_PCC-6605	0.13460527694185198	undirected	-	-
g__966-1	g__Chattonella	0.10576093267594197	undirected	-	-
g__966-1	g__Chlorobaculum	0.130230498955758	undirected	-	-
g__966-1	g__Chlorobium	0.121597372643402	undirected	-	-
g__966-1	g__Chthonobacter	0.13460527694185198	undirected	-	-
g__966-1	g__Clostridium_sensu_stricto_11	0.12216782144552801	undirected	-	-
g__966-1	g__Clostridium_sensu_stricto_3	0.13460527694185198	undirected	-	-
g__966-1	g__Clydonella	0.13463833678805803	undirected	-	-
g__966-1	g__Cordylophora	0.11385506245754	undirected	-	-
g__966-1	g__Cystoclonium	0.12552245551418598	undirected	-	-
g__966-1	g__Dasybranchus	0.120552598964542	undirected	-	-
g__966-1	g__Desmonostoc_PCC-7422	0.13460527694185198	undirected	-	-
g__966-1	g__Desulfatirhabdium	0.10423380362953098	undirected	-	-
g__966-1	g__Desulfatitalea	0.15464302702822502	undirected	-	-
g__966-1	g__Desulfitobacterium	0.13460527694185198	undirected	-	-
g__966-1	g__Desulfobacca	0.106098729985517	undirected	-	-
g__966-1	g__Desulfobacterium_catecholicum_group	0.153080210645789	undirected	-	-
g__966-1	g__Desulfomonile	0.14887970202560802	undirected	-	-
g__966-1	g__Desulforhopalus	0.13460527694185198	undirected	-	-
g__966-1	g__Desulfovirga	0.13460527694185198	undirected	-	-
g__966-1	g__Diaphorobacter	0.13460527694185198	undirected	-	-
g__966-1	g__Dipterocladia	0.119459221610063	undirected	-	-
g__966-1	g__Eirene	0.11779818599004699	undirected	-	-
g__966-1	g__Fimbriiglobus	0.13460527694185198	undirected	-	-
g__966-1	g__Fusarium	0.101117442302501	undirected	-	-
g__966-1	g__Haptoglossa	0.104211912231589	undirected	-	-
g__966-1	g__Herbaspirillum	0.107348592406461	undirected	-	-
g__966-1	g__IheB3-7	0.11672400600535	undirected	-	-
g__966-1	g__JdFR-76	0.114888228423196	undirected	-	-
g__966-1	g__JGI_0001001-H03	0.126112034807656	undirected	-	-
