id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__966-1	g__966-1	1.52845563892344	g__966-1	0.4933	yellow	0.364	0.206	0.199	0.217	0.235	-0.163	-0.0674	0.252	-0.332	-0.129
g__AAP99	g__AAP99	1.5845087631681	g__AAP99	0.5523	yellow	0.178	0.239	-0.0462	-0.0613	0.111	-0.27	-0.155	0.022	-0.0757	-0.0215
g__Acetivibrio	g__Acetivibrio	31.998392534767603	g__Acetivibrio	0.9002	yellow	0.219	0.0855	-0.0432	-0.0393	0.108	-0.133	-0.116	0.0293	-0.0617	-0.0032
g__Acetobacterium	g__Acetobacterium	48.5203724239453	g__Acetobacterium	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Acetobacteroides	g__Acetobacteroides	48.5203724239453	g__Acetobacteroides	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Acrotylus	g__Acrotylus	0.39586115089820506	g__Acrotylus	0.3958	yellow	0.255	0.151	0.0647	-0.0346	-0.0594	0.0493	0.072	-0.0934	-0.0374	-0.201
g__ADurb.Bin118	g__ADurb.Bin118	48.5203724239453	g__ADurb.Bin118	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Aerosakkonema_Lao26	g__Aerosakkonema_Lao26	0.826782945201404	g__Aerosakkonema_Lao26	0.3709	yellow	0.259	0.136	0.268	0.137	0.207	-0.213	-0.178	0.168	-0.277	-0.124
g__AKYG587	g__AKYG587	19.662138913122	g__AKYG587	0.8039	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Alkanindiges	g__Alkanindiges	0.590892553053106	g__Alkanindiges	0.3274	yellow	0.483	0.213	0.296	0.37	0.275	-0.274	-0.217	0.203	-0.202	-0.181
g__Alterococcus	g__Alterococcus	48.5203724239453	g__Alterococcus	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Anaerobacterium	g__Anaerobacterium	48.5203724239453	g__Anaerobacterium	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Anaerocolumna	g__Anaerocolumna	12.1846435053445	g__Anaerocolumna	0.7405	yellow	0.174	0.085	-0.0487	0.248	0.405	-0.101	0.0346	0.0947	-0.044	0.0776
g__Anaerofustis	g__Anaerofustis	48.5203724239453	g__Anaerofustis	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Anaerolinea	g__Anaerolinea	1.8736667431865501	g__Anaerolinea	0.5463	yellow	0.0108	0.0805	0.146	0.0377	0.198	-0.101	-0.0101	-0.0418	0.067	0.254
g__Anisus	g__Anisus	0.33449950032152	g__Anisus	0.3685	yellow	-0.0837	-0.323	-0.1	-0.242	-0.126	0.113	-0.0973	-0.105	0.214	-0.11
g__Argia	g__Argia	31.289964502698602	g__Argia	0.9134	yellow	0.224	0.0965	-0.0437	-0.0174	0.147	-0.149	-0.115	0.0424	-0.0446	0.0331
g__Asinibacterium	g__Asinibacterium	0.492778916238616	g__Asinibacterium	0.3139	yellow	0.564	0.183	0.168	0.399	0.375	-0.221	-0.119	0.287	-0.0836	0.0163
g__BBMC-4	g__BBMC-4	15.0647260096596	g__BBMC-4	0.8543	yellow	0.341	0.166	0.103	0.101	0.249	-0.153	-0.0926	0.0449	-0.0702	0.0119
g__Bilophila	g__Bilophila	48.5203724239453	g__Bilophila	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Blastopirellula	g__Blastopirellula	0.26600558876215397	g__Blastopirellula	0.3791	yellow	0.269	-0.0376	0.212	0.116	0.122	-0.0766	-0.142	-0.0651	0.0086	-0.0979
g__Calothrix_PCC-6303	g__Calothrix_PCC-6303	9.02705988316231	g__Calothrix_PCC-6303	0.6962	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Candidatus_Accumulibacter	g__Candidatus_Accumulibacter	14.8114634102459	g__Candidatus_Accumulibacter	0.8417	yellow	0.265	0.155	0.392	0.0855	0.204	-0.19	-0.14	0.0365	-0.0685	-0.05
g__Candidatus_Brocadia	g__Candidatus_Brocadia	2.22684379009139	g__Candidatus_Brocadia	0.5929	yellow	0.229	0.129	-0.0516	0.0562	0.0546	-0.0107	-0.155	0.117	-0.362	-0.0388
g__Candidatus_Chloroploca	g__Candidatus_Chloroploca	1.95686850798309	g__Candidatus_Chloroploca	0.5242	yellow	0.404	0.2	0.392	0.114	0.186	-0.231	-0.118	0.0354	-0.0877	-0.0901
g__Candidatus_Competibacter	g__Candidatus_Competibacter	2.2331590999274797	g__Candidatus_Competibacter	0.5258	yellow	0.32	0.174	0.32	0.371	0.423	-0.26	-0.178	0.234	-0.0886	0.166
g__Candidatus_Entotheonella	g__Candidatus_Entotheonella	48.5203724239453	g__Candidatus_Entotheonella	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Candidatus_Obscuribacter	g__Candidatus_Obscuribacter	0.9719385267951909	g__Candidatus_Obscuribacter	0.5092	yellow	0.068	0.278	0.24	0.019	0.102	-0.0641	0.0216	-0.0458	-0.115	-0.177
g__Candidatus_Ovatusbacter	g__Candidatus_Ovatusbacter	6.7999341983363495	g__Candidatus_Ovatusbacter	0.6936	yellow	0.231	0.0986	-0.0446	-0.0171	0.148	-0.154	-0.117	0.0442	-0.0452	0.0338
g__Candidatus_Rhabdochlamydia	g__Candidatus_Rhabdochlamydia	48.5203724239453	g__Candidatus_Rhabdochlamydia	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Caulobacter	g__Caulobacter	0.679052424114407	g__Caulobacter	0.3525	yellow	0.354	0.439	0.126	0.188	0.226	-0.157	0.102	0.013	-0.195	-0.14
g__Cavicella	g__Cavicella	1.32898466632433	g__Cavicella	0.4135	yellow	0.409	0.246	0.155	0.27	0.358	-0.29	-0.207	0.235	-0.374	0.0862
g__CENA359	g__CENA359	48.5203724239453	g__CENA359	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Chamaesiphon_PCC-6605	g__Chamaesiphon_PCC-6605	48.5203724239453	g__Chamaesiphon_PCC-6605	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Chattonella	g__Chattonella	1.69196395140818	g__Chattonella	0.3888	yellow	0.281	0.341	0.172	0.0661	0.0472	-0.239	-0.205	0.0899	-0.287	-0.031
g__Chlorobaculum	g__Chlorobaculum	8.59258387536896	g__Chlorobaculum	0.7047	yellow	0.306	0.175	0.31	0.0947	0.1	-0.0743	-0.0873	-0.0204	-0.0677	-0.031
g__Chlorobium	g__Chlorobium	13.8761720562975	g__Chlorobium	0.8219	yellow	0.0952	0.119	0.597	-0.0187	0.123	-0.155	-0.191	-0.0073	-0.0437	-0.0048
g__Chthonobacter	g__Chthonobacter	48.5203724239453	g__Chthonobacter	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Clostridium_sensu_stricto_11	g__Clostridium_sensu_stricto_11	3.96402224774779	g__Clostridium_sensu_stricto_11	0.6554	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Clostridium_sensu_stricto_3	g__Clostridium_sensu_stricto_3	48.5203724239453	g__Clostridium_sensu_stricto_3	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Clydonella	g__Clydonella	2.1704784425577803	g__Clydonella	0.4492	yellow	0.386	0.423	0.263	0.162	0.146	-0.325	-0.333	0.178	-0.306	-0.0426
g__Contarinia	g__Contarinia	0.30558490272249295	g__Contarinia	0.3595	yellow	0.0441	-0.171	-0.0588	-0.12	-0.0402	0.118	0.0189	-0.129	0.0403	-0.168
g__Cordylophora	g__Cordylophora	5.405294701402821	g__Cordylophora	0.476	yellow	0.414	0.575	0.257	0.28	0.192	-0.301	-0.2	0.224	-0.479	0.0268
g__Corynebacterium	g__Corynebacterium	0.353105423515374	g__Corynebacterium	0.4026	yellow	0.14	-0.0732	-0.0665	-0.0071	0.143	-0.112	-0.317	0.226	0.045	0.0528
g__Cystoclonium	g__Cystoclonium	6.97541418039475	g__Cystoclonium	0.6381	yellow	0.444	0.222	0.355	0.0762	0.153	-0.227	-0.206	0.0707	-0.215	-0.0767
g__Dasybranchus	g__Dasybranchus	1.2175780279919701	g__Dasybranchus	0.5433	yellow	0.402	0.209	-0.0166	0.104	0.187	-0.109	-0.144	-0.0468	-0.0564	-0.107
g__Desmonostoc_PCC-7422	g__Desmonostoc_PCC-7422	48.5203724239453	g__Desmonostoc_PCC-7422	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Desulfatirhabdium	g__Desulfatirhabdium	2.7883604352602	g__Desulfatirhabdium	0.5724	yellow	0.176	0.1	-0.046	0.0849	0.357	-0.0808	-0.0365	0.0535	-0.0427	0.137
g__Desulfatitalea	g__Desulfatitalea	25.1619719918105	g__Desulfatitalea	0.8466	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Desulfitobacterium	g__Desulfitobacterium	48.5203724239453	g__Desulfitobacterium	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Desulfobacca	g__Desulfobacca	6.8769778930100705	g__Desulfobacca	0.6962	yellow	0.205	0.191	-0.0097	-0.0743	0.0267	-0.168	-0.213	0.0668	-0.15	0.0618
g__Desulfobacterium_catecholicum_group	g__Desulfobacterium_catecholicum_group	13.905253051271	g__Desulfobacterium_catecholicum_group	0.7724	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Desulfomonile	g__Desulfomonile	9.858147886745721	g__Desulfomonile	0.7154	yellow	0.142	0.167	-0.0058	-0.044	0.0781	-0.133	-0.175	0.0598	-0.109	0.0914
g__Desulforhopalus	g__Desulforhopalus	48.5203724239453	g__Desulforhopalus	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Desulfovirga	g__Desulfovirga	48.5203724239453	g__Desulfovirga	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Diaphorobacter	g__Diaphorobacter	48.5203724239453	g__Diaphorobacter	0.9468	yellow	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Dipterocladia	g__Dipterocladia	4.7448883998727	g__Dipterocladia	0.5421	yellow	0.404	0.308	0.382	0.218	0.216	-0.191	-0.169	0.0915	-0.283	-0.0408
g__Dolichospermum_NIES41	g__Dolichospermum_NIES41	0.348947483238927	g__Dolichospermum_NIES41	0.4149	yellow	0.4	0.219	-0.0852	0.311	0.377	-0.135	-0.0603	0.29	-0.368	-0.0763
